연번,시설명,시설유형,입소정원수,주소,전화번호
222,고양시니어 재가방문요양센터,재가노인복지시설,,"경기도 고양시 덕양구 통일로 43-168 (동산동, 나동 일부)",02-389-6820
223,고양누리노인복지센터,재가노인복지시설,,"경기도 고양시 덕양구 고양대로1384번길 9, 2층 6호 (성사동, 신원당프라자)",031-965-9807
224,희망주야간보호센터,재가노인복지시설,17,경기도 고양시 덕양구 내유길 30 (내유동),031-962-8338
225,도원주간보호센터,재가노인복지시설,20,"경기도 고양시 덕양구 서정마을1로 20-10, 6층 601호 (행신동)",031-974-8572
226,가원노인복지센터,재가노인복지시설,9,"경기도 고양시 일산서구 일현로 31 (탄현동, 평강빌딩 4층)",031-921-6283
227,명지재가복지센터,재가노인복지시설,,"경기도 고양시 일산동구 강송로88번길 14-3, 103호 (백석동)",031-932-7897
228,탄현은빛방문요양센터,재가노인복지시설,,"경기도 고양시 일산서구 현중로36번길 77 (탄현동, 예훈빌딩 3층)",031-911-7714
229,보경노인주간보호센터,재가노인복지시설,17,"경기도 고양시 일산동구 고봉로 829, 2층 (설문동)",031-977-8765
230,무지개재가복지센터,재가노인복지시설,,"경기도 고양시 덕양구 보광로 2, 202호 (고양동)",031-962-5954
231,고양시소규모노인종합센터,재가노인복지시설,,경기도 고양시 덕양구 호국로790번길 42-9 (성사동),031-967-3403
232,A+효담라이프케어 화정데이케어센터,재가노인복지시설,41,"경기도 고양시 덕양구 화중로104번길 8, 602호 (화정동, 장원프라자)",031-994-3988
233,(A)고양사랑방문요양센터,재가노인복지시설,,"경기도 고양시 덕양구 동헌로470번길 26, 2층 203호 (고양동)",031-969-8727
234,(장항)대화주간보호센터,재가노인복지시설,50,"경기도 고양시 일산동구 고봉로 32-6, 5층 (장항동)",031-918-9972
235,봄날주간보호센터,재가노인복지시설,59,"경기도 고양시 일산동구 무궁화로 365, 1동 1층 102호 (식사동, 제이빌딩II)",031-969-2508
236,쉼방문요양센타,재가노인복지시설,,"경기도 고양시 일산서구 일산로636번길 45 (대화동, 1층)",031-919-0691
237,승리재활주간보호센터 킨텍스점,재가노인복지시설,49,"경기도 고양시 일산서구 중앙로 1388 (주엽동, 강선마을 복합상가 동관 314호,315호,316호,317호)",031-922-0050
238,중산방문요양쎈터,재가노인복지시설,,"경기도 고양시 일산동구 중산로 241, 7층 703-1호 (중산동, 해태쇼핑타운)",031-977-6113
239,가로등주야간보호센터,재가노인복지시설,74,"경기도 고양시 일산서구 하이파크1로91번길 8-11 (덕이동, 301호,401호,501호,502호)",031-922-9788
240,서정어르신데이케어센터,재가노인복지시설,22,"경기도 고양시 덕양구 소원로 270, 4층 (행신동, 이스턴프라자)",031-971-4085
241,가가호호방문요양센터,재가노인복지시설,,"경기도 고양시 덕양구 중앙로557번길 8-9, 405호 (행신동)",031-971-0222
242,소풍노인주간돌봄센터,재가노인복지시설,56,"경기도 고양시 덕양구 화중로 128, 2층 (화정동, 고양프라자)",031-927-9207
243,삼송실버케어(간호요양),재가노인복지시설,,"경기도 고양시 덕양구 통일로 345, 603호 (신원동, 유창프라자)",02-371-2430
244,승리재활주간보호센터 탄현점,재가노인복지시설,24,"경기도 고양시 일산서구 미래로 184-10 (덕이동, 2층,3층)",031-912-0050
245,보아스 데이케어센터,재가노인복지시설,26,"경기도 고양시 일산동구 견달산로 316, 서관 1층 (문봉동)",031-977-4360
246,사랑방가정봉사원파견센터,재가노인복지시설,,경기도 고양시 일산서구 대화동 2234 장성마을 306동 104호,031-919-6606
247,(주)아들러,재가노인복지시설,,"경기도 고양시 일산동구 동국로 30, 204호 (식사동)",031-994-0187
248,백송노인주간보호센터,재가노인복지시설,17,경기도 고양시 일산서구 고양대로 654 (일산동),031-975-1344
249,효심방문요양센터,재가노인복지시설,,"경기도 고양시 일산서구 대산로212번길 24-18 (대화동, 1층 일부)",031-919-0313
250,가족사랑복지센터,재가노인복지시설,,"경기도 고양시 일산서구 산현로 11 (탄현동, 부건프라자 502호)",031-923-5019
251,(주)이씨파트너스 복지용구사업소,재가노인복지시설,,"경기도 고양시 덕양구 용현로 7, 201-1호 (행신동, 에버그린)",031-926-3782
252,The편한노인주야간보호센터,재가노인복지시설,55,"경기도 고양시 일산동구 숲속마을로 14-15, 3층 (풍동, 드림월드빌딩)",031-902-6100
253,길갈주간보호센터,재가노인복지시설,31,"경기도 고양시 일산서구 탄중로233번길 25, 4층 (탄현동)",031-922-4022
254,내고향재가복지센터,재가노인복지시설,,"경기도 고양시 일산동구 호수로446번길 34-7, 1층 (백석동)",031-907-2990
255,사랑돌봄재가노인복지센터,재가노인복지시설,,"경기도 고양시 덕양구 향기5로 55, S001동 2호 (향동동)",02-6925-2696
256,고양시치매노인주간보호센터,재가노인복지시설,35,경기도 고양시 덕양구 용현로 42 (행신동),031-979-9362
257,덕양노인주야간보호센터,재가노인복지시설,19,"경기도 고양시 덕양구 지도로 94, 2층 (토당동)",031-970-7080
258,e고운주야간보호센터,재가노인복지시설,26,"경기도 고양시 일산서구 중앙로 1547, 4층 403호 (대화동, 킨텍스존빌딩)",031-922-5658
259,효방문요양센터,재가노인복지시설,,"경기도 고양시 덕양구 토당로168번길 7-4, 305호 (토당동, 동아4빌딩)",031-970-7774
260,고양노인복지센터,재가노인복지시설,,"경기도 고양시 덕양구 능곡로13번길 20, 3층 301호 (토당동)",031-970-0360
261,중산주간복지센터,재가노인복지시설,60,"경기도 고양시 일산동구 중산로 235, 2층 201호 (중산동, 아카데미타운)",031-977-7992
262,우리사랑재가장기요양파견기관,재가노인복지시설,,"경기도 고양시 일산서구 킨텍스로 289, 4층 (대화동, 복음빌딩)",070-8253-3040
263,은빛사랑채 고양노인주야간보호센터,재가노인복지시설,14,"경기도 고양시 덕양구 토당로104번길 18 (토당동, 마을회관1층)",031-970-0365
264,고양복지방문요양센터,재가노인복지시설,,"경기도 고양시 일산동구 고봉로 278, 2층 (중산동, 성창빌딩)",031-976-0061
265,주심재가노인복지센터,재가노인복지시설,,"경기도 고양시 덕양구 지도로35번길 12-24, 3층 (토당동, 금륜빌딩)",031-971-9993
