어린이집,도로명 주소,위도,경도,전화번호,관리기관,연장 보육반 설치 현황,데이터기준일자
파랑새어린이집,"경기도 화성시 동탄순환대로21길 54 1321동 102호(청계동, 센트럴푸르지오)",37.19672075,127.1149708,031-8043-1922,화성시 아동보육과,Y,2020-03-27
꼬마천사어린이집,경기도 화성시 동탄대로시범길 192 1004동 101호,37.20278249,127.1080321,031-377-2035,화성시 아동보육과,Y,2020-03-27
봄이랑어린이집,경기도 화성시 동탄원천로 382-37 106동 101호,37.22164836,127.0567498,031-231-1699,화성시 아동보육과,Y,2020-03-27
센트럴자이어린이집,"경기도 화성시 동탄대로22길 30 602동 102호(영천동, 동탄센트럴자이)",37.2070961,127.1013946,070-5035-2767,화성시 아동보육과,N,2020-03-27
푸르지오어린이집,"경기도 화성시 동탄순환대로21길 54 1329동 105호(청계동, 센트럴푸르지오)",37.19819349,127.1160338,031-373-2524,화성시 아동보육과,N,2020-03-27
꿈꾸는어린이집,"경기도 화성시 동탄청계로 303-14 1121동 103호(청계동, KCC스위첸아파트)",37.20099516,127.1182959,031-8043-8900,화성시 아동보육과,N,2020-03-27
이든어린이집,경기도 화성시 동탄청계로 303-14 1124동 104호,37.20267636,127.1197185,031-372-3609,화성시 아동보육과,Y,2020-03-27
푸른호반어린이집,경기도 화성시 동탄대로시범길 122 1472동 104호,37.19768384,127.111777,031-376-7055,화성시 아동보육과,N,2020-03-27
호반도담어린이집,"경기도 화성시 동탄대로시범길 122 1471동 102호(청계동, 시범호반베르디움)",37.19802027,127.1126655,031-8043-0003,화성시 아동보육과,Y,2020-03-27
늘봄어린이집,경기도 화성시 동탄순환대로28길 17 306동 102호(EG the 1아파트),37.20933421,127.1103086,031-373-1012,화성시 아동보육과,Y,2020-03-27
SK신나는어린이집,"경기도 화성시 동탄원천로 382-37 105동 101호(반월동, SK VIEW PARK아파트)",37.22204589,127.0569954,070-4065-1442,화성시 아동보육과,Y,2020-03-27
사랑샘어린이집,경기도 화성시 동탄원천로 382-37 119동 102호,37.22341249,127.0560518,070-7655-1200,화성시 아동보육과,Y,2020-03-27
이지어린이집,"경기도 화성시 동탄순환대로28길 17 302동 103호(영천동, EG the 1 아파트)",37.20882219,127.1108522,031-378-7892,화성시 아동보육과,N,2020-03-27
호반아이미소어린이집,경기도 화성시 동탄대로시범길 122 1467동 101호,37.19789128,127.1090716,031-378-1388,화성시 아동보육과,N,2020-03-27
아이맘스어린이집,"경기도 화성시 동탄대로시범길 236 935동 102호(청계동, 시범계룡리슈빌아파트)",37.20203249,127.1047681,031-376-8086,화성시 아동보육과,N,2020-03-27
꿈나무어린이집,경기도 화성시 향남읍 하길로 9 1110동 104호(향남오색마을사랑으로부영),37.10999764,126.9167578,031-352-7550,화성시 아동보육과,Y,2020-03-27
나무앤숲어린이집,경기도 화성시 향남읍 하길로 9 1111동 101호(향남오색마을사랑으로부영),37.10974901,126.917525,031-354-5987,화성시 아동보육과,Y,2020-03-27
사랑으로빛나어린이집,경기도 화성시 향남읍 하길로 69 904동 103호(향남오색마을사랑으로부영),37.11264534,126.919934,070-4306-0302,화성시 아동보육과,N,2020-03-27
포근히어린이집,경기도 화성시 향남읍 하길로 70 1007동101호(향남오색마을사랑으로부영),37.11126794,126.9221393,031-8059-8251,화성시 아동보육과,Y,2020-03-27
향남사임당어린이집,경기도 화성시 향남읍 하길로 9 1106동 101호(향남오색마을사랑으로부영),37.11066576,126.9169777,031-8050-1041,화성시 아동보육과,N,2020-03-27
샤론노블레스어린이집,경기도 화성시 남여울1길 29 1층,37.19810928,127.0510505,031-8003-0978,화성시 아동보육과,Y,2020-03-27
우림예예어린이집,"경기도 화성시 동탄공원로1길 6-60 103동 102호 (반송동,우림필유타운하우스)",37.20141117,127.0614094,031-8015-8091,화성시 아동보육과,N,2020-03-27
한라키즈어린이집,경기도 화성시 우정읍 조암동로 58 한라비발디 109동 104호,37.08983798,126.8242967,031-8050-3871,화성시 아동보육과,Y,2020-03-27
아이노리어린이집,"경기도 화성시 동탄지성로 292 202동 101호(기산동, 행복마을울트라참누리2단지아파트)",37.21985593,127.0523193,031-307-1126,화성시 아동보육과,N,2020-03-27
하하하어린이집,경기도 화성시 탄요1길 62 1층,37.18869456,127.0768959,031-613-8874,화성시 아동보육과,N,2020-03-27
푸른하늘어린이집,경기도 화성시 동탄반송3길 46-7,37.21036463,127.0669926,031-613-2960,화성시 아동보육과,N,2020-03-27
앨리스어린이집,"경기도 화성시 메타폴리스로 6 307동 102호(반송동,동탄시범다은마을 삼성래미안아파트)",37.20153655,127.068553,031-613-4185,화성시 아동보육과,N,2020-03-27
우리누리어린이집,"경기도 화성시 효행로265번길 17 106동 101호(기안동, 우림그린빌리지)",37.2258185,126.9743925,031-223-0095,화성시 아동보육과,N,2020-03-27
팅커벨어린이집,"경기도 화성시 병점3로 158 708동 106호(병점동, 안화동마을주공아파트)",37.2138872,127.0495595,031-8031-5797,화성시 아동보육과,Y,2020-03-27
라온어린이집,경기도 화성시 새강2길 24 1층,37.19239653,127.0661488,031-8003-8832,화성시 아동보육과,Y,2020-03-27
아이별어린이집,"경기도 화성시 동탄반석로 41 620동 101호(반송동, 동탄나루마을신도브래뉴아파트)",37.19158298,127.0754714,031-8003-0623,화성시 아동보육과,N,2020-03-27
조암아기뜰어린이집,경기도 화성시 조암서로 7-6 덕성빌라 101호,37.08203298,126.815084,031-358-7989,화성시 아동보육과,Y,2020-03-27
아띠누리어린이집,"경기도 화성시 병점3로 157 805동 102호(병점동, 안화동마을주공아파트)",37.21587614,127.0463693,031-235-7304,화성시 아동보육과,Y,2020-03-27
한빛새싹어린이집,"경기도 화성시 동탄시범한빛길 10 236동 101호(반송동, 동탄시범한빛마을 한화꿈에그린아파트)",37.2069052,127.0675308,031-613-0252,화성시 아동보육과,N,2020-03-27
햇살모아어린이집,"경기도 화성시 동탄공원로 21-11 947동 103호(능동, 동탄푸른마을 모아미래도)",37.19972919,127.0575428,031-613-6850,화성시 아동보육과,N,2020-03-27
현대하람어린이집,"경기도 화성시 화산로 10 104동 102호(안녕동, 남수원현대아파트)",37.20574493,127.0102893,031-239-7179,화성시 아동보육과,Y,2020-03-27
블루키즈어린이집,"경기도 화성시 동탄지성로 405 106동 103호(기산동, 대우푸르지오)",37.2279664,127.0446623,031-232-5056,화성시 아동보육과,Y,2020-03-27
상록사랑숲어린이집,경기도 화성시 행정동로 83 상록하늘채 809동 102호,37.13126201,126.9260064,031-8058-0660,화성시 아동보육과,Y,2020-03-27
튼튼어린이집,경기도 화성시 행정동로 88 한국아델리움 908동 102호,37.1315414,126.9297308,031-353-7933,화성시 아동보육과,Y,2020-03-27
풍림어린이집,경기도 화성시 향남읍 행정동로 64 풍림아이원 1410동 103호,37.12975602,126.9296091,031-8058-6911,화성시 아동보육과,Y,2020-03-27
해가든어린이집,"경기도 화성시 병점3로 53 103동 104호(병점동, 다정마을신한에스빌아파트)",37.20979158,127.0393395,031-309-8607,화성시 아동보육과,N,2020-03-27
누리마루어린이집,"경기도 화성시 동탄공원로 21-12 902동 104호 (능동,푸른마을 포스코더샵2차)",37.20274448,127.058776,070-8288-7888,화성시 아동보육과,Y,2020-03-27
다은아이숲어린이집,경기도 화성시 동탄중앙로 171 349동 101호(반송동 시범다은마을 우남퍼스트빌),37.20016867,127.0667015,031-613-5990,화성시 아동보육과,N,2020-03-27
안데르센어린이집,"경기도 화성시 동탄숲속로 69 834동 104호(능동,동탄숲속마을자연앤경남아너스빌)",37.20983991,127.0543282,070-8628-0223,화성시 아동보육과,Y,2020-03-27
그린숲어린이집,"경기도 화성시 병점3로 117 903동 104호(병점동, 안화동마을주공9단지)",37.21339553,127.0435665,070-7535-7740,화성시 아동보육과,N,2020-03-27
다윤어린이집,"경기도 화성시 병점4로 102 1006동 104호(진안동, 진안골마을주공10단지아파트)",37.21578167,127.0428984,031-233-2706,화성시 아동보육과,N,2020-03-27
동화속어린이집,경기도 화성시 와우로15번길 10 임광그대가 303동 101호,37.2159999,126.9718346,031-225-7977,화성시 아동보육과,Y,2020-03-27
림스맘어린이집,"경기도 화성시 동탄지성로 150-11 766동 104호 (능동, 주공7단지)",37.21115457,127.0587722,031-8058-6671,화성시 아동보육과,N,2020-03-27
우남아이숲어린이집,"경기도 화성시 10용사로 286 1006동 101호 (능동, 송골마을 우남퍼스트빌아파트)",37.19798465,127.0490906,031-232-2279,화성시 아동보육과,N,2020-03-27
엄지어린이집,"경기도 화성시 동탄반석로 277 123동105호(석우동, 예당마을 우미린제일풍경채)",37.2110427,127.0775375,031-8050-6336,화성시 아동보육과,Y,2020-03-27
한일황토어린이집,경기도 화성시 태안로 85 101동 104호 (한일타운아파트),37.19985115,127.0375519,031-226-6556,화성시 아동보육과,Y,2020-03-27
그린키즈어린이집,경기도 화성시 행정중앙2로 38 향남지웰2차 202동 103호,37.12887503,126.9189658,031-354-1078,화성시 아동보육과,N,2020-03-27
라임어린이집,경기도 화성시 동화역말길 22 휴먼시아 505동 104호,37.21390226,126.9643881,031-893-6882,화성시 아동보육과,N,2020-03-27
아기숲어린이집,경기도 화성시 발안서로 9 발안주공 105동 104호,37.12997843,126.9015863,031-353-6936,화성시 아동보육과,Y,2020-03-27
작은숲속어린이집,경기도 화성시 발안남로 66 우림필유 102동 103호,37.12902718,126.9024268,031-8059-0997,화성시 아동보육과,N,2020-03-27
보물섬어린이집,"경기도 화성시 병점3로 88 306동 104호(병점동, 느치미마을 주공뜨란채아파트)",37.20996053,127.0433956,031-307-7275,화성시 아동보육과,Y,2020-03-27
해피키즈어린이집,"경기도 화성시 동탄지성로 42 223동 101호(반송동, 현대아이파크아파트)",37.20655869,127.0713982,070-4671-5632,화성시 아동보육과,Y,2020-03-27
꿈별어린이집,경기도 화성시 효행로 1075-10 1104동 106호,37.21694472,127.0453034,031-8031-6252,화성시 아동보육과,Y,2020-03-27
아리솔어린이집,"경기도 화성시 동탄반석로 264 102동 103호(석우동, 예당마을 대우푸르지오)",37.20929947,127.07908,031-8050-6182,화성시 아동보육과,Y,2020-03-27
꿈나무영재어린이집,경기도 화성시 와우로34번길 11 봉담아이파크 103동 103호,37.21334791,126.9714135,031-223-8891,화성시 아동보육과,N,2020-03-27
캥거루어린이집,"경기도 화성시 병점3로 157 802동 101호 (병점동,안화동마을 주공아파트)",37.21402378,127.0475525,031-233-2974,화성시 아동보육과,N,2020-03-27
풍성어린이집,"경기도 화성시 동탄공원로1길 6-59 361동 104호(반송동, 시범다은마을 풍성신미주)",37.2001251,127.0622056,070-8837-2119,화성시 아동보육과,Y,2020-03-27
도담어린이집,경기도 화성시 행정중앙2로 85 대방노블랜드1003동 102호,37.12970701,126.9250613,031-8050-1500,화성시 아동보육과,Y,2020-03-27
꼬마숲속어린이집,경기도 화성시 와우로34번길 34 쌍용스윗닷홈 110동 102호,37.21175833,126.9707146,031-221-2248,화성시 아동보육과,N,2020-03-27
동일미소어린이집,경기도 화성시 동화길 84 동일하이빌 102동 101호,37.21650447,126.9578213,031-8031-9244,화성시 아동보육과,N,2020-03-27
아기나무어린이집,"경기도 화성시 동탄중앙로 99 513동 103호(반송동, 동탄새강마을휴먼시아아파트)",37.19495285,127.0676102,031-613-1418,화성시 아동보육과,Y,2020-03-27
에이레네어린이집,"경기도 화성시 동탄중앙로 189 331동 102호(반송동, 동탄시범다은마을 월드메르디앙 반도유보라아파트)",37.20231426,127.0667681,031-613-3581,화성시 아동보육과,Y,2020-03-27
아이랑어린이집,경기도 화성시 여울로4길 31-13,37.21723158,127.0567756,031-8003-8879,화성시 아동보육과,Y,2020-03-27
햇살마루어린이집,경기도 화성시 와우로 51 봉담휴먼빌 105동 103호,37.21398395,126.9725474,031-8081-4998,화성시 아동보육과,N,2020-03-27
휴먼빌아띠어린이집,경기도 화성시 봉담읍 와우로 51 봉담휴먼빌 104동 102호,37.21411629,126.9719041,031-8081-4500,화성시 아동보육과,N,2020-03-27
동탄햇살가득어린이집,경기도 화성시 동탄공원로1길 16-5 (반송동),37.20281277,127.060173,070-4623-1477,화성시 아동보육과,Y,2020-03-27
향남하늘숲어린이집,경기도 화성시 행정죽전로2길 51,37.12493071,126.9271687,031-8059-5677,화성시 아동보육과,N,2020-03-27
숲속나무어린이집,경기도 화성시 행정서로1길 31-3,37.12736477,126.9143054,031-353-0805,화성시 아동보육과,Y,2020-03-27
코코랑나랑어린이집,경기도 화성시 행정서로1길 9-7,37.12538825,126.9138141,031-8059-7877,화성시 아동보육과,N,2020-03-27
동탄아이자람어린이집,경기도 화성시 동탄반송1길 40-6,37.21106352,127.0633934,031-613-0056,화성시 아동보육과,Y,2020-03-27
아트빌에코비어린이집,경기도 화성시 동탄공원로1길 22-12 (반송동 65-4),37.202931,127.060454,031-8015-2332,화성시 아동보육과,N,2020-03-27
해봄어린이집,경기도 화성시 발안로39번길 7,37.13222269,126.9141667,031-8047-0224,화성시 아동보육과,Y,2020-03-27
다솜아이어린이집,경기도 화성시 동탄반송1길 30-10 (반송동),37.21026856,127.0629247,031-8003-7171,화성시 아동보육과,Y,2020-03-27
동탄예쁜아이어린이집,경기도 화성시 동탄공원로3길 5 (반송동51-5),37.20682494,127.0604202,031-8003-5483,화성시 아동보육과,Y,2020-03-27
폴리어린이집,경기도 화성시 동탄공원로1길 16-17 (반송64-11),37.20281574,127.0609731,031-8003-1966,화성시 아동보육과,N,2020-03-27
설리번어린이집,경기도 화성시 동탄공원로1길 8-23 (반송동 68-12),37.20203216,127.0611466,031-8003-3822,화성시 아동보육과,N,2020-03-27
동탄하바패밀리어린이집,경기도 화성시 동탄공원로3길 40-14 (반송동 47-6),37.2077247,127.0624097,031-613-7923,화성시 아동보육과,Y,2020-03-27
능동한빛어린이집,경기도 화성시 동탄하나2길 23 (능동 1072-2),37.21491312,127.0611171,031-8003-5286,화성시 아동보육과,Y,2020-03-27
동탄숲속어린이집,경기도 화성시 동탄공원로3길 14-3,37.20759429,127.0612722,031-8003-4629,화성시 아동보육과,Y,2020-03-27
예손어린이집,경기도 화성시 동탄공원로2길 20-46,37.20540385,127.0612623,031-8003-7111,화성시 아동보육과,N,2020-03-27
명품클래식어린이집,경기도 화성시 동탄반송1길 36-11 (반송동 4-11),37.21084781,127.0635637,031-8003-8327,화성시 아동보육과,Y,2020-03-27
키즈맘어린이집,경기도 화성시 여울로2길 25 (능동 1141-4),37.20404614,127.0525367,031-8003-4184,화성시 아동보육과,Y,2020-03-27
해나무어린이집,경기도 화성시 동탄반석로 264 동탄예당마을푸르지오아파트 104동 103호,37.21020309,127.0797061,031-8003-7713,화성시 아동보육과,N,2020-03-27
아기곰어린이집,경기도 화성시 남여울1길 11,37.19913036,127.0517093,031-8003-7758,화성시 아동보육과,Y,2020-03-27
키즈트리어린이집,"경기도 화성시 동탄공원로 21-12 903동 101호(능동, 푸른마을포스코더샾)",37.20348362,127.0587717,031-8003-5945,화성시 아동보육과,Y,2020-03-27
아기햇살어린이집,경기도 화성시 동탄반송2길 41-5,37.21056703,127.0656503,031-8003-8349,화성시 아동보육과,N,2020-03-27
굿맘아이솔어린이집,경기도 화성시 동탄반송1길 43-1 (반송동),37.21173096,127.0635023,031-613-7113,화성시 아동보육과,Y,2020-03-27
반송아기사랑어린이집,경기도 화성시 동탄반송1길 41,37.21157706,127.0633229,070-4235-3470,화성시 아동보육과,Y,2020-03-27
숲속별어린이집,"경기도 화성시 동탄숲속로 103 804동 103호(능동, 숲속마을자연앤경남아너스빌)",37.20705579,127.0594722,031-8003-1112,화성시 아동보육과,N,2020-03-27
나리예어린이집,경기도 화성시 동탄반송1길 30-13,37.21039608,127.0632846,031-613-9990,화성시 아동보육과,N,2020-03-27
서동탄어린이집,경기도 화성시 남여울1길 5-37,37.19774069,127.0513119,031-8015-1472,화성시 아동보육과,Y,2020-03-27
비버어린이집,경기도 화성시 여울로3길 10-1,37.21440239,127.0546958,031-8015-8031,화성시 아동보육과,N,2020-03-27
꿈모리어린이집,경기도 화성시 여울로4길 37-7 (능동 1096-19),37.21686092,127.0564847,031-613-1835,화성시 아동보육과,Y,2020-03-27
삐삐어린이집,"경기도 화성시 동탄숲속로 96 852동 102호(능동, 숲속마을 모아미래도)",37.20642377,127.0591941,031-8003-3217,화성시 아동보육과,Y,2020-03-27
아이캐슬어린이집,경기도 화성시 여울로4길 59-7 (능동1101-9),37.21512579,127.0553002,031-613-2893,화성시 아동보육과,Y,2020-03-27
포비어린이집,경기도 화성시 여울로4길 59-15 경기도 화성시 능동 1101-6,37.21493798,127.0556958,031-8003-9362,화성시 아동보육과,Y,2020-03-27
생각통통어린이집,경기도 화성시 동탄반송2길 35-12,37.21056571,127.0652897,031-613-4611,화성시 아동보육과,N,2020-03-27
키즈숲어린이집,"경기도 화성시 동탄대로시범길 236 921동 102호(청계동, 시범계룡리슈빌)",37.20241764,127.1040336,031-8058-2314,화성시 아동보육과,N,2020-03-27
천사나라어린이집,경기도 화성시 화성로2397번길 24-2 B동 101호,37.25062848,126.9284624,031-291-1014,화성시 아동보육과,N,2020-03-27
동탄i어린이집,경기도 화성시 동탄공원로1길 22-23 (반송동 63-5),37.20321348,127.061275,031-8003-2205,화성시 아동보육과,N,2020-03-27
능동까꿍어린이집,"경기도 화성시 동탄숲속로 95 812동 102호(능동, 숲속마을광명메이루즈)",37.20811333,127.0578319,070-8614-9664,화성시 아동보육과,N,2020-03-27
은광어린이집,경기도 화성시 남양읍 수작이길113번길 1-11,37.21347848,126.8140328,031-356-9365,화성시 아동보육과,N,2020-03-27
엔젤키즈어린이집,경기도 화성시 송산로 48 신성아파트 101,37.21494812,126.7304711,031-357-7279,화성시 아동보육과,Y,2020-03-27
동일튼튼어린이집,"경기도 화성시 봉담읍 동화길 82 103동 102호(동화리, 동화마을동일하이빌)",37.21658172,126.9569755,031-227-2743,화성시 아동보육과,N,2020-03-27
현대행복한어린이집,"경기도 화성시 역골동로 68 103동 104호(남양동, 남양아이파크)",37.2063967,126.8319363,031-355-2487,화성시 아동보육과,Y,2020-03-27
아가세상어린이집,"경기도 화성시 동탄공원로 21-12 910동 103호(능동, 푸른마을포스코더샵아파트)",37.20199179,127.0575634,031-8058-7933,화성시 아동보육과,N,2020-03-27
꼬꼬마어린이집,"경기도 화성시 향남읍 행정중앙2로 38 204동 102호(, 향남시범넓은마을향남지웰2차)",37.1291759,126.9196615,031-8059-0207,화성시 아동보육과,N,2020-03-27
한일아이숲어린이집,"경기도 화성시 향남읍 행정중앙1로 95 1305동 103호(행정리, 향남시범살구꽃마을한일베라체)",37.12712814,126.9248894,031-8058-5666,화성시 아동보육과,N,2020-03-27
반짝반짝어린이집,"경기도 화성시 봉담읍 와우로34번길 63 101동 103호(와우리, 신명아파트)",37.21333701,126.973014,031-8002-6691,화성시 아동보육과,Y,2020-03-27
베베숲어린이집,경기도 화성시 행정서로2길 14-13,37.13059581,126.9132898,031-8059-2004,화성시 아동보육과,Y,2020-03-27
아이파크어린이집,경기도 화성시 봉담읍 와우로34번길 11 101동 104호,37.21356635,126.9698679,031-898-7230,화성시 아동보육과,N,2020-03-27
아기세상어린이집,"경기도 화성시 효행로853번길 23 2동 118호(송산동, 신현대1차아파트)",37.20713176,127.0209863,031-224-0252,화성시 아동보육과,Y,2020-03-27
나란히어린이집,"경기도 화성시 향남읍 발안서로 9 107동 102호(발안리, 발안마을주공아파트)",37.12997843,126.9015863,031-353-7043,화성시 아동보육과,N,2020-03-27
아이네오어린이집,경기도 화성시 봉담읍 오래1길 24,37.22131391,126.9549803,031-227-0367,화성시 아동보육과,Y,2020-03-27
잎새어린이집,경기도 화성시 봉담읍 와우로34번길 11 아이파크 101-105,37.21356635,126.9698679,031-225-8110,화성시 아동보육과,Y,2020-03-27
숲속모아어린이집,"경기도 화성시 동탄숲속로 96 851동 101호(능동, 동탄숲속마을 모아미래도1단지)",37.20659138,127.0582127,031-8003-3122,화성시 아동보육과,N,2020-03-27
하늘채도만스쿨어린이집,"경기도 화성시 향남읍 행정동로 81 804동 104호(행정리, 화성향남시범복사꽃마을상록하늘채)",37.13142878,126.9269396,031-8043-7164,화성시 아동보육과,N,2020-03-27
재미나라어린이집,"경기도 화성시 동탄중앙로 119-14 501동 101호(반송동, 새강마을휴먼시아)",37.19672616,127.0669353,031-302-9939,화성시 아동보육과,Y,2020-03-27
리틀기산어린이집,"경기도 화성시 남양로 624-8 101동 101호(신남동, 기산베스트빌)",37.19497512,126.8238341,031-357-5977,화성시 아동보육과,Y,2020-03-27
우림아가별어린이집,"경기도 화성시 동탄공원로1길 6-60 102동 103호(반송동, 우림필유타운하우스)",37.20140841,127.0606657,031-8003-9979,화성시 아동보육과,N,2020-03-27
좋은생각어린이집,"경기도 화성시 봉담읍 동화새터길 89 206동 104호(동화리, 휴먼시아동화마을2단지아파트)",37.21871048,126.9612433,031-298-2399,화성시 아동보육과,Y,2020-03-27
리틀베베어린이집,"경기도 화성시 동탄중앙로 99 518동 103호(반송동, 동탄새강마을휴먼시아아파트)",37.19284628,127.0683546,031-8015-2025,화성시 아동보육과,Y,2020-03-27
새가람어린이집,"경기도 화성시 동탄중앙로 99 517동 103호(반송동, 동탄새강마을휴먼시아아파트)",37.19359332,127.0680461,031-613-5951,화성시 아동보육과,N,2020-03-27
꿈모아어린이집,"경기도 화성시 동탄반석로 70 433동-101호(반송동, 솔빛마을신도브래뉴)",37.19588188,127.0752445,031-613-8176,화성시 아동보육과,Y,2020-03-27
베이비붐어린이집,"경기도 화성시 남양읍 남양성지로 8-5 103동 101호(남양동, 남양우림)",37.20462516,126.804478,031-357-5709,화성시 아동보육과,N,2020-03-27
신나라어린이집,"경기도 화성시 향남읍 행정서로 48 304동 104호(행정리, 향남시범넓은들마을신명스카이뷰)",37.12655224,126.9158765,031-8058-9087,화성시 아동보육과,Y,2020-03-27
태양어린이집,"경기도 화성시 병점3로 117 908동 103호(병점동, 안화동마을주공9단지)",37.21262615,127.0450814,031-305-8470,화성시 아동보육과,Y,2020-03-27
축복어린이집,"경기도 화성시 효행로 275 103동 104호(기안동, 평생플러스빌아파트)",37.22372798,126.9745536,031-239-9449,화성시 아동보육과,Y,2020-03-27
아드래따래어린이집,경기도 화성시 봉담읍 와우로15번길 10 임광그대가3단지 316동 101호,37.21517251,126.9702399,031-298-7994,화성시 아동보육과,N,2020-03-27
우남아이사랑어린이집,"경기도 화성시 병점3로 133 208동 104호(병점동, 안화동마을우남퍼스트빌2단지아파트)",37.21313598,127.046397,031-238-4287,화성시 아동보육과,Y,2020-03-27
고운맘어린이집,"경기도 화성시 향남읍 행정중앙1로 95 1304동 101호(행정리, 향남시범살구꽃마을한일베라체)",37.12632553,126.9248167,031-8059-1623,화성시 아동보육과,N,2020-03-27
아이편한어린이집,"경기도 화성시 정남면 만년로 470 105동 105호(발산리, 동남훼미리)",37.16128864,126.9850211,031-359-8055,화성시 아동보육과,N,2020-03-27
예쁜꼬마어린이집,경기도 화성시 와우로15번길 10 봉담그대가아파트 307동 102호,37.21534893,126.973417,031-232-9336,화성시 아동보육과,N,2020-03-27
아너스빌어린이집,"경기도 화성시 동탄숲속로 103 804동 102호(능동, 동탄숲속마을 자연앤경남아너스빌)",37.20705579,127.0594722,031-8015-2821,화성시 아동보육과,N,2020-03-27
화성파크드림어린이집,경기도 화성시 향남읍 행정동로 22 화성파크드림 아파트 1505동 101호,37.1264819,126.9291946,031-352-0513,화성시 아동보육과,Y,2020-03-27
에일린어린이집,"경기도 화성시 향남읍 행정중앙1로 39 401동 104호(행정리, 향남시범넓은들마을에일린의뜰)",37.12636826,126.9187936,031-353-2223,화성시 아동보육과,N,2020-03-27
리틀대통령어린이집,"경기도 화성시 동탄숲속로 69 832동101호(능동, 동탄숲속마을자연앤경남아너스빌)",37.20986213,127.0554438,031-8003-6347,화성시 아동보육과,Y,2020-03-27
해바라기어린이집,"경기도 화성시 향남읍 행정중앙2로 83 1011동 102호(행정리, 향남시범살구꽃마을대방노블랜드)",37.1298279,126.9239683,031-351-9639,화성시 아동보육과,Y,2020-03-27
아델어린이집,경기도 화성시 행정동로 86 904-101,37.13172939,126.9275903,031-366-0661,화성시 아동보육과,N,2020-03-27
스마일어린이집,"경기도 화성시 동탄반석로 264 107동 101호(석우동, 동탄예당마을푸르지오아파트)",37.21011536,127.077847,031-8058-3313,화성시 아동보육과,Y,2020-03-27
하늘숲어린이집,경기도 화성시 동탄반석로 264 102동 101호(석우동  동탄예당마을푸르지오아파트),37.20929947,127.07908,031-8003-9829,화성시 아동보육과,Y,2020-03-27
자두나무어린이집,경기도 화성시 행정중앙1로 63 신영지웰아파트 1206동 102호,37.12650294,126.9223724,031-8059-4006,화성시 아동보육과,Y,2020-03-27
제일어린이집,"경기도 화성시 향남읍 행정중앙2로 62 1103동 102호(행정리, 향남시범살구꽃마을제일오투그란데)",37.12926066,126.9222502,031-613-5032,화성시 아동보육과,Y,2020-03-27
노랑나비어린이집,"경기도 화성시 경기대로 990 101동 101호(병점동, SK뷰아파트)",37.20478312,127.0378824,031-222-8095,화성시 아동보육과,N,2020-03-27
짱구어린이집,"경기도 화성시 동탄숲속로 19 893동 101호(능동, 숲속마을풍성신미주아파트)",37.2100028,127.0497291,031-8003-7452,화성시 아동보육과,Y,2020-03-27
해맑은아이어린이집,"경기도 화성시 동탄반석로 277 125-103(석우동, 예당마을 우미린제일풍경채)",37.21186437,127.0779274,031-613-2866,화성시 아동보육과,N,2020-03-27
아이행복어린이집,"경기도 화성시 10용사로 286 1007동 102호(능동, 우남퍼스트빌2차아파트)",37.1977617,127.0497229,031-221-9758,화성시 아동보육과,Y,2020-03-27
예당어린이집,"경기도 화성시 동탄반석로 277 112동 102호(석우동, 예당마을 우미린제일풍경채)",37.21226431,127.0788606,070-7503-6252,화성시 아동보육과,Y,2020-03-27
하늘사랑어린이집,경기도 화성시 동탄반석로 277 119동 101호,37.21212532,127.0752775,070-4148-4048,화성시 아동보육과,Y,2020-03-27
모아어린이집,"경기도 화성시 동탄공원로 21-11 949동 103호 (능동, 푸른마을 모아미래도)",37.2007812,127.056838,031-8003-1707,화성시 아동보육과,Y,2020-03-27
비바꿈터어린이집,"경기도 화성시 봉담읍 수영로82번길 4 205동 102호(수영리, 한울마을신창비바패밀리아파트)",37.23683172,126.9540569,031-291-5633,화성시 아동보육과,N,2020-03-27
꿈의숲어린이집,"경기도 화성시 동탄반석로 231 155-102(석우동, 예당마을 롯데캐슬)",37.21167155,127.0744235,070-7819-1238,화성시 아동보육과,Y,2020-03-27
밝은햇살어린이집,"경기도 화성시 향남읍 행정중앙2로 14 110동 105호(행정리, 향남시범넓은들마을우미린아파트)",37.12899608,126.9160829,031-354-5645,화성시 아동보육과,N,2020-03-27
우미어린이집,"경기도 화성시 향남읍 행정중앙2로 14 109동 103호(행정리, 향남시범넓은들마을우미린아파트)",37.12956433,126.9161573,031-8059-0246,화성시 아동보육과,Y,2020-03-27
하늘바다어린이집,"경기도 화성시 화산중앙로64번길 6 201동 102호(송산동, 솔뫼마을한승미메이드아파트)",37.20917798,127.0121604,031-234-8764,화성시 아동보육과,N,2020-03-27
향기로운어린이집,"경기도 화성시 동탄반석로 231 147동 102호(석우동, 예당마을 롯대캐슬)",37.21034619,127.0743407,070-7098-7774,화성시 아동보육과,N,2020-03-27
딩동댕어린이집,"경기도 화성시 동탄반석로 231 145동 103호(석우동, 예당마을 롯데캐슬)",37.20946706,127.0730158,031-613-8576,화성시 아동보육과,Y,2020-03-27
몬테소리아이뜰어린이집,"경기도 화성시 동탄공원로 21-11 947동 101호(능동, 동탄푸른마을 모아미래도)",37.19972919,127.0575428,031-8050-5800,화성시 아동보육과,Y,2020-03-27
