회사명,사업자등록번호,개업년월,기업소개,주요작품,우편번호,주소,상세주소,대표전화,홈페이지주소,메이커스주요분야,콘텐츠주요분야,SNS주소1,SNS주소2,SNS주소3,공개여부
공방들다 안산점,265-27-00230,2016-04-07,내가 마음에 드는 가방을 내가 만들고  또 그 가방을 직접 들고 다니면 좋겠다는 꿈을 꾸신적이 있으신가요?공방들다는 학생들의 창의적인 생각을 현실로 이루기 위해 소규모로 수업이 진행됩니다. 소규모 수업을 통해 강사와 함께 문제를 해결하고 구체적인 경험을 하며 학생들은 스스로 독립적인 제작 능력과 사고를 가지게 됩니다. 학생들의 창의적이며 독립적인 제작능력은 커리큘럼을 마친 후 가죽공예를 평생의 취미로 또는 다음 직업으로 함께 할수 있는 상황을 만들어줍니다.이것이 공방들다가 학생들을 만나는 마음이며 목표입니다. 공방들다는 앞으로도 학생들과 호흡하며 발전하고 성장하겠습니다.지속적인 격려와 응원 부탁드립니다. 감사합니다.,가죽으로 제작한 지갑류  클러치  가죽케이스  가방 등,15360,경기도 안산시 단원구 예술대학로 17 안산중앙노블레스,603-1호  공방들다 안산점,031-403-0431,https://deuldansan.modoo.at/,가죽,,https://blog.naver.com/w_heights,,,Y
공방카마,393-21-00741,2019-01-10,도자를 소재로 간판을 제작하는 도예공방입니다,도자간판,12749,경기도 광주시 포돌이로 62,성신빌딩 103호,,http://craftkama.com/,도예,기타,https://www.instagram.com/craft_kama/,,,Y
스튜디오 주요,594-10-00936,2019-01-07,테이블웨어(식탁용 식기류)에 관련된 도자기제품을 중심으로 유리그릇  우드카빙제품  기타 오브제를 만들어보는 다양한 프로그램의 식탁문화생활 공예살롱으로서 교육서비스와 제품을 판매합니다.,도자기 그릇 및 오브제  유리그릇 및 스테인드글라스 유리공에품,16803,경기도 용인시 수지구 신봉1로347번길 57-15,교수마을 4단지,070-8064-3657,,도예,기타,https://www.instagram.com/studio.zuyo,https://blog.naver.com/mubi23,,Y
아델로 캔들,310-14-96943,2018-12-12,ADELOcandle향기로 공간을 이롭게 디자인 합니다.한국양초공예협회 KCCA대한천연디자인협회 KNDA카카오플러스 아델로캔들인스타 adelolab,캔들,17073,경기도 용인시 기흥구 금화로11번길 10 금화마을주공3단지아파트,308-902,,https://smartstore.naver.com/adelo,,,,,,Y
아뜰리에온,796-06-01043,2019-01-14,도예 공예 그래픽 디자인 전문 공방으로다양하고 참신한 생활예술을 경험하는 곳입니다.,아리온 프로젝트 (아이가 그린 그림으로 만드는 공예 상품들),11651,경기도 의정부시 신흥로 234,CRC건물 11층,,,도예,캐릭터,,,,Y
아띠끄에스,142-08-13464,2014-04-09,수원 가죽 공방수원 가죽 공예가방 주문 제작단체 일일 체험 / 원데이 클레스 / 가죽 주문 제작,가죽 공예,16507,경기도 수원시 영통구 센트럴타운로 85 Summit place 광교,광교아브뉴프랑 지하1층 ab-01호,031-214-2659,http://artique-s.com/,,,,,,Y
아이네이쳐,690-61-00236,2014-01-02,ARC 미국 국가 공인 아로마 테라피스트 /// 국제 아로마 테라피 협회 의정부 금오 교육 센터 #아이네이쳐 ------ 노케미 라이프 전문 강사  아로마 테라피  천연비누  화장품  반려동물 아로마  캔들  모발 화장품  색조 화장품  발효 화장품. ( 취미반  자격증 과정  원데이 클래스  기관  단체 교육),노케미 라이프 전문 강사  아로마 테라피  천연비누  화장품  반려동물 아로마  캔들  모발 화장품  색조 화장품  발효 화장품. ( 취미반  자격증 과정  원데이 클래스  기관,11765,경기도 의정부시 금오로 97 신라빌딩,-,,https://blog.naver.com/ins301020,,,,,,Y
아임유얼ring,020-06-00028,2012-03-13,토이키링 빈티지토이키링 맥마담키링 플레이모빌키링,토이키링 빈티지토이키링 맥마담키링 플레이모빌키링,18504,경기도 화성시 동탄대로4길 95 레이크 반도유보라 아이비파크 9.0,아임유얼링,,https://smartstore.naver.com/iam_your_ring,,,,,,Y
앙베르디저트스튜디오,164-11-00542,2017-03-10,베이킹. 레터링케이크. 베이킹.수제청 등 수제로 만드는 디저트들을 배울수있고제품으로 판매하는 곳으로창업하고자 하시는 분들과 취미로 배우고자 하시는 분들을 위한 전문적인 클래스를 운영중이메외부출강으로 기업.관공서.학생들 수업도 진행하고 있습니다,인스타 anverscake블로그 www.anvers.co.kr 참조,11690,경기도 의정부시 가능로 150,1층,,http://anvers.co.kr/,,기타,https://www.instagram.com/anverscake/,,,Y
야미솝,134-17-10584,2015-03-25,야미솝카톡아이디 yummysoap자격증반  취미반  일일 체험  외부 출강  단체 수업  디퓨저 캔들 판매한국 아로마 테라피 강사 협회천연비누 스킨케어 수석 강사캔들 크래프트 수석 강사디자인 비누 수석 강사아로마 테라피 강사,디퓨져 캔들,18303,경기도 화성시 봉담읍 오래3길 20,야미솝,,https://blog.naver.com/lily545454,,,,,,Y
어반센트,231-30-00881,2019-02-27,handmade design candle  좋아하는것을 만들어 소통하고 연구합니다.,캔들,18459,경기도 화성시 노작로3길 1,104호,,https://smartstore.naver.com/urbanscent,,,,,,Y
얼웨이즈데어,278-38-00305,2017-11-13,주문가구  영업용가구  목공교육을 하는 목공방입니다.캄포도마 만들기 등 원데이클래스도 진행합니다.,캣타워  거실장  도마  흔들스툴 등,13625,경기도 성남시 분당구 구미동 204-1,정운빌딩 지하1층 얼웨이즈데어,,https://blog.naver.com/alwaysthere17,목공,지식정보 기타,https://www.instagram.com/petob_for_us/,,,Y
업사이클링 스토리,493-51-000354,2019-02-21,대표자는 피복 환경학 박사로서 섬유를 테마로 하는 업사이클링을 주아이템으로 하며 업사이클링의 필요성 및 사례를 중심으로 교육을 주 목적으로 함.,패션아이템  인테리어 소품,11651,경기도 의정부시 신흥로 234,11층,,,패션,기타,ghkim1227,,,Y
여기서 행복할 것,180-23-00659,2018-11-21,* IAAI 국제 아로마 테라피 예술 교육원* 천연 비누 화장품 전문가 / 내츄럴 디자인 비누 전문가* 내츄럴 캔들 디자인 전문가 * KCCA 한국 양초 공예 협회 양초 공예 지도사,Hand made Soap & Candle* 원데이클래스 * 취미반 /  자격증반* 창업반 / 외부출강* 답례품 주문 제작,12149,경기도 남양주시 호평동 632-7 파크빌,1층,,https://blog.naver.com/yeogiseo_,,,,,,Y
오늘더 아로마,303-13-61662,2018-06-04,국제반려동물아로마테라피협회 IAC 우수강사 공방반려동물 아로마테라피  힐링터치천연제품(천연비누  화장품 DIY)  아로마 캔들1:1 맞춤케어  원데이클래스  취미반  자격증과정(창업반)  외부강의,반려동물 아로마테라피 힐링터치아로마 제품(천연비누  화장품DIY)아로마 캔들,15504,경기도 안산시 상록구 삼리2길 19,202호 오늘더아로마,031-4338-5655,https://smartstore.naver.com/onlthe,생활,,https://blog.naver.com/onlthe,https://www.instagram.com/onlthe_aroma/,https://pf.kakao.com/_xjsdxaj,Y
오늘의 그림,141-48-00400,2018-09-01,네온사인을 만들고  가르치는 공방 오늘의 그림입니다.,el wire를 활용하여 캔버스  아크릴판  네트망 위 네온사인을 제작합니다.,13562,경기도 성남시 분당구 정자일로 100 미켈란쉐르빌,b동,,,,,,,,Y
온스페이스,214-11-27551,2019-01-09,코코센티드캔들Cocoscentedcandle Design Lab.한국양초공예협회KCCA(정식교육기관)_아로마지도사범캔들전문가과정 대한천연디자인협회KNDA_소이플라워캔들/플라스터플라워/소이P캔들도우아트지도사범자격증과정* 문의_kakao ID : cocoscentedblog.naver.com/cocoscented,소이플라워캔들/플라스터플라워/소이P캔들,16006,경기도 의왕시 이미로 40 인덕원IT밸리,인덕원 아이티벨리 a동 918호,,https://blog.naver.com/cocoscented,,,,,,Y
젠메이커스,469-09-01161,2019-01-03,젠메이커스는 소통과 공감 예술을 만드는 사람들이란 슬로건 아래 창의적 교육과 활동을 하는 곳입니다젠탱글이란 세계적인  힐링 명상을 바탕으로 교육을 하며 젠과(명상 몰입) 탱글(복잡하게 얽힌 선)을 통해 참된 삶  무에서 유를 만드는 창의적인 활동을 한다더불어 공예미술적인 요소를 가미하여  다채로운 예술 활동을 하고 있다학교  기업  심리센터  관공서  청소년 문화 센터  복지관등등  다양한 계층의 대상자들과 창의적 활동은 물론 심리적 미술상당및 치유적활동  감정노동자 및 교사 연수 프로그램  지역시민및 직장인들의 취미활동등 다양한 방법으로 교육하고 있는 곳이며 여성기업인 동시에 미국 정식 공인 인증 젠탱글 교사로써 젠탱글 교육의 확산에도 주력하고 있다,젠탱글 아트  토탈공예 창의미술 미술심리상담 아동미술,11650,경기도 의정부시 범골로 137,1층  111호,031-876-4590,,,지식정보 콘텐츠솔루션,,https://blog.naver.com/zen2019,https://cafe.naver.com/zenmakers,Y
주식회사 나무가풍경이되어,229-88-00875,2018-05-01,경기도 지역 내에서 11년 간 주문 가구제작 및 교육 아카데미를 통해 많은 수강생과 창업자를 배출하였고 여성의 섬세한 감성으로 실용적이고 튼튼하고 꼭 필요한 가구제작으로 단골고객이 많습니다.수강생들이 마음놓고 안전하게 작업할 수 있도록 쾌적하고 넓은공간이 준비되어 있습니다. 저희 공방에 들어서는 순간 까페와 같은 이쁜 인테리어에 감탄을 금하지 못하시더라구요~ 오셔서 힐링해보세요 주차공간은 충분합니다~ ^^,플리마켓 가판대우리 댕댕이 멀티 수납장어린이 싱크대그외 모든 생활가구 (주문제작) 원데이클래스 제품 ( 강아지조명  우드조명 우드스피커 캠핑냄비받침  로봇시계연필꽂이  원목시계 원,10909,경기도 파주시 송학1길 126-2,1층  나무가풍경이되어,,https://blog.naver.com/byulsea,목공,기타,https://blog.naver.com/byulsea,https://www.instagram.com/namoopoonggyoung/,,Y
주식회사 포스트웍스,335-87-00931,2017-09-18,포스트웍스 목공방은 필요한 가구를 직접 만들고  취미 또는 전문적으로 목공을 배우고자 하는 분들을 위해 목공 아카데미를 운영 중이며  원목가구와 소품 주문제작과 인테리어를 합니다.  포스트웍스의 목공교육에서는 단순한 공구사용/조립과 마감이 아닌 용도에 맞는 나무를 고르는 방법부터  재단하여 원하는 디자인과 사이즈로 나만의 가구를 만드는 방법을 배웁니다.,거실장  침대  테이블  인테리어 및 인테리어 소품,10383,경기도 고양시 일산서구 호수로838번길 7-4,지하 1층,070-8623-5013,https://blog.naver.com/postworks2017,목공,,https://blog.naver.com/postworks2017,,,Y
준 아카데미,127-46-05986,2013-03-20,[기본에 충실한 목공]  준 아카데미에서 지향하는 목공교육은 기본에 충실한 목공이며 모든 기술이 그렇듯기본기가 없는 기술은 그 한계가 분명히 있으며 기초부터 충실히 익혀야 한다는 저의교육철학은 옳다고 자신합니다.가구제작에 필수요소인 수공구부터 3D설계  기계장비까지 체계적인 교육을 진행합니다.[본인만의 색을 찾을 수 있도록 지도하는 교육]  기존의 것들을 많이 경험해보고 연습하도록 교육방향을 설정하고 기본과정에서부터본인의 색을 다듬을 수 있도록 교육합니다.,· 전통 짜맞춤 가구제작 교육(예비창업자 및 취미목공인 대상)· DIY 가구제작 교육(일반인(청소년  중장년층) 대상)· 3D 설계 (예비창업자 대상)· CNC(Computer n,10261,경기도 고양시 일산동구 공릉천로 100,다동  준 아카데미,,https://jun2012.modoo.at/,목공,,,,,Y
쫄깃방앗간(chewymill),101-14-45141,2018-10-25,수공예와 3D프린팅 기술을 융합하여 캐릭터 피규어 및 디자인 소품을 만드는 Handicfaft & Design Studio,여행자 키트(DIY 캐릭터 피규어  키링  스탬프  뱃지)  캐릭터 캔들,14557,경기도 부천시 부천로198번길 18 춘의테크로파크II,10층 5호실 쫄깃방앗간,,https://blog.naver.com/chewymill,기타,캐릭터 기타,https://www.instagram.com/chewymill,https://www.youtube.com/channel/UCgKkQbt24cU6OfR821-wDoA,https://www.youtube.com/channel/UClrnM7tuuUHeW0G7tKJ9X4Q,Y
창조다움,107-08-75074,2012-02-03,'창조다움'은 창의적인 공간을 만드는 브랜드입니다.원목을 이용한 공간조형을 만드는 사람들이공간에 존재하는 모든 것을 대상으로 작품을 만듭니다.,구로 삼성IT벨리 열린숲도서관 판교 현대박화점 미타니야 서울 합정동 예수가족교회서울 광진구 동성교회 작품가구,10201,경기도 고양시 일산서구 구산동 322-1,창조다움 공방,031-921-9701,https://blog.naver.com/kmhj2008,목공,기타,https://www.instagram.com/kmhj2008/,,,Y
초코나무,110-12-22323,2009-11-09,수제원목가구 및 광파오븐렌지대 전면책장 및 cnc가공 소품 www.choconamu.com 에 가시면 제품이 있습니다.www.domane.co.kr 에 가시면 인테리어 소품 및 나무도마도 있습니다.,친환경 원목 가구,10441,경기도 고양시 덕양구 강매로216번길 2,초코나무,,http://www.choconamu.com/,,,,,,Y
치유의 향기,417-16-97330,2020-10-13,화장품  비누  방향소품 공방,화장품  비누  방향소품,12032,경기도 남양주시 화도읍 가곡로89번길 33-15 양지마을,생략,031-877-2712,,생활,기타,,,,Y
캐시스토리,854-44-00376,2018-02-28,♡캐시스토리향기공방♡입니다캐시스토리 에서는 석고방향제  캔들 디퓨져 드림캐쳐 천연화장품 천연비누 원데이클래스 및 취미반 포토석고 파워컬러 자격증반 수업을 진행하고 있습니다!캐시스토리향기공방에서 진행하는 모든수업은 1:1 수업이 원칙이며 지인과 함께 수업을 같이 하실경우 연락주셔서 협의 하시면 됩니다.원데이클래스수업시간은 평균 2시간 내외이며 개인차에따라 시간은 증감될수 있습니다.모든수업에 재료와 교육자료는 공방에서 준비되며 수강생은 따로 준비할사항 없습니다.자세한 수업 커리큘럼은 문의 주세요~,석고방향제  캔들 디퓨져 드림캐쳐 천연화장품 천연비누 원데이클래스 및 취미반 포토석고 파워컬러 자격증반 수업,16671,경기도 수원시 권선구 곡선로50번길 37-11,캐시스토리,,http://www.cathystory.com/,,,,,,Y
피렌체 가죽공방,181-23-00142,2015-12-20,수원가죽공방 피렌체가죽공방입니다. 통가죽전문으로 염색부터 도안재단  스티칭  가죽카빙등을 다양한 기법의 수업내용으로 체계적인 교육을 받으실 수 있습니다. 가죽공예체험/원데이클레스/방과후수업/학교동아리수업/지역연계수업/단체체험/기업수업/지지체수업/여성회관수업/평생학습연계수업/취미반/기초반/심화반등등 수원근교 안산 용인 화성 오산 안양 평택 분당 광주 등 수업진행중에 있습니다. 언제든 문의주세요^^,가죽공예,16358,경기도 수원시 장안구 덕영대로407번길 15,피렌체 가죽공방,,https://blog.naver.com/goldentree__,,,,,,Y
피엘,707-39-00227,2016-05-09,<피엘 우드 스튜디오 우드 카빙 원데이 클래스>고급 원목을 깎아 나만의 목공예 작품을 만드는 우드카빙 수업입니다공지되는 커리큘럼을 통해 매주 화요일~일요일에 진행되는 과정이며일일체험과 정규과정을 통해 목공예를 배워볼수 있습니다모든 클래스는 원활한 교육을 위해 소수 인원 선착순 예약으로만 진행됩니다,고급 원목으로 만든 여러 가구들,13976,경기도 안양시 만안구 오리로52번길 33-12,1층 피엘,,https://blog.naver.com/pl2528,목공,,,,,Y
한지갤러리,125-21-43720,2009-04-24,한지의 수공예성과 물성을 바탕으로 성인대상 생활공예 여가활동및 창업 관련교육  청소년대상 진로체험 및  자유학기제운영  공모전을 위한 전문가반 교육에 이르기까지 전통을 바탕으로 현대적인 작업까지  체계적인 교육이 가능합니다.,한지 타공 조명등   연잎등 시리즈,17852,경기도 평택시 비전2로 155 강일타워,한지갤러리,,,생활,기타,인스타 : hanji_0706,,,Y
해윰,424-23-00258,2017-02-02,정성가득 수제 과일청 해윰,수제 과일청,18271,경기도 화성시 남양읍 역골로60번길 6,해윰,,http://www.haeyum.co.kr/,,,,,,Y
향 수놓다,630-62-00298,2018-03-27,일상을 향_수놓다’안양예술공원 한자락 감성공방 ‘향 수놓다’향(香)을 담은 클래스와 수(stitch)놓기 클래스가 준비되어 있어요.일상의 소소한 재미와 추억을 담아가시는 감성공간입니다~♡(*??˘??*)♡,향수,13912,경기도 안양시 만안구 경수대로1200번길 4 석수연립,1층  향 수놓다,031-346-6262,https://blog.naver.com/puppypicnic,생활,,,,,Y
헬로봉트리,267-36-00387,2017-03-07,옷만들기.소품반.프랑스자수 수업,옷  자수   소품,17054,경기도 용인시 처인구 역북동 734 역북동원로얄듀크,동원로얄듀크상가 106호,050-5300-0315,https://blog.naver.com/hellobongtree,,,,,,Y
헬로해피(HelloHappy),412-10-97783,2017-01-20,"안녕하세요. ^^ 헬로해피 프랑스자수입니다.""헬로해피의 처음 프랑스자수"" 저자이며  분당 정자역  서울 서울숲역  수원 광교에서 프랑스자수 수업을 하고 있습니다.원데이클래스부터 바느질태교 클래스  기초 정규반  중급반  심화반까지 다양하게 운영하고 있습니다.즐거운 프랑스자수로 평온하고  작은 힐링이 필요하시다면  함께 자수해요. ^^",프랑수 자수를 넣은 수예품(손수건  주머니 등),13557,경기도 성남시 분당구 정자일로 197,헬로해피,,https://blog.naver.com/mindangun,패션,,,,,Y
현대도예,129-35-12394,2013-10-10,안녕하세요. 현대도예교육원입니다.본 교육원에서는 최상의 도예 교육프로그램과 최고의 전문 강사진의 구성으로찾아가는 도예교육  현장체험학습  도예교실을 실시하고 있습니다.창의력  집중력 향상과 더불어 우리의 전통도예 체험을 통해 전통문화에 대한 안목을 키울 수 있는 소중하고 특별한 시간을 만들어 드리겠습니다.본 교육원은 전문적인 도예교육을 실시할 것을 약속드리겠습니다.- 도예를 전공한 전문 강사진- 전문적인 도예교육- 최상의 실습 도구와 재료* 현대도예교육원은 도예교육 외의 체험은 진행하지 않습니다.,도예,12771,경기도 광주시 오포읍 신현리 860-1,현대도예공방,031-715-5420,http://www.doye.or.kr/,,,,,,Y
혜성글씨공방,306-04-80273,2011-03-08,수원 캘리그라피 혜성글씨공방영통신동카페거리 붓글씨/펜글씨/수채캘리/수채일러스트소품만들기 클래스수업 행사문의 네이버 톡톡,캘리그라피,18374,경기도 화성시 반정동 604-9,혜성글씨공방,,http://mooncomet.com/20202673764,,,,,,Y
효원공방,184-14-00964,2019-04-20,가죽  천  매듭   니트등 다양한 가방  인테리어 소품  악세사리를  교육  제작  판매하는 공방입니다.,가방  인테리어 소품 악세사리,10388,경기도 고양시 일산서구 주엽동 78,태영프라자 서관4층 401호,070-4114-7031,,가죽,기타,,,,Y
히어리하우스,891-12-00656,2017-07-11,원목가구/소품제작목공교육 (소목전문과정),하드우드 원목가구,10596,경기도 고양시 덕양구 고양대로2002번길 65,1층,,,목공,콘텐츠솔루션,,,,Y
링메이드 반지공방,817-70-00186,2017-11-20,매일 10:00~20:00 매주 월요일 휴무안산 중앙역에 위치한 링메이드 반지공방(Ring made)입니다.정품 925 Silver 만을 사용합니다.이쁜 커플반지를 체험 제작할수 있는 공간입니다. 반지카페에서 볼수 없는 다양한 종류의 커플/우정 반지들이 준비되어 있습니다.본인의 적성을 확인할수 있는 패션주얼리  레진공예  왁스카빙  금속공예등 다양한 수업을 원데이  체험  정규 과정으로 배우실수 있습니다. 가지고 계신 오래된 팔찌  반지  목걸이 수리가 가능합니다. (끈 교체  연결고리 교체  기스제거  초음파세척등) 많은 문의 부탁드립니다. (031-507-6237),나만의 반지 만들기.악세사리 제작,15360,경기도 안산시 단원구 고잔로 76 영풍빌딩,8층 808호  링메이드 반지공방,031-507-6237,https://blog.naver.com/8ji2017,패션,,,,,Y
마뜨앤오,653-19-00669,2018-03-20,한국양초공예협회kcca 캔들자격증/캔들창업/석고방향제/하바플라리움/평택캔들공방/석고방향제창업,캔들  방향제,17857,경기도 평택시 비전3로 115 소사벌 중흥S-클래스 에코시티,마뜨앤오,,https://blog.naver.com/hyune0440,,,,,,Y
마틴가죽공방,102-11-91308,2015-05-06,공예에 익숙하지 않은 상태에서 처음부터 큰 것을 만들다보면 시간이 오래 걸리는 것은 물론이고 스스로가 서두르게 됩니다.오히려 더 어렵지만 결과물이 비교적 빨리나오는 작은 것을 만듦으로서 성취감과 디테일의 중요성을 이해하는 공방입니다,지갑  가방 종류,10424,경기도 고양시 일산동구 백석동 1423-2,2층  마틴가죽공방,,https://blog.naver.com/martinseon,가죽,,https://blog.naver.com/martinseon,https://www.instagram.com/martin_leather_,,Y
멍냥멍냥 공방,592-71-00101,2017-05-15,라이펙트센터는 생명이 존중받는 사회를 만들기 위해 만들어진 소셜벤처입니다.다양한 분야에서 고통받는 생명들을 어떻게하면 가장 빠르고 효과적으로 도와줄 수 있는지 연구하는 회사입니다.,악세사리,13535,경기도 성남시 분당구 동판교로52번길 22-14,10층 라이펙트센터,,http://mngb.co.kr/,,,,,,Y
모두의오늘,130-47-58832,2015-02-23,방향제 재료 마켓운영캔들 크래프트 강사카톡 “모두의오늘”전화문의　＂０３２?６６６?０２２２＂인스타 “ joys517 ”,캔들,14722,경기도 부천시 중동로 64 중동역푸르지오아파트,모두의 오늘,032-666-0222,http://joysproject.com/,,,,,,Y
모멜레,393-28-00658,2018-03-27,강가죽 카톡 강가죽 (한글검색)인스타그램 kanggajuk,가죽공예,16317,경기도 수원시 장안구 수성로245번길 18 정승빌딩,1층 강가죽공방,,https://blog.naver.com/kanggajuk,,,,,,Y
목화꽃섬유공방,138-12-52785,2014-10-21,미싱 기초부터 홈패션  홈웨어  여성복  남성복  아동복  애견옷  수선&리폼 수업이 있습니다.애견옷 주문제작  의상학과 졸업작품 등 패턴 및 샘플의상 제작가능공방에는 의상디자인을 전공한 두 명의 선생님이 있으며  모녀관계임을 미리 알려드립니다,홈패션  홈웨어  여성복  남성복  아동복  애견옷  수선&리폼 애견옷 주문제작 가능의상학과 졸업작품 등 패턴 및 샘플 제작,13929,경기도 안양시 동안구 관양동 1715-5,101호 목화꽃섬유공방,,https://blog.naver.com/tjdgus1984,패션,,,,,Y
무네작업실,186-07-01224,2018-10-04,눈요기의 핸드메이드 제품이 아닌  실 사용하는 제품을 만드는 공방.하나를 배워도 원리부터 배울 수 있는 공방.상품화를 위한 수업을 배울 수있는 공방,천연화장품  천연비누,10417,경기도 고양시 일산동구 경의로 329 백마마을 상가동,107호 무네작업실,,https://puremune.blog.me/,생활,,,,,Y
무아바이현철,000-00-00,2019-07-22,유튜브채널운영무주택자를 위한 아파트 바로알기    부동산 강의,유튜브채널: 무아바이현철동영상10개 이상 업로드구독자:400명,10229,경기도 고양시 일산서구 하이파크3로 111 하이파크시티일산파밀리에2단지,209동1302호,,,,,,,,Y
미니어처드림,264-07-00151,2014-02-04,미니어처(돌하우스)에 꿈을 담아 백곰작가가 작은 세상을 만들어요.,미니어처 전시갤러리미니어처 교육  체험미니어처 주문제작,13113,경기도 성남시 수정구 복정동 633-1,101호 미니어처드림,031-759-0515,https://miniaturedream.modoo.at/,기타,,https://blog.naver.com/wbear77,,,Y
미라코솝,254-42-00397,2018-03-15,수원호매실에 위치한 향기로운공방 미라코솝입니다. 천연비누와 캔들 천연화장품 방향제품의 창업반 자격증 취미반 원데이클래스 등을 운영합니다 한국아로마테라피협회 한국양초공예협회 리빙프레그런스 클래스운영 카카오플러스->미라코솝 카톡:room7p,천연비누와 캔들 천연화장품 방향제품,16629,경기도 수원시 권선구 호매실로104번길 23-63,미라코솝,,https://blog.naver.com/soap2017,,,,,,Y
민앤미도예공방,144-01-08162,2012-05-18,연령별  교육 대상별 다양한 교육 프로그램을 운영 경험을 바탕으로 예비 창업자들의 교육 프로그램 기획 및 운영  공방 홍보 등 창업 초기 노하우 전수,상품 : 음식점 식기 납품교육 : 성남문화재단 사업  경기도 교육청 사업  개인 사업(소유 공방 내 자체 교육프로그램),13505,경기도 성남시 분당구 장미로100번길 15-18,지하  민앤미도예공방,,,도예,,,,,Y
바실공방,607-26-66671,2018-03-06,핸드메이드 소품 및 가방 등 제작등을 주로 하며직장인 대상 평일반  야간반  주말반 등 취미반 위주로 수업을 하고 있으며재봉틀 수업을 하고 있는 개인공방입니다.온라인으로는 창작 수제에코백을 제작 판매하고 있고 현재 블로그 및 스토어팜도 운영하고 있어요^^,핸드메이드 수제 에코백감성소품 및 앞치마,11144,경기도 포천시 중앙로197번길 11-13,바실공방,,https://blog.naver.com/wktmals1035,패션,기타,https://blog.naver.com/wktmals1035,https://www.instagram.com/basil0306/,,Y
캔들공방 헤이데이,754-50-00378,2018-04-03,캔들스튜디오_HEYDAY ▶한국양초공예협회(KCCA) 아로마캔들지도사범  ▷천연소이캔들  석고방향제  디퓨져  ▶원데이  취미  전문가 자격증 클래스  ▷카카오톡 문의 ; ham2p,캔들 / 캔들 클래스,10503,경기도 고양시 덕양구 화신로 259,건영 캐슬빌,,http://blog.naver.com/heyday_v,,,,,,Y
커피앤크래프트,846-64-00320,2019-01-16,커피와 디저트 교육. 커피용품 제작.업사이클  커피용품 제작.교육.,커피. 디저트. 더치기구. 드립세트.,16006,경기도 의왕시 이미로 40 인덕원IT밸리,B동 804호,,,푸드,출판 광고,Instagram : coffee_and_crafts_,,,Y
코알라공작소,115-40-00593,2018-12-14,패브릭의 새 기능을 연구하며 지속가능한 패션을 지향합니다.UP-cycle 소잉공방  발효쪽&천연염색 체험 및 패키지 개발,청바지를 활용한 파우치 가방 패션소품 등등유럽 패브릭으로 만든 파우치 가방 소품 등등발효쪽&천연염색,12219,경기도 남양주시 경춘로1350번길 35 리치플러스,124호,,,패션,,https://blog.naver.com/evetea,,,Y
쿠킹토리,578-04-00030,2015-03-15,* 쿠킹토리* 교육부 '꿈길' 직업체험처* 요리노리 연구소 의정부 지사출강&문의 *카톡 : COOKINGTORY,아동요리 지도사 양성과정 / 푸드아트테라피 / 요리치료 / 키즈 쿠킹홈베이킹 / 직업체험 / 수업출강 / 원데이클래스,11759,경기도 의정부시 금신로 414,쿠킹토리,,https://pinkjoony.blog.me/,,,,,,Y
쿤태의상종합검진센터,119-20-99353,2012-10-08,저희는 현재 다른곳처럼 획일화된 난이도별 수업을 진행하고 있지않습니다. 개인이 원하는 목표에 맞춰 개별 수업을 진행하며재미있게 자신의 목표에 맞는 창작물을 만들 수 있도록 노력하고 있습니다.,패션디자인  모델리스트  봉제기술,11932,경기도 구리시 수택동 477-2 꿈나무어린이집,2층 쿤태의상종합검진센터,,,패션,,,,,Y
크래프트팩토리,183-55-00339,2018-09-03,내가 만드는 나만의 명품도자기로 생활의 질을 높히자준비되어있는 석고틀과 슬립으로 완성도 높은 다품종소량생산,강아지/천사인형  강아지/나비자석  연필깍이겸꽂이 등,10403,경기도 고양시 일산동구 백마로 195 엠시티타워&엠시티오피스텔,상가동 1층 1164호,,,도예,기타,,@ceramic_craftfactory,,Y
킴앤킴스튜디오,366-26-92295,2018-07-18,kim and kim studioㅡ,wood worker,11185,경기도 포천시 소흘읍 죽엽산로298번길 106-43,킴앤킴스튜디오,,https://www.instagram.com/eyegoldnoon/,,,,,,Y
토이보,559-02-00563,2017-01-07,"<소개>토이보는 부부가 함께 만드는 수제자전거 공방입니다.일본의 Tokyo College of cycle Design에서 3년간 프레임 빌딩을 배우고 자전거 공방을 운영중입니다.  2015  2016 Tokyo College of cycle Design 졸업(1  2회 졸업생)  /  2017 TOIVO 공방 오픈  /  2018 NAHBS(북미 수제자전거 전시회) 참가  /  2018 하자센터-리빙랩 프로젝트 자전거 제작  /  2019 SBS드라마 ""녹두꽃"" 자전거 협찬  /  2019 한강 수제자전거 전시회 참가","2017 NAHBS(북미 수제자전거 전시회) 참가  /  2018 하자센터-리빙랩 프로젝트 자전거 제작  /  2019 SBS드라마 ""녹두꽃"" 자전거 협찬: 클래식 바이크",17919,경기도 평택시 원평로52번길 11,1층(토이보),031-654-8630,http://toivo.kr,금속,기타,www.instagram/toivocycles,,,Y
