 연번,읍면동,놀이터명,위치,설치일자,검사일,데이터 기준일,관리기관명,관리기관 전화번호
158,덕계동,금광포란채2차아파트 제1놀이터(관리동 뒤),경기도 양주시 덕계동 424-1,2011-10-31,2019-11-29,2021-05-06,양주시 안전건설과,031-8082-6742
159,덕계동,금광포란채2차아파트 제2놀이터(204동 앞),경기도 양주시 덕계동 424-1,2011-10-05,2019-11-29,2021-05-06,양주시 안전건설과,031-8082-6742
160,덕정동,덕정 제3어린이공원 놀이터,경기도 양주시 덕정동 536-1,2011-10-20,2019-10-22,2021-05-06,양주시 안전건설과,031-8082-6742
161,산북동,샘내어린이집 실외놀이터,경기도 양주시 산북동 293-1,2006-12-01,2020-03-25,2021-05-06,양주시 안전건설과,031-8082-6742
162,덕계동,현진에버빌 1단지 아파트 놀이터,"경기도 양주시 고덕로 156, (덕계동)",2011-09-06,2020-05-13,2021-05-06,양주시 안전건설과,031-8082-6742
163,백석읍,양주 대교산과내아파트 놀이터,경기도 양주시 백석읍 부흥로 1166-3,2011-09-27,2019-09-09,2021-05-06,양주시 안전건설과,031-8082-6742
164,백석읍,가야1차아파트 놀이터,경기도 양주시 백석읍 양주산성로 543,2011-10-25,2019-11-15,2021-05-06,양주시 안전건설과,031-8082-6742
165,덕계동,신도브래뉴아파트101동앞놀이터,"경기도 양주시 평화로1475번길 161-14, (덕계동, 덕계 신도브래뉴)",2012-01-03,2020-06-19,2021-05-06,양주시 안전건설과,031-8082-6742
166,덕계동,덕계신도브래뉴 102동 놀이터,"경기도 양주시 평화로1475번길 161-14, (덕계동, 덕계 신도브래뉴)",2012-01-03,2019-12-26,2021-05-06,양주시 안전건설과,031-8082-6742
167,덕계동,덕계신도브래뉴 105동 놀이터,"경기도 양주시 평화로1475번길 161-14, (덕계동, 덕계 신도브래뉴)",2012-01-03,2019-12-26,2021-05-06,양주시 안전건설과,031-8082-6742
168,덕정동,덕정트루엘아파트 105동 옆 놀이터,"경기도 양주시 덕정길 105, (덕정동, 일성트루엘)",2011-11-08,2019-11-01,2021-05-06,양주시 안전건설과,031-8082-6742
169,덕정동,덕정트루엘아파트 106동 옆 놀이터,"경기도 양주시 덕정길 105, (덕정동, 일성트루엘)",2011-11-08,2019-11-01,2021-05-06,양주시 안전건설과,031-8082-6742
170,덕계동,범양제2어린이공원 놀이터,경기도 양주시 덕계동 436-10,2006-07-24,2020-08-31,2021-05-06,양주시 안전건설과,031-8082-6742
171,회정동,범양아파트 관리실 옆 놀이터,"경기도 양주시 평화로 1562, (회정동)",2011-08-31,2019-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
172,회정동,범양아파트 205동 옆 놀이터,"경기도 양주시 평화로 1562, (회정동)",2011-08-31,2019-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
173,회정동,범양아파트 202동 옆 놀이터,"경기도 양주시 평화로 1562, (회정동)",2011-08-31,2019-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
174,회정동,범양아파트 104동 앞 놀이터,"경기도 양주시 평화로 1562, (회정동)",2011-08-31,2019-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
175,은현면,꾸러기어린이집 놀이터,경기도 양주시 은현면 운하로 316-10,2012-02-01,2020-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
176,덕정동,원더키즈실내놀이터,"경기도 양주시 회정로 126, (덕정동)",2012-05-03,2020-08-04,2021-05-06,양주시 안전건설과,031-8082-6742
177,광적면,가석제2어린이공원,경기도 양주시 광적면 가납리 862-5,2002-05-01,2019-07-15,2021-05-06,양주시 안전건설과,031-8082-6742
178,광적면,가석제3어린이공원,경기도 양주시 광적면 가납리 901,2003-05-01,2019-07-29,2021-05-06,양주시 안전건설과,031-8082-6742
179,덕계동,덕계현진에버빌2단지아파트 유아놀이터-보육시설측면,"경기도 양주시 고덕로 159, (덕계동, 양주덕계현진에버빌2단지아파트)",2011-04-14,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
180,덕계동,덕계현진에버빌2단지아파트 어린이놀이터- 204동~205동사이,"경기도 양주시 고덕로 159, (덕계동, 양주덕계현진에버빌2단지아파트)",2011-04-14,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
181,덕정동,회천어린이집 놀이터,"경기도 양주시 덕정길 57, (덕정동)",2011-08-12,2019-07-26,2021-05-06,양주시 안전건설과,031-8082-6742
182,장흥면,송추우리마을아파트 놀이터,경기도 양주시 장흥면 호국로473번길 11-12,2012-04-13,2020-04-03,2021-05-06,양주시 안전건설과,031-8082-6742
183,광사동,양주대방노블랜드아파트놀이터1,"경기도 양주시 부흥로 1898-4, (광사동)",2012-06-21,2020-06-12,2021-05-06,양주시 안전건설과,031-8082-6742
184,삼숭동,성우아침의미소 107동 옆 어린이놀이시설,"경기도 양주시 부흥로 2152-11, (삼숭동, 성우아파트)",2004-03-12,2019-05-14,2021-05-06,양주시 안전건설과,031-8082-6742
185,삼숭동,양주자이3단지아파트 놀이터1,"경기도 양주시 삼숭로38번길 55, 양주자이3단지아파트 (삼숭동)",2005-08-05,2020-09-11,2021-05-06,양주시 안전건설과,031-8082-6742
186,백석읍,가야5차아파트 관리사무소옆 어린이놀이시설,"경기도 양주시 백석읍 호명로 103-22, (가야5차아파트)",2007-12-12,2019-09-11,2021-05-06,양주시 안전건설과,031-8082-6742
187,덕계동,금광포란재1차아파트101동놀이터,"경기도 양주시 평화로1429번길 89-94, 양주금광1차아파트 (덕계동)",2002-02-09,2020-12-23,2021-05-06,양주시 안전건설과,031-8082-6742
188,삼숭동,양주자이7단지아파트 놀이터1,"경기도 양주시 삼숭로58번길 141, 양주자이7단지아파트 (삼숭동)",2014-04-01,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
189,남면,한솔어린이집 놀이터,경기도 양주시 남면 개나리2길 8,2011-06-22,2019-05-30,2021-05-06,양주시 안전건설과,031-8082-6742
190,남면,공립남면어린이집 놀이터,경기도 양주시 남면 개나리19길 52,2011-05-25,2021-04-21,2021-05-06,양주시 안전건설과,031-8082-6742
191,장흥면,푸른마을아파트 놀이터,"경기도 양주시 장흥면 가마골로 9, (푸른마을아파트)",2010-12-09,2020-09-21,2021-05-06,양주시 안전건설과,031-8082-6742
192,백석읍,동화3차옥시죤아파트놀이터1,"경기도 양주시 백석읍 꿈나무로 291, (동화아파트)",2012-07-31,2020-08-19,2021-05-06,양주시 안전건설과,031-8082-6742
193,백석읍,어깨동무어린이집,"경기도 양주시 백석읍 꿈나무로 23, 어깨동무어린이집",1998-05-04,2020-05-15,2021-05-06,양주시 안전건설과,031-8082-6742
194,덕정동,키즈클럽핑크블루어린이집,"경기도 양주시 독바위로300번길 12, (옥정동)",2005-09-07,2021-04-06,2021-05-06,양주시 안전건설과,031-8082-6742
195,장흥면,푸른솔어린이집,경기도 양주시 장흥면 가마골로 46,2003-08-21,2020-12-07,2021-05-06,양주시 안전건설과,031-8082-6742
196,백석읍,홍죽산업단지 근린공원 놀이터,경기도 양주시 백석읍 홍죽리 92-3,2012-12-28,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
197,백석읍,방성어린이공원 놀이터,경기도 양주시 백석읍 방성리 82,2013-01-14,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
198,율정동,미예뜰어린이집,경기도 양주시 율정동 133,2006-02-10,2021-04-06,2021-05-06,양주시 안전건설과,031-8082-6742
199,광적면,가납주공아파트 어린이놀이터,경기도 양주시 광적면 석우리 708-1,2005-11-30,2020-05-20,2021-05-06,양주시 안전건설과,031-8082-6742
200,광적면,가납주공아파트 유아놀이터,경기도 양주시 광적면 석우리 708-1,2005-11-30,2020-05-20,2021-05-06,양주시 안전건설과,031-8082-6742
201,백석읍,가야3차아파트 놀이터,경기 양주시 백석읍 복지리 41-1,1999-07-05,2020-09-16,2021-05-06,양주시 안전건설과,031-8082-6742
202,광적면,양주성우헤스티아아파트(108동)놀이터,경기도 양주시 광적면 가납리 840,2004-12-07,2019-11-18,2021-05-06,양주시 안전건설과,031-8082-6742
203,광적면,양주성우헤스티아아파트(101동)놀이터,경기도 양주시 광적면 가납리 840,2004-12-07,2019-11-18,2021-05-06,양주시 안전건설과,031-8082-6742
204,덕계동,신우아파트놀이터1,"경기도 양주시 덕계동 417-1, 신우아파트",1994-12-05,2020-11-23,2021-05-06,양주시 안전건설과,031-8082-6742
205,광적면,양주희망아파트 놀이터,경기도 양주시 광적면 광석리 1-1,2007-10-25,2021-03-23,2021-05-06,양주시 안전건설과,031-8082-6742
206,삼숭동,양주자이4단지아파트 402동앞놀이터,"경기도 양주시 삼숭동 682-1, GS자이아파트4단지",2005-08-05,2020-04-28,2021-05-06,양주시 안전건설과,031-8082-6742
207,삼숭동,양주자이4단지아파트 409동앞놀이터,"경기도 양주시 삼숭동 682-1, GS자이아파트4단지",2005-08-05,2020-04-28,2021-05-06,양주시 안전건설과,031-8082-6742
208,삼숭동,양주자이4단지아파트 411동앞놀이터,"경기도 양주시 삼숭동 682-1, GS자이아파트4단지",2005-08-05,2020-04-28,2021-05-06,양주시 안전건설과,031-8082-6742
209,고암동,하늘빛마을휴먼시아아파트 유아놀이터1,"경기도 양주시 고암동 583, 덕정주공7단지(하늘빛휴먼시아)아파트",2007-05-21,2020-09-18,2021-05-06,양주시 안전건설과,031-8082-6742
210,고암동,하늘빛마을휴먼시아아파트 어린이놀이터2,"경기도 양주시 고암동 583, 덕정주공7단지(하늘빛휴먼시아)아파트",2007-05-21,2020-09-18,2021-05-06,양주시 안전건설과,031-8082-6742
211,고암동,하늘빛마을휴먼시아아파트 어린이놀이터3,"경기도 양주시 고암동 583, 덕정주공7단지(하늘빛휴먼시아)아파트",2007-05-21,2020-09-18,2021-05-06,양주시 안전건설과,031-8082-6742
212,고암동,하늘빛마을휴먼시아아파트 어린이놀이터4,"경기도 양주시 고암동 583, 덕정주공7단지(하늘빛휴먼시아)아파트",2007-05-21,2020-09-18,2021-05-06,양주시 안전건설과,031-8082-6742
213,고암동,덕정아파트8단지어린이놀이터1(806동앞),"경기도 양주시 고암동 584, 덕정주공8단지아파트",2005-06-28,2020-06-02,2021-05-06,양주시 안전건설과,031-8082-6742
214,고암동,덕정아파트6단지어린이놀이터2(609동앞),"경기도 양주시 고암동 580, 덕정주공6단지아파트",2005-06-28,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
215,고암동,덕정아파트6단지어린이놀이터4(602동앞),"경기도 양주시 고암동 580, 덕정주공6단지아파트",2005-06-28,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
216,고암동,덕정아파트6단지어린이놀이터1(606동옆),"경기도 양주시 고암동 580, 덕정주공6단지아파트",2005-06-28,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
217,고암동,덕정아파트6단지어린이놀이터3(603동앞),"경기도 양주시 고암동 580, 덕정주공6단지아파트",2005-06-28,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
218,고암동,덕정아파트8단지어린이놀이터3(802동앞),"경기도 양주시 고암동 584, 덕정주공8단지아파트",2005-06-28,2020-06-02,2021-05-06,양주시 안전건설과,031-8082-6742
219,고암동,덕정아파트8단지유아놀이터(802동뒤),"경기도 양주시 고암동 584, 덕정주공8단지아파트",2005-06-28,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
220,덕계동,양주범양마더빌1단지아파트 어린이놀이터,"경기도 양주시 평화로 1476-20, 범양마더빌1단지아파트 (덕계동)",2006-04-28,2020-11-06,2021-05-06,양주시 안전건설과,031-8082-6742
221,덕계동,양주범양마더빌2단지아파트 어린이놀이터,"경기도 양주시 평화로 1476-24, 범양마더빌2단지아파트 (덕계동)",2006-04-28,2020-11-06,2021-05-06,양주시 안전건설과,031-8082-6742
222,삼숭동,양주자이5단지아파트 508동 놀이터,"경기도 양주시 삼숭로38번길 190, 양주자이5단지아파트 (삼숭동)",2005-08-05,2020-08-20,2021-05-06,양주시 안전건설과,031-8082-6742
223,삼숭동,양주자이5단지아파트 501동 놀이터,"경기도 양주시 삼숭로38번길 190, 양주자이5단지아파트 (삼숭동)",2005-08-05,2020-08-20,2021-05-06,양주시 안전건설과,031-8082-6742
224,삼숭동,양주자이5단지아파트 505동 놀이터,"경기도 양주시 삼숭로38번길 190, 양주자이5단지아파트 (삼숭동)",2005-08-05,2020-08-20,2021-05-06,양주시 안전건설과,031-8082-6742
225,백석읍,서광아침의빛아파트 놀이터1,"경기도 양주시 백석읍 양주산성로 838-71, 서광아침의빛아파트",2007-12-31,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
226,백석읍,서광아침의빛아파트 놀이터2,"경기도 양주시 백석읍 양주산성로 838-71, 서광아침의빛아파트",2007-12-31,2018-11-22,2021-05-06,양주시 안전건설과,031-8082-6742
227,삼숭동,양주자이2단지아파트 203동,"경기도 양주시 삼숭로38번길 78-12, 양주자이2단지아파트 (삼숭동)",2005-07-05,2020-10-29,2021-05-06,양주시 안전건설과,031-8082-6742
228,삼숭동,양주자이2단지아파트 208동,"경기도 양주시 삼숭로38번길 78-12, 양주자이2단지아파트 (삼숭동)",2005-07-05,2020-10-29,2021-05-06,양주시 안전건설과,031-8082-6742
229,삼숭동,양주자이6단지아파트 놀이터1(605동),"경기도 양주시 삼숭로58번길 115, (삼숭동, 양주자이6단지아파트)",2006-04-13,2021-01-04,2021-05-06,양주시 안전건설과,031-8082-6742
230,삼숭동,양주자이6단지아파트 놀이터2(608동),"경기도 양주시 삼숭로58번길 115, (삼숭동, 양주자이6단지아파트)",2006-04-13,2021-01-04,2021-05-06,양주시 안전건설과,031-8082-6742
231,삼숭동,양주자이6단지아파트 놀이터3(610동),"경기도 양주시 삼숭로58번길 115, (삼숭동, 양주자이6단지아파트)",2006-04-13,2021-01-04,2021-05-06,양주시 안전건설과,031-8082-6742
232,덕계동,양주푸르지오아파트 놀이터1,"경기도 양주시 고덕로 89, (덕계동, 대우푸르지오아파트)",2006-02-28,2020-12-18,2021-05-06,양주시 안전건설과,031-8082-6742
233,덕계동,양주푸르지오아파트 놀이터2,"경기도 양주시 고덕로 89, (덕계동, 대우푸르지오아파트)",2006-02-28,2020-12-18,2021-05-06,양주시 안전건설과,031-8082-6742
234,덕계동,양주푸르지오아파트 놀이터3,"경기도 양주시 고덕로 89, (덕계동, 대우푸르지오아파트)",2006-02-28,2020-12-18,2021-05-06,양주시 안전건설과,031-8082-6742
235,옥정동,세창리베하우스아파트 118동놀이터,"경기도 양주시 화합로 1630, (옥정동, 세창아파트)",2003-06-21,2019-10-24,2021-05-06,양주시 안전건설과,031-8082-6742
236,삼숭동,양주자이3단지아파트 놀이터2,"경기도 양주시 삼숭로38번길 55, 양주자이3단지아파트 (삼숭동)",2005-08-05,2020-09-11,2021-05-06,양주시 안전건설과,031-8082-6742
237,옥정동,세창리베하우스아파트 111동놀이터,"경기도 양주시 화합로 1630, (옥정동, 세창아파트)",2003-06-21,2019-10-24,2021-05-06,양주시 안전건설과,031-8082-6742
238,옥정동,세창리베하우스아파트 103동 놀이터,"경기도 양주시 화합로 1630, (옥정동, 세창아파트)",2003-06-21,2019-10-24,2021-05-06,양주시 안전건설과,031-8082-6742
239,삼숭동,양주자이7단지아파트 놀이터2,"경기도 양주시 삼숭로58번길 141, 양주자이7단지아파트 (삼숭동)",2006-04-13,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
240,덕정동,행전어린이집,"경기도 양주시 화합로1426번길 9, (덕정동)",2004-11-19,2019-05-07,2021-05-06,양주시 안전건설과,031-8082-6742
241,만송동,키즈팜 어린이집,"경기도 양주시 만송로 417-17, (만송동)",2007-02-16,2019-07-01,2021-05-06,양주시 안전건설과,031-8082-6742
242,백석읍,예원 어린이집,경기도 양주시 백석읍 양주산성로 685,2007-04-16,2020-06-16,2021-05-06,양주시 안전건설과,031-8082-6742
243,유양동,몬테소리 어린이집,"경기도 양주시 원골로 134-10, (유양동)",1996-09-18,2020-08-11,2021-05-06,양주시 안전건설과,031-8082-6742
244,삼숭동,엘사랑 어린이집,"경기도 양주시 삼숭로13번길 7, (삼숭동)",2003-02-06,2020-09-16,2021-05-06,양주시 안전건설과,031-8082-6742
245,삼숭동,양주자이1단지아파트 놀이터1(104동),"경기도 양주시 삼숭로38번길 78-30, 양주자이1단지아파트 (삼숭동)",2005-08-10,2021-01-21,2021-05-06,양주시 안전건설과,031-8082-6742
246,삼숭동,양주자이1단지아파트 놀이터2(106동),"경기도 양주시 삼숭로38번길 78-30, 양주자이1단지아파트 (삼숭동)",2005-08-10,2021-01-21,2021-05-06,양주시 안전건설과,031-8082-6742
247,삼숭동,양주자이1단지아파트 놀이터3(114동),"경기도 양주시 삼숭로38번길 78-30, 양주자이1단지아파트 (삼숭동)",2005-08-10,2021-01-21,2021-05-06,양주시 안전건설과,031-8082-6742
248,옥정동,천보초등학교앞 어린이공원2호 놀이터,경기도 양주시 옥정동1014-1,2013-04-16,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
249,삼숭동,성우아침의미소 106동 뒤 놀이터,경기도 양주시 삼숭동 569,2013-05-01,2019-05-14,2021-05-06,양주시 안전건설과,031-8082-6742
250,삼숭동,성우아침의미소 관리소 옆 놀이터,경기도 양주시 삼숭동 569,2013-05-01,2019-05-14,2021-05-06,양주시 안전건설과,031-8082-6742
251,삼숭동,성우아침의미소 111동 옆 놀이터,경기도 양주시 삼숭동 569,2013-05-01,2019-05-14,2021-05-06,양주시 안전건설과,031-8082-6742
252,덕계동,덕계어린이집 놀이터,경기도 양주시 덕계동 672-3,2013-07-19,2019-07-24,2021-05-06,양주시 안전건설과,031-8082-6742
253,덕계동,덕계근린공원 놀이터,경기도 양주시 덕계동 467,2010-07-30,2019-09-06,2021-05-06,양주시 안전건설과,031-8082-6742
254,백석읍,백석 가야5차 아파트 제2놀이터,"경기도 양주시 백석읍 복지리 80, 가야5차아파트",2013-09-02,2019-09-11,2021-05-06,양주시 안전건설과,031-8082-6742
255,만송동,황토어린이집,"경기도 양주시 만송로330번길 23, (만송동)",2013-11-05,2020-01-08,2021-05-06,양주시 안전건설과,031-8082-6742
256,덕정동,양주서희스타힐스1단지 놀이터,"경기도 양주시 화합로1325번길 22-31, (덕정동, 서희스타힐스아파트1단지)",2014-04-01,2020-04-03,2021-05-06,양주시 안전건설과,031-8082-6742
257,덕정동,양주서희스타힐스2단지놀이터,"경기도 양주시 화합로1325번길 22-32, (덕정동, 서희스타힐스아파트 2단지",2014-04-01,2020-02-28,2021-05-06,양주시 안전건설과,031-8082-6742
258,덕정동,양주서희스타힐스2단지유아놀이터,"경기도 양주시 화합로1325번길 22-32, (덕정동)",2014-04-01,2020-02-28,2021-05-06,양주시 안전건설과,031-8082-6742
259,고암동,덕정아파트8단지어린이놀이터2(804동앞),"경기도 양주시 고암길 172-14, (고암동, 행복한마을)",2014-06-10,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
260,덕정동,은동마을주공1단지아파트(제1-1),"경기도 양주시 화합로1426번길 39, (덕정동，은동마을주공1단지아파트)",2014-08-19,2020-04-27,2021-05-06,양주시 안전건설과,031-8082-6742
261,광사동,양주나리공원물놀이장 어린이놀이터,경기 양주시 광사동 731,2014-07-15,2019-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
262,옥정동,양주옥정A-13BL아파트 1301동뒤 유아놀이터,"경기도 양주시 옥정동로 162, (옥정동, 율정마을13단지아파트)1301동 뒤",2014-09-30,2020-10-09,2021-05-06,양주시 안전건설과,031-8082-6742
263,옥정동,양주옥정A-13BL아파트 1309동옆 어린이놀이터 3,"경기도 양주시 옥정동로 162, (옥정동, 율정마을13단지아파트)1309동 옆",2014-09-30,2020-10-09,2021-05-06,양주시 안전건설과,031-8082-6742
264,옥정동,양주옥정A-13BL아파트 1305동앞 어린이놀이터2,"경기도 양주시 옥정동로 162, (옥정동, 율정마을13단지아파트)1305동앞",2014-09-30,2020-10-09,2021-05-06,양주시 안전건설과,031-8082-6742
265,옥정동,양주옥정A-13BL아파트 1302동앞 어린이놀이터1,"경기도 양주시 옥정동로 162, (옥정동, 율정마을13단지아파트)율정마을 13단지 1302동앞",2014-09-30,2020-10-09,2021-05-06,양주시 안전건설과,031-8082-6742
266,옥정동,율정마을7단지 어린이놀이터1(숲속놀이터),"경기도 양주시 옥정동로 257, (옥정동, 율정마을7단지아파트)",2014-10-23,2020-10-20,2021-05-06,양주시 안전건설과,031-8082-6742
267,옥정동,율정마을7단지 어린이놀이터2(하늘놀이터),"경기도 양주시 옥정동로 257, (옥정동, 율정마을7단지아파트)",2014-10-23,2020-10-20,2021-05-06,양주시 안전건설과,031-8082-6742
268,옥정동,율정마을7단지 어린이놀이터3(기차여행놀이터),"경기도 양주시 옥정동로 257, (옥정동, 율정마을7단지아파트)",2014-10-23,2020-10-20,2021-05-06,양주시 안전건설과,031-8082-6742
269,옥정동,율정마을7단지 유아놀이터,"경기도 양주시 옥정동로 257, (옥정동, 율정마을7단지아파트)",2014-10-23,2020-10-20,2021-05-06,양주시 안전건설과,031-8082-6742
270,옥정동,옥정제4어린이공원,경기도 양주시 고암동 612,2014-12-12,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
271,옥정동,옥정제6어린이공원,경기도 양주시 옥정동 1073-3,2014-12-12,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
272,옥정동,옥정제7어린이공원,경기도 양주시 옥정동 1064-3,2014-12-12,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
273,옥정동,옥정제8어린이공원,경기도 양주시 옥정동 1076-1,2014-12-12,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
274,옥정동,옥정제9어린이공원,경기도 양주시 옥정동 1081-3,2014-12-12,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
275,고암동,옥정제10어린이공원,경기도 양주시 고암동 595-7,2014-12-12,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
276,덕계동,금광포란재1차아파트103동놀이터,"경기도 양주시 평화로1429번길 89-94, (덕계동, 금광포란재아파트)",2014-12-04,2020-12-23,2021-05-06,양주시 안전건설과,031-8082-6742
277,덕계동,금광포란재1차아파트106동놀이터,"경기도 양주시 평화로1429번길 89-94, (덕계동, 금광포란재아파트)",2014-12-04,2020-12-23,2021-05-06,양주시 안전건설과,031-8082-6742
278,은현면,선암제2어린이공원,경기도 양주시 은현면 은현로46번길 36,2014-12-01,2020-12-11,2021-05-06,양주시 안전건설과,031-8082-6742
279,옥정동,옥정제3어린이공원,경기도 양주시 옥정동 1027-1,2014-10-01,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
280,고읍동,라라코스트 실내놀이터,"경기도 양주시 고읍남로 20, (광사동)필립프라자 3층 2,3,4호",2015-09-04,2019-10-11,2021-05-06,양주시 안전건설과,031-8082-6742
281,백석읍,해와달어린이집 실외놀이터,경기도 양주시 백석읍 방성리 93-5,2015-10-16,2019-11-27,2021-05-06,양주시 안전건설과,031-8082-6742
282,고암동,유승한내들아파트 9단지 902동 옆 놀이시설,"경기도 양주시 고읍로 118-16, (광사동, 해동마을유승한내들아파트)902동 옆 놀이시설",2015-12-17,2019-09-20,2021-05-06,양주시 안전건설과,031-8082-6742
283,덕계동,명성아파트 102동 뒤 놀이터,"경기도 양주시 평화로1399번길 62, (덕계동, 명성아파트)",2016-04-10,2020-04-27,2021-05-06,양주시 안전건설과,031-8082-6742
284,회정동,꿈나무어린이집,"경기도 양주시 평화로1645번길 13-4, (회정동)꿈나무 어린이집",2009-08-31,2020-07-29,2021-05-06,양주시 안전건설과,031-8082-6742
285,덕계동,나비랑 키즈카페,"경기도 양주시 덕계동 513-1, 2층",2016-07-25,2020-09-14,2021-05-06,양주시 안전건설과,031-8082-6742
286,옥정동,옥정 센트럴파크 푸르지오 아파트 어린이놀이터1(908동 옆),"경기도 양주시 옥정서로 130, (옥정동, 옥정 센트럴파크 푸르지오)",2016-09-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
287,옥정동,옥정 센트럴파크 푸르지오 아파트 어린이놀이터2(916동 옆),"경기도 양주시 옥정서로 130, (옥정동, 옥정 센트럴파크 푸르지오)",2016-09-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
288,옥정동,옥정 센트럴파크 푸르지오 아파트 어린이놀이터3(912동 앞),"경기도 양주시 옥정서로 130, (옥정동, 옥정 센트럴파크 푸르지오)",2016-09-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
289,옥정동,옥정 센트럴파크 푸르지오 아파트 어린이놀이터4(904동 앞),"경기도 양주시 옥정서로 130, (옥정동, 옥정 센트럴파크 푸르지오)",2016-09-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
290,옥정동,옥정 센트럴파크 푸르지오 아파트 유아놀이터1(914동 앞),"경기도 양주시 옥정서로 130, (옥정동, 옥정 센트럴파크 푸르지오)",2016-09-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
291,옥정동,옥정 센트럴파크 푸르지오 아파트 유아놀이터2(911동 앞),"경기도 양주시 옥정서로 130, (옥정동, 옥정 센트럴파크 푸르지오)",2016-09-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
292,율정동,자연나음공원1,경기도 양주시 옥정동 550-2,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
293,율정동,자연나음공원2,경기도 양주시 율정동 550-2,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
294,율정동,독바위공원1,경기도 양주시 율정동 781-1,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
295,율정동,독바위공원2,경기도 양주시 율정동 781-1,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
296,율정동,선돌공원,경기도 양주시 율정동 578-3,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
297,옥정동,마라니공원,경기도 양주시 율정동 939-2,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
298,율정동,꿈나래공원1,경기도 양주시 율정동 388-3,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
299,율정동,꿈나래공원2,경기도 양주시 율정동 388-3,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
300,율정동,율정어린이공원,경기도 양주시 율정동 559-2,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
301,율정동,참수물어린이공원,경기도 양주시 율정동 599-2,2016-09-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
302,덕계동,덕계천 어린이공원,"경기도 양주시 덕계동 592-3, 일원",2016-12-12,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
303,남방동,양주시청 직장어린이집 내 놀이시설,"경기도 양주시 부흥로 1533, (남방동)직장 어린이집",2016-12-30,2020-03-24,2021-05-06,양주시 안전건설과,031-8082-6742
304,옥정동,핑크블루 어린이집,경기도 양주시 옥정동 804-5,2017-03-21,2021-04-06,2021-05-06,양주시 안전건설과,031-8082-6742
305,옥정동,율정마을 8단지 802동 옆 높이시설1,"경기도 양주시 옥정동로 240, (옥정동)율정마을 8단지",2017-03-23,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
306,옥정동,율정마을 8단지 803동 앞 놀이시설2,"경기도 양주시 옥정동로 240, (옥정동)율정마을 8단지",2017-03-23,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
307,유양동,율정마을 8단지 808동 앞 놀이시설3,"경기도 양주시 옥정동로 240, (옥정동)율정마을 8단지",2017-03-23,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
