시군명,명칭,분류명,소개
군포시,개매교,차량도로,군포 반월저수지 인근에 위치한 영동고속도로 차도 밑
군포시,반원저수지,자연,낚시터를 갖춘 저수지
군포시,갈치저수지,자연,낚시터를 갖춘 저수지
군포시,군포공영버스터미널,교통관련시설,군포를 거점으로 하는 시내버스 및 좌석버스 차고지?
군포시,가야사회복지관,복지시설,"군포 YMCA와 군포시가 위,수탁협약을 맺고 사회복지 실천을 위해 개관된 복지관"
김포시,덕포진,문화재,조선시대 강화해협을 통해서울로 진입하려는 외세의 침공을 방어하기 위하여 설치한 군영
김포시,문수산성,문화재,조선 숙종 20년(1694년) 한강을 통해 들어오는 적을 막기 위해 축성된 산성?
김포시,사계절눈썰매장,운동시설,"조각공원, 청소년수련원과 함께 조성된 가족놀이시설?"
김포시,샘재한옥마을,민속/기타,일반 주택과 개량 한옥이 주를 이루는 낡은 느낌의 오래된 주택단지
김포시,석정초등학교,교육연구시설,6학급의 조그만 벽지학교
김포시,애기봉전망대,문화시설,애기봉 정상에 위치한 안보교육관
김포시,김포용궁낚시터,자연,서해바다에서 가까운 곳에 위치하고 깨끗한 자연경관을 갖춘 낚시터
김포시,장릉,기념물,조선시대 선조의 5번째 아들이자 인조의 아버지인 원종과 부인 인헌왕후의 무덤
김포시,태산가족공원,관광휴게시설,물놀이 분수대 및 휴양시설이 갖춰진 가족공원
김포시,한재당,민속/기타,조선시대의 문신 이목의 위패를 봉안한 사당
김포시,황토옥천탕,일반생활시설,"온탕, 황토방, 수중안마탕 및 헬스장 등이 있는 찜질방?"
김포시,김포용궁낚시터,자연,서해바다에서 가까운 곳에 위치하고 깨끗한 자연경관을 갖춘 낚시터
김포시,장릉,기념물,조선시대 선조의 5번째 아들이자 인조의 아버지인 원종과 부인 인헌왕후의 무덤
김포시,태산가족공원,관광휴게시설,물놀이 분수대 및 휴양시설이 갖춰진 가족공원
김포시,한재당,민속/기타,조선시대의 문신 이목의 위패를 봉안한 사당
김포시,황토옥천탕,일반생활시설,"온탕, 황토방, 수중안마탕 및 헬스장 등이 있는 찜질방?"
김포시,경인아라뱃길 아라마리나,운동시설,"김포터미널을 경인아라뱃길의 해양레저 거점으로 특화시키고자 조성한 복합 해양 레포츠 시설. 요트 크루저 외에도 범퍼보트, 카약, 수상자전거 등을 체험할 수 있다."
김포시,수안마을,주거시설,수안산 자락에 조성되고 있는 고급 전원 주택 단지
김포시,대곶면평아,도시,드넓은 논밭 평야 부지
김포시,플로체레스토랑,일반생활시설,김포에 위치한 레스토랑
김포시,누산수로,자연,김포시 누산리에 위치한 수로 및 수문
김포시,대곶면사무소,행정시설,대곶면 관할 면사무소
김포시,강화제2대교,차량도로,인천광역시 강화군 길상면 초지리와 경기도 김포시 대곶면 약암리를 잇는 아치형 4차선 다리
김포시,김포공설운동장,운동시설,"운동장과 체육시설, 시민회관을 갖춘 공설운동장"
김포시,김포대학,교육연구시설,사립 전문대학
김포시,김포모형자동차경주장,운동시설,무선모형 전문 생산업체에서 운영하는 유료 경기장
김포시,김포시청,행정시설,김포시 관할 청사
김포시,김포조각공원,관광휴게시설,"민족분단의 현장인 월곶면 지역에 조성된 공원으로, 통일을 주제로 한 조각 작품들이 전시"
김포시,김포청소년수련원,교육연구시설,김포조각공원 부근의 체육시설 등 청소년을 위해 조성된 수련원
김포시,대명포구,교통관련시설,강화해협을 사이로 강화도와 마주하는 포구
김포시,덕포진,문화재,조선시대 강화해협을 통해서울로 진입하려는 외세의 침공을 방어하기 위하여 설치한 군영
김포시,문수산성,문화재,조선 숙종 20년(1694년) 한강을 통해 들어오는 적을 막기 위해 축성된 산성?
김포시,사계절눈썰매장,운동시설,"조각공원, 청소년수련원과 함께 조성된 가족놀이시설?"
김포시,샘재한옥마을,민속/기타,일반 주택과 개량 한옥이 주를 이루는 낡은 느낌의 오래된 주택단지
김포시,석정초등학교,교육연구시설,6학급의 조그만 벽지학교
김포시,애기봉전망대,문화시설,애기봉 정상에 위치한 안보교육관
김포시,경인아라뱃길 아라마리나,운동시설,"김포터미널을 경인아라뱃길의 해양레저 거점으로 특화시키고자 조성한 복합 해양 레포츠 시설. 요트 크루저 외에도 범퍼보트, 카약, 수상자전거 등을 체험할 수 있다."
김포시,수안마을,주거시설,수안산 자락에 조성되고 있는 고급 전원 주택 단지
김포시,대곶면평아,도시,드넓은 논밭 평야 부지
김포시,플로체레스토랑,일반생활시설,김포에 위치한 레스토랑
김포시,누산수로,자연,김포시 누산리에 위치한 수로 및 수문
김포시,대곶면사무소,행정시설,대곶면 관할 면사무소
김포시,강화제2대교,차량도로,인천광역시 강화군 길상면 초지리와 경기도 김포시 대곶면 약암리를 잇는 아치형 4차선 다리
김포시,김포공설운동장,운동시설,"운동장과 체육시설, 시민회관을 갖춘 공설운동장"
김포시,김포대학,교육연구시설,사립 전문대학
김포시,김포모형자동차경주장,운동시설,무선모형 전문 생산업체에서 운영하는 유료 경기장
김포시,김포시청,행정시설,김포시 관할 청사
김포시,김포조각공원,관광휴게시설,"민족분단의 현장인 월곶면 지역에 조성된 공원으로, 통일을 주제로 한 조각 작품들이 전시"
김포시,김포청소년수련원,교육연구시설,김포조각공원 부근의 체육시설 등 청소년을 위해 조성된 수련원
김포시,대명포구,교통관련시설,강화해협을 사이로 강화도와 마주하는 포구
김포시,덕포진,문화재,조선시대 강화해협을 통해서울로 진입하려는 외세의 침공을 방어하기 위하여 설치한 군영
김포시,문수산성,문화재,조선 숙종 20년(1694년) 한강을 통해 들어오는 적을 막기 위해 축성된 산성?
김포시,사계절눈썰매장,운동시설,"조각공원, 청소년수련원과 함께 조성된 가족놀이시설?"
김포시,샘재한옥마을,민속/기타,일반 주택과 개량 한옥이 주를 이루는 낡은 느낌의 오래된 주택단지
김포시,석정초등학교,교육연구시설,6학급의 조그만 벽지학교
김포시,애기봉전망대,문화시설,애기봉 정상에 위치한 안보교육관
김포시,김포용궁낚시터,자연,서해바다에서 가까운 곳에 위치하고 깨끗한 자연경관을 갖춘 낚시터
김포시,장릉,기념물,조선시대 선조의 5번째 아들이자 인조의 아버지인 원종과 부인 인헌왕후의 무덤
김포시,태산가족공원,관광휴게시설,물놀이 분수대 및 휴양시설이 갖춰진 가족공원
김포시,한재당,민속/기타,조선시대의 문신 이목의 위패를 봉안한 사당
김포시,황토옥천탕,일반생활시설,"온탕, 황토방, 수중안마탕 및 헬스장 등이 있는 찜질방?"
김포시,경인아라뱃길 아라마리나,운동시설,"김포터미널을 경인아라뱃길의 해양레저 거점으로 특화시키고자 조성한 복합 해양 레포츠 시설. 요트 크루저 외에도 범퍼보트, 카약, 수상자전거 등을 체험할 수 있다."
김포시,수안마을,주거시설,수안산 자락에 조성되고 있는 고급 전원 주택 단지
김포시,대곶면평아,도시,드넓은 논밭 평야 부지
김포시,플로체레스토랑,일반생활시설,김포에 위치한 레스토랑
김포시,누산수로,자연,김포시 누산리에 위치한 수로 및 수문
김포시,대곶면사무소,행정시설,대곶면 관할 면사무소
김포시,강화제2대교,차량도로,인천광역시 강화군 길상면 초지리와 경기도 김포시 대곶면 약암리를 잇는 아치형 4차선 다리
김포시,김포공설운동장,운동시설,"운동장과 체육시설, 시민회관을 갖춘 공설운동장"
김포시,김포대학,교육연구시설,사립 전문대학
김포시,김포모형자동차경주장,운동시설,무선모형 전문 생산업체에서 운영하는 유료 경기장
김포시,김포시청,행정시설,김포시 관할 청사
김포시,김포조각공원,관광휴게시설,"민족분단의 현장인 월곶면 지역에 조성된 공원으로, 통일을 주제로 한 조각 작품들이 전시"
김포시,김포청소년수련원,교육연구시설,김포조각공원 부근의 체육시설 등 청소년을 위해 조성된 수련원
김포시,대명포구,교통관련시설,강화해협을 사이로 강화도와 마주하는 포구
남양주시,남양주 경기도산림환경연구소,교육연구시설,도로변에 위치한 오래된 분교느낌 분소
남양주시,남양주 동화고등학교,민속/기타,남양주 소재 오래된 고등학교
남양주시,남양주 가양초 비금분교,교육연구시설,수동계곡을 타고 유원지가 형성되어 있으며 인적이 드문 산중에 위치하고 있다.
남양주시,금남리 폐건물,도시,남양주 폐건물. 카페 강 건물 뒤로 강이 흐름
남양주시,남양주 수종사,종교시설,남양주시 조안면 송촌리에 위치한 사찰
남양주시,남양주 불암사,종교시설,남양주시 별내면 화접리에 위치한 사찰
남양주시,남양주 봉선사,종교시설,남양주시 진접읍 부평리에 위치한 사찰
남양주시,남양주 묘적사,종교시설,남양주시 와부읍 월문리에 위치한 8각 7층 석탑이 있는 사찰
남양주시,남양주 도농고등학교,교육연구시설,남양주 도농동에 위치한 고등학교
남양주시,남양주 광릉중학교,교육연구시설,남양주 진접읍 진벌리에 위치한 중학교
남양주시,쥬라기 스튜디오,,"쥬라기스튜디오는 영화세트제작 / 아트디렉트등 종합영상미술 설계,제작 및 스튜디오임대전문업체입니다."
남양주시,남양주 종합촬영소,,"영화 속 그 웅장한 환상의 세계를 경험하는 것처럼 남양주종합촬영소는 40만평의 부지에 3만평 규모의 야외 세트와 규모별로 다양한 6개의 실내 촬영스튜디오 그리고 녹음실, 현상실, 디지털시각효과팀 등을 갖춘 아시아 최대 규모의 영화제작 시설입니다. 부지면적 : 40만평 부지. 스튜디오 : 총 6동"
남양주시,남양주 안가,일반생활시설,경기도 남양주 화도읍 금남리에 위치한 고풍스러운 한정식 식당
남양주시,중앙선 덕소역,교통관련시설,덕소역은 1939년 4월 1일 간이역으로 영업을 시작하여 지금의 중앙선 개통까지 대략 68년의 전통을 가진 역사이다. 물론 옛 간이역 느낌은 철거로 인하여 찾아 볼 수 없지만 새로 지은 신 역사를 통해 중앙선과 연결된다.
남양주시,중앙선 도농역,교통관련시설,역사 자체는 아담한 편에 속한다. 도농역 앞 광장은 인적이 드물고 차가 없어 여유있게 촬영을 진행할 수 있다.
남양주시,남양주 진접문화의집,공공생활시설,3층 건물의 문화복합공간이 들어선 복지관
남양주시,남양주 남양주소방서,소방/교정/군사시설,2005년에 개서한 소방서
남양주시,남양주 장내중학교,교육연구시설,2005년에 개교한 공립중학교
남양주시,남양주 로하스,일반생활시설,북한강변이 내려다 보이는 카페 겸 펜션
남양주시,남양주 덕소파랑새자동차극장,관광휴게시설,자동차 전용 영화관
남양주시,중앙선 덕소역,교통관련시설,덕소역은 1939년 4월 1일 간이역으로 영업을 시작하여 지금의 중앙선 개통까지 대략 68년의 전통을 가진 역사이다. 물론 옛 간이역 느낌은 철거로 인하여 찾아 볼 수 없지만 새로 지은 신 역사를 통해 중앙선과 연결된다.
남양주시,중앙선 도농역,교통관련시설,역사 자체는 아담한 편에 속한다. 도농역 앞 광장은 인적이 드물고 차가 없어 여유있게 촬영을 진행할 수 있다.
남양주시,남양주 진접문화의집,공공생활시설,3층 건물의 문화복합공간이 들어선 복지관
남양주시,남양주 남양주소방서,소방/교정/군사시설,2005년에 개서한 소방서
남양주시,남양주 장내중학교,교육연구시설,2005년에 개교한 공립중학교
남양주시,남양주 로하스,일반생활시설,북한강변이 내려다 보이는 카페 겸 펜션
남양주시,남양주 덕소파랑새자동차극장,관광휴게시설,자동차 전용 영화관
남양주시,강북아리수정수센터,위험물/분뇨쓰레기처리시설,남양주에 위치한 강북아리수정수센터는 서울의 강북지역 수도를 공급하고 있음. 국가보안시설로 조건에 따른 촬영 가능.
남양주시,남양주 남양주시청,행정시설,남양주시 관할 청사
남양주시,남양주 남양주인공폭포,자연,"하수처리 방류수를 이용하여 만든 세계 최초, 세계 최대높이의 인공폭포"
남양주시,남양주 몽골문화촌,문화시설,"수동국민관광지 내에 있으며, 남양주시와 울란바토르시의 협력관계를 통해 개관"
남양주시,남양주 밤섬유원지,관광휴게시설,주금산에서 발원한 왕숙천이 흐르는 유역에 자연적으로 형성된 섬 안의 강변유원지
남양주시,남양주 송천분교,교육연구시설,남양주 수동초등학교 소속 분교
남양주시,남양주 여경구가옥,기념물,북한의 염화비닐공업 발전에 공헌했던 화학자 여경구가 살던 가옥
남양주시,남양주 축령산자연휴양림,관광휴게시설,축령산과 서리산으로 이어지는 등산로를 중심으로 조성된 휴양림
남양주시,남양주 팔당댐,방송통신/발전/기타시설,한강의 범람방지와 서울 및 수도권 지역에 물을 공급하는 한강 본류의 다목적댐
남양주시,중앙선 양정역,교통관련시설,역사 주변은 미개발 지역이라 인가가 거의 없고 주로 논과 밭이다. 역 진입로가 깔끔하게 정돈되어 있다. 역 안쪽 좌측에 위치한 격자무늬 채광창과 독특한 형태를 가진 에스컬레이터 창이 신선한 느낌을 준다.
남양주시,박스터,,"박스터는 대형 스튜디오 운영과 영화, 드라마, 광고 등의 세트제작을 제공하는 업체임. 서울춘천고속도로 화도IC 5분 거리, 강남에서 30분 거리에 위치하고 있음. 별도의 세트제작실을 보유하여, 스튜디오 촬영과 세트제작의 연계가 신속하게 이루어짐"
남양주시,남양주 디원호스 승마클럽,운동시설,"서울 근교 승마장으로써 사계절 승마가 가능한 실내 승마장입니다. 대형 실내마장 2개소와 쾌적한 마방이 있으며 북카페, 교육룸, 레스토랑, 마구샵, 락커룸 등이 함께 있습니다."
남양주시,"남양주 디원 플렉스(한식당 마치랑, 김준 재즈 클럽)",관광휴게시설,"총 3층의 건물로, 1층에는 한식당, 2층에는 김준 재즈 클럽, 3층은 전시 공간 혹은 별실로 쓰고 있습니다. 김준 재즈클럽의 경우 주로 주말에만 영업을 하고 있으며, 야외 공간까지 충분합니다."
남양주시,남양주 외방리별장,숙박시설,"남양주 외방리에 위치한 개인별장. 280평 가량의 잔디밭이 특징이며, 별장들 사이의 골목과 다양한 별장입구, 차고 등 이용가능."
남양주시,가감지인,,"그 동안 수 많은 영화의 제작과정에 참여한 노하우를 발휘하여 보다 안전하고, 퀼리티 높은 세트를 카메라에 담을 수 있도록 최선의 노력을 기울이고 있습니다."
남양주시,남양주 북한강야외공연장,문화시설,도로와 인접한 2천평 규모의 강변 야외 공연장
남양주시,남양주 시청 다산홀,문화시설,남양주 시청 보건소 건물 2층에 위치한 다산홀 공연장
남양주시,남양주 지둔교차로,차량도로,지둔리 방면 미개통 교차로
남양주시,남양주 재재기고개,자연,남양주 종합촬여옷 옆에 위치한 자작나무가 많이 있는 재지기고개
남양주시,남양주 수동면남가로,차량도로,"도로공사가 완료되지 않은 도로 (3차선) 운수교차로 인근,축령산 자연휴양림 들어가는 길 주변에 있는 조용한 도로"
남양주시,남양주 경희대평화복지대학원,교육연구시설,봉선사천 옆에 세워진 대학원 대체적으로 깔끔한 분위기이다.
남양주시,남양주 체육문화센터,운동시설,"깔끔한 이미지의 신설 체육문화센터로 실내 체육관, 축구장, 테니스장, 수영장, 야외공연장, 인공암벽장, 유소년야구장, 성인야구장, 족구장, 우소년축구장, 게이트볼장, 녹지 광장으로 이루어져 있다."
남양주시,남양주 경기도산림환경연구소,교육연구시설,도로변에 위치한 오래된 분교느낌 분소
남양주시,남양주 동화고등학교,민속/기타,남양주 소재 오래된 고등학교
남양주시,남양주 가양초 비금분교,교육연구시설,수동계곡을 타고 유원지가 형성되어 있으며 인적이 드문 산중에 위치하고 있다.
남양주시,금남리 폐건물,도시,남양주 폐건물. 카페 강 건물 뒤로 강이 흐름
남양주시,남양주 수종사,종교시설,남양주시 조안면 송촌리에 위치한 사찰
남양주시,남양주 불암사,종교시설,남양주시 별내면 화접리에 위치한 사찰
남양주시,남양주 봉선사,종교시설,남양주시 진접읍 부평리에 위치한 사찰
남양주시,남양주 묘적사,종교시설,남양주시 와부읍 월문리에 위치한 8각 7층 석탑이 있는 사찰
남양주시,남양주 도농고등학교,교육연구시설,남양주 도농동에 위치한 고등학교
남양주시,남양주 광릉중학교,교육연구시설,남양주 진접읍 진벌리에 위치한 중학교
남양주시,쥬라기 스튜디오,,"쥬라기스튜디오는 영화세트제작 / 아트디렉트등 종합영상미술 설계,제작 및 스튜디오임대전문업체입니다."
남양주시,남양주 종합촬영소,,"영화 속 그 웅장한 환상의 세계를 경험하는 것처럼 남양주종합촬영소는 40만평의 부지에 3만평 규모의 야외 세트와 규모별로 다양한 6개의 실내 촬영스튜디오 그리고 녹음실, 현상실, 디지털시각효과팀 등을 갖춘 아시아 최대 규모의 영화제작 시설입니다. 부지면적 : 40만평 부지. 스튜디오 : 총 6동"
남양주시,남양주 안가,일반생활시설,경기도 남양주 화도읍 금남리에 위치한 고풍스러운 한정식 식당
남양주시,남양주 송천분교,교육연구시설,남양주 수동초등학교 소속 분교
남양주시,남양주 여경구가옥,기념물,북한의 염화비닐공업 발전에 공헌했던 화학자 여경구가 살던 가옥
남양주시,남양주 축령산자연휴양림,관광휴게시설,축령산과 서리산으로 이어지는 등산로를 중심으로 조성된 휴양림
남양주시,남양주 팔당댐,방송통신/발전/기타시설,한강의 범람방지와 서울 및 수도권 지역에 물을 공급하는 한강 본류의 다목적댐
남양주시,중앙선 양정역,교통관련시설,역사 주변은 미개발 지역이라 인가가 거의 없고 주로 논과 밭이다. 역 진입로가 깔끔하게 정돈되어 있다. 역 안쪽 좌측에 위치한 격자무늬 채광창과 독특한 형태를 가진 에스컬레이터 창이 신선한 느낌을 준다.
남양주시,박스터,,"박스터는 대형 스튜디오 운영과 영화, 드라마, 광고 등의 세트제작을 제공하는 업체임. 서울춘천고속도로 화도IC 5분 거리, 강남에서 30분 거리에 위치하고 있음. 별도의 세트제작실을 보유하여, 스튜디오 촬영과 세트제작의 연계가 신속하게 이루어짐"
남양주시,남양주 디원호스 승마클럽,운동시설,"서울 근교 승마장으로써 사계절 승마가 가능한 실내 승마장입니다. 대형 실내마장 2개소와 쾌적한 마방이 있으며 북카페, 교육룸, 레스토랑, 마구샵, 락커룸 등이 함께 있습니다."
남양주시,"남양주 디원 플렉스(한식당 마치랑, 김준 재즈 클럽)",관광휴게시설,"총 3층의 건물로, 1층에는 한식당, 2층에는 김준 재즈 클럽, 3층은 전시 공간 혹은 별실로 쓰고 있습니다. 김준 재즈클럽의 경우 주로 주말에만 영업을 하고 있으며, 야외 공간까지 충분합니다."
남양주시,남양주 외방리별장,숙박시설,"남양주 외방리에 위치한 개인별장. 280평 가량의 잔디밭이 특징이며, 별장들 사이의 골목과 다양한 별장입구, 차고 등 이용가능."
남양주시,가감지인,,"그 동안 수 많은 영화의 제작과정에 참여한 노하우를 발휘하여 보다 안전하고, 퀼리티 높은 세트를 카메라에 담을 수 있도록 최선의 노력을 기울이고 있습니다."
남양주시,남양주 북한강야외공연장,문화시설,도로와 인접한 2천평 규모의 강변 야외 공연장
남양주시,남양주 시청 다산홀,문화시설,남양주 시청 보건소 건물 2층에 위치한 다산홀 공연장
남양주시,남양주 지둔교차로,차량도로,지둔리 방면 미개통 교차로
남양주시,남양주 재재기고개,자연,남양주 종합촬여옷 옆에 위치한 자작나무가 많이 있는 재지기고개
남양주시,남양주 수동면남가로,차량도로,"도로공사가 완료되지 않은 도로 (3차선) 운수교차로 인근,축령산 자연휴양림 들어가는 길 주변에 있는 조용한 도로"
남양주시,남양주 경희대평화복지대학원,교육연구시설,봉선사천 옆에 세워진 대학원 대체적으로 깔끔한 분위기이다.
남양주시,남양주 체육문화센터,운동시설,"깔끔한 이미지의 신설 체육문화센터로 실내 체육관, 축구장, 테니스장, 수영장, 야외공연장, 인공암벽장, 유소년야구장, 성인야구장, 족구장, 우소년축구장, 게이트볼장, 녹지 광장으로 이루어져 있다."
남양주시,남양주 경기도산림환경연구소,교육연구시설,도로변에 위치한 오래된 분교느낌 분소
남양주시,남양주 동화고등학교,민속/기타,남양주 소재 오래된 고등학교
남양주시,남양주 가양초 비금분교,교육연구시설,수동계곡을 타고 유원지가 형성되어 있으며 인적이 드문 산중에 위치하고 있다.
남양주시,금남리 폐건물,도시,남양주 폐건물. 카페 강 건물 뒤로 강이 흐름
남양주시,남양주 수종사,종교시설,남양주시 조안면 송촌리에 위치한 사찰
남양주시,남양주 불암사,종교시설,남양주시 별내면 화접리에 위치한 사찰
남양주시,남양주 봉선사,종교시설,남양주시 진접읍 부평리에 위치한 사찰
남양주시,남양주 묘적사,종교시설,남양주시 와부읍 월문리에 위치한 8각 7층 석탑이 있는 사찰
남양주시,남양주 도농고등학교,교육연구시설,남양주 도농동에 위치한 고등학교
남양주시,남양주 광릉중학교,교육연구시설,남양주 진접읍 진벌리에 위치한 중학교
남양주시,쥬라기 스튜디오,,"쥬라기스튜디오는 영화세트제작 / 아트디렉트등 종합영상미술 설계,제작 및 스튜디오임대전문업체입니다."
남양주시,남양주 종합촬영소,,"영화 속 그 웅장한 환상의 세계를 경험하는 것처럼 남양주종합촬영소는 40만평의 부지에 3만평 규모의 야외 세트와 규모별로 다양한 6개의 실내 촬영스튜디오 그리고 녹음실, 현상실, 디지털시각효과팀 등을 갖춘 아시아 최대 규모의 영화제작 시설입니다. 부지면적 : 40만평 부지. 스튜디오 : 총 6동"
남양주시,남양주 안가,일반생활시설,경기도 남양주 화도읍 금남리에 위치한 고풍스러운 한정식 식당
남양주시,중앙선 덕소역,교통관련시설,덕소역은 1939년 4월 1일 간이역으로 영업을 시작하여 지금의 중앙선 개통까지 대략 68년의 전통을 가진 역사이다. 물론 옛 간이역 느낌은 철거로 인하여 찾아 볼 수 없지만 새로 지은 신 역사를 통해 중앙선과 연결된다.
남양주시,중앙선 도농역,교통관련시설,역사 자체는 아담한 편에 속한다. 도농역 앞 광장은 인적이 드물고 차가 없어 여유있게 촬영을 진행할 수 있다.
남양주시,남양주 진접문화의집,공공생활시설,3층 건물의 문화복합공간이 들어선 복지관
남양주시,남양주 남양주소방서,소방/교정/군사시설,2005년에 개서한 소방서
남양주시,남양주 장내중학교,교육연구시설,2005년에 개교한 공립중학교
남양주시,남양주 로하스,일반생활시설,북한강변이 내려다 보이는 카페 겸 펜션
남양주시,남양주 덕소파랑새자동차극장,관광휴게시설,자동차 전용 영화관
남양주시,강북아리수정수센터,위험물/분뇨쓰레기처리시설,남양주에 위치한 강북아리수정수센터는 서울의 강북지역 수도를 공급하고 있음. 국가보안시설로 조건에 따른 촬영 가능.
남양주시,남양주 남양주시청,행정시설,남양주시 관할 청사
남양주시,남양주 남양주인공폭포,자연,"하수처리 방류수를 이용하여 만든 세계 최초, 세계 최대높이의 인공폭포"
남양주시,남양주 몽골문화촌,문화시설,"수동국민관광지 내에 있으며, 남양주시와 울란바토르시의 협력관계를 통해 개관"
남양주시,남양주 밤섬유원지,관광휴게시설,주금산에서 발원한 왕숙천이 흐르는 유역에 자연적으로 형성된 섬 안의 강변유원지
남양주시,강북아리수정수센터,위험물/분뇨쓰레기처리시설,남양주에 위치한 강북아리수정수센터는 서울의 강북지역 수도를 공급하고 있음. 국가보안시설로 조건에 따른 촬영 가능.
남양주시,남양주 남양주시청,행정시설,남양주시 관할 청사
남양주시,남양주 남양주인공폭포,자연,"하수처리 방류수를 이용하여 만든 세계 최초, 세계 최대높이의 인공폭포"
남양주시,남양주 몽골문화촌,문화시설,"수동국민관광지 내에 있으며, 남양주시와 울란바토르시의 협력관계를 통해 개관"
남양주시,남양주 밤섬유원지,관광휴게시설,주금산에서 발원한 왕숙천이 흐르는 유역에 자연적으로 형성된 섬 안의 강변유원지
남양주시,남양주 송천분교,교육연구시설,남양주 수동초등학교 소속 분교
남양주시,남양주 여경구가옥,기념물,북한의 염화비닐공업 발전에 공헌했던 화학자 여경구가 살던 가옥
남양주시,남양주 축령산자연휴양림,관광휴게시설,축령산과 서리산으로 이어지는 등산로를 중심으로 조성된 휴양림
남양주시,남양주 팔당댐,방송통신/발전/기타시설,한강의 범람방지와 서울 및 수도권 지역에 물을 공급하는 한강 본류의 다목적댐
남양주시,중앙선 양정역,교통관련시설,역사 주변은 미개발 지역이라 인가가 거의 없고 주로 논과 밭이다. 역 진입로가 깔끔하게 정돈되어 있다. 역 안쪽 좌측에 위치한 격자무늬 채광창과 독특한 형태를 가진 에스컬레이터 창이 신선한 느낌을 준다.
남양주시,박스터,,"박스터는 대형 스튜디오 운영과 영화, 드라마, 광고 등의 세트제작을 제공하는 업체임. 서울춘천고속도로 화도IC 5분 거리, 강남에서 30분 거리에 위치하고 있음. 별도의 세트제작실을 보유하여, 스튜디오 촬영과 세트제작의 연계가 신속하게 이루어짐"
남양주시,남양주 디원호스 승마클럽,운동시설,"서울 근교 승마장으로써 사계절 승마가 가능한 실내 승마장입니다. 대형 실내마장 2개소와 쾌적한 마방이 있으며 북카페, 교육룸, 레스토랑, 마구샵, 락커룸 등이 함께 있습니다."
남양주시,"남양주 디원 플렉스(한식당 마치랑, 김준 재즈 클럽)",관광휴게시설,"총 3층의 건물로, 1층에는 한식당, 2층에는 김준 재즈 클럽, 3층은 전시 공간 혹은 별실로 쓰고 있습니다. 김준 재즈클럽의 경우 주로 주말에만 영업을 하고 있으며, 야외 공간까지 충분합니다."
남양주시,남양주 외방리별장,숙박시설,"남양주 외방리에 위치한 개인별장. 280평 가량의 잔디밭이 특징이며, 별장들 사이의 골목과 다양한 별장입구, 차고 등 이용가능."
남양주시,가감지인,,"그 동안 수 많은 영화의 제작과정에 참여한 노하우를 발휘하여 보다 안전하고, 퀼리티 높은 세트를 카메라에 담을 수 있도록 최선의 노력을 기울이고 있습니다."
남양주시,남양주 북한강야외공연장,문화시설,도로와 인접한 2천평 규모의 강변 야외 공연장
남양주시,남양주 시청 다산홀,문화시설,남양주 시청 보건소 건물 2층에 위치한 다산홀 공연장
남양주시,남양주 지둔교차로,차량도로,지둔리 방면 미개통 교차로
남양주시,남양주 재재기고개,자연,남양주 종합촬여옷 옆에 위치한 자작나무가 많이 있는 재지기고개
남양주시,남양주 수동면남가로,차량도로,"도로공사가 완료되지 않은 도로 (3차선) 운수교차로 인근,축령산 자연휴양림 들어가는 길 주변에 있는 조용한 도로"
남양주시,남양주 경희대평화복지대학원,교육연구시설,봉선사천 옆에 세워진 대학원 대체적으로 깔끔한 분위기이다.
남양주시,남양주 체육문화센터,운동시설,"깔끔한 이미지의 신설 체육문화센터로 실내 체육관, 축구장, 테니스장, 수영장, 야외공연장, 인공암벽장, 유소년야구장, 성인야구장, 족구장, 우소년축구장, 게이트볼장, 녹지 광장으로 이루어져 있다."
동두천시,동두천 동연사거리주변,주거시설,동연사거리 주변 주택가 좁은 골목길
동두천시,동두천 폐아파트,공장관련시설,방치된지 10년 이상된 미군들이 쓰던 아파트
동두천시,동두천 보산동 폐교,교육연구시설,구 보산초등학교 폐건물
동두천시,동두천 동두천중앙성모의원,의료/장의시설,동두천 중앙시장 부근에 위치한 의원
동두천시,동두천 개설예정도로,차량도로,광암동 시가지내 도로개설공사구간
동두천시,동두천 동두천기상대,교육연구시설,경기북동지역의 기상업무를 담당하며 기상정보 서비스를 제공하는 기관
동두천시,동두천 동두천성모병원,의료/장의시설,"장례식장, 응급실을 갖춘 병원"
동두천시,동두천 동두천시립도서관,교육연구시설,지역 사회의 정보 교육 문화 생활에 기여하기 위해 건립된 도서관
동두천시,동두천 동두천시청,행정시설,동두천시 관할 청사
동두천시,동두천 동두천종합운동장,운동시설,종합체육시설을 갖춘 운동장
동두천시,동두천 동두천청소년회관,공공생활시설,청소년을 위한 교육시설과 편의시설을 갖춘 청소년회관
동두천시,동두천 말뚝고개,차량도로,동두천과 연천을 연결하는 동두천시 소재 3번 국도
동두천시,동두천 상봉암지방산업단지,공장관련시설,"동두천시 상봉암동에 조성되어 음식료품, 1차금속산업, 조립금속, 화장용품 등을 생산하는 지방산업단지"
동두천시,동두천 소요산국민관광지,관광휴게시설,비교적 높진 않지만 수려한 산세를 자랑하는 소요산 일대 관광지
동두천시,동두천 소요산입구,차량도로,동두천시 소재의 소요산국립공원 진입로
동두천시,동두천 시가지우회도로,차량도로,동두천 시가지에서 연천방향으로 가는 3번 국도 옆 우회도로
동두천시,동두천 탑동계곡,자연,동두천시 왕방산과 국사봉 사이에 있는 계곡
