 모범업소명 , 주소 , 연락처 ,지정일자,최신지정일자,업태, 대표메뉴 ,기준일
 토시래 수원역점 , 경기도 수원시 팔달구 향교로 15-1 (매산로1가) , 031-257-7825 ,2001-07-23,2020-05-29,한식, 족발+보쌈 ,2021-03-29
 팔덕식당 , 경기도 수원시 팔달구 경수대로519번길 12-10 (인계동) , 031-234-2356 ,2020-05-25,,한식, 갈비찜 ,2021-03-29
 팽현숙의 옛날순대국 , 경기도 수원시 팔달구 경수대로 716 (우만동) , 031-256-5292 ,2005-12-29,2020-05-29,한식, 순대국 ,2021-03-29
 포메인 ," 경기도 수원시 팔달구 권광로 181 (인계동, 씨네파크 207호) ", 031-222-8562 ,2009-06-30,2020-05-29,"외국음식전문점(인도,태국등)", 베트남쌀국수 ,2021-03-29
 한국관 , 경기도 수원시 팔달구 권선로741번길 16-8 (인계동) , 031-217-8889 ,2003-09-20,2020-05-29,한식, 생갈비 ,2021-03-29
 행화촌 , 경기도 수원시 팔달구 권광로180번길 42-7 (인계동) , 031-239-4900 ,2006-07-28,2020-05-29,중국식, 중화요리 ,2021-03-29
 가원 ," 경기도 수원시 영통구 영통로 277-3 (신동,2층,3층) ", 031-204-1771 ,2015-06-30,2020-06-08,한식, 소고기 ,2021-03-29
 경복궁 ," 경기도 수원시 영통구 반달로 31 (영통동, 1009-3 호원빌딩 201호) ", 031-205-7778 ,2009-09-30,2020-06-08,한식, 갈비정식(코스메뉴) ,2021-03-29
 고기가살살녹소 ," 경기도 수원시 영통구 태장로54번길 64-1 (망포동,1층) ", 031-203-6200 ,2017-06-29,2020-06-08,한식, 고기구이 ,2021-03-29
 고기까페 엠쿡 ," 경기도 수원시 영통구 매영로345번길 7, 2층 201호 (영통동) ", 031-202-6992 ,2019-05-28,2020-06-08,식육(숯불구이), 고기구이 ,2021-03-29
 고베맨숀 , 경기도 수원시 영통구 대학1로58번길 6 (이의동) , 031-215-4695 ,2019-05-28,2020-06-08,기타, 와규구이 ,2021-03-29
 고봉삼계탕 영통점 ," 경기도 수원시 영통구 영통로 329, 1층 (매탄동) ", 031-213-4999 ,2020-06-08,,한식, 삼게탕 ,2021-03-29
 광교벌교집 광교점 ," 경기도 수원시 영통구 광교중앙로266번길 30, 그랜드프라자 2층 211,212호 (하동) ", 031-214-0606 ,2020-06-08,,한식, 남도정식 ,2021-03-29
 굴비한두름 ," 경기도 수원시 영통구 법조로149번길 230, 1층 (하동) ", 031-211-4744 ,2018-06-08,2020-06-08,한식, 굴비 ,2021-03-29
 궁돈보쌈 ," 경기도 수원시 영통구 영통로241번길 12-35 (신동, 342-5외 3필지) ", 031-203-9399 ,2011-06-30,2020-11-12,한식, 보쌈 ,2021-03-29
 남경 ," 경기도 수원시 영통구 매탄로108번길 52, 로진프라자 101,102,103,104호 (매탄동) ", 031-214-7667 ,2009-03-06,2020-06-08,중국식, 짜장면 ,2021-03-29
 남도 ," 경기도 수원시 영통구 영통로217번길 21, 2층 (영통동) ", 031-235-4777 ,2020-06-08,,횟집, 남도정식 ,2021-03-29
 다상참치 ," 경기도 수원시 영통구 반달로 100 (영통동, 1037-13 2층전체) ", 031-202-1118 ,2019-05-28,2020-06-08,횟집, 참치회 ,2021-03-29
 덕담오리 ," 경기도 수원시 영통구 청명남로34번길 21, 208~210호 (영통동) ", 031-273-9922 ,2016-06-22,2020-06-08,한식, 능이해신탕+오리백숙 ,2021-03-29
 도감소 ," 경기도 수원시 영통구 영통로331번길 72, 도감소 1,2층 (매탄동) ", 031-214-9530 ,2019-05-28,2020-06-08,한식, 소고기+이베리코구이 ,2021-03-29
 도봉산갈비 ," 경기도 수원시 영통구 매탄로100번길 7-6 (매탄동, 1263-1) ", 031-217-6066 ,2006-06-20,2020-06-08,한식, 갈비 ,2021-03-29
 동산참숯갈비 ," 경기도 수원시 영통구 영통로 305 (매탄동, 551-1) ", 031-216-2772 ,2000-08-08,2020-06-08,한식, 양념갈비 ,2021-03-29
 동수원갈비 ," 경기도 수원시 영통구 덕영대로 1487 (망포동, 26) ", 031-206-2822 ,2005-06-15,2020-06-08,한식, 갈비+갈비탕 ,2021-03-29
 동해수산 ," 경기도 수원시 영통구 센트럴파크로 33, 지하1층 B04호 (하동) ", 031-217-5353 ,2017-06-29,2020-06-08,한식, 활어회 ,2021-03-29
 두꺼비집 , 경기도 수원시 영통구 반달로 32 (영통동) , 031-202-4267 ,2018-06-08,2020-06-08,한식, 부대찌개 ,2021-03-29
 먹고보리 , 경기도 수원시 영통구 웰빙타운로36번길 46-107 (이의동) , 031-214-9952 ,2015-06-30,2020-06-08,한식, 보리밥 ,2021-03-29
 메콩타이 광교아브뉴프랑점 ," 경기도 수원시 영통구 센트럴타운로 85, 지하1층 cb23,24호 (이의동, 광교C1호반베르디움) ", 031-211-7511 ,2014-06-30,2020-06-08,기타, 월남쌈 ,2021-03-29
 무교동일품낙지 ," 경기도 수원시 영통구 월드컵로 189, 1층 (원천동) ", 031-216-0552 ,2006-06-20,2020-10-20,한식, 낙지전골 ,2021-03-29
 바나나테이블 ," 경기도 수원시 영통구 센트럴타운로 85, 203동 B102,B105호 (이의동, 아브뉴프랑) ", 031-215-0008 ,2016-02-26,2020-06-08,"외국음식전문점(인도,태국등)", 태국음식 ,2021-03-29
 박경규항아리보쌈 ," 경기도 수원시 영통구 센트럴파크로127번길 41 (이의동, 1층) ", 031-212-0101 ,2015-08-06,2020-06-08,한식, 보쌈 ,2021-03-29
 박은자맛사랑 ," 경기도 수원시 영통구 효원로 374 (매탄동, 1270-1 주공플라자 201호) ", 031-215-5969 ,2009-09-30,2020-06-08,한식, 코다리조림 ,2021-03-29
 밥풀떼기 ," 경기도 수원시 영통구 청명남로28번길 20, 플러스타운빌딩 2층 208호 (영통동) ", 031-202-0444 ,2020-06-08,,한식, 한식부페 ,2021-03-29
 버들치 ," 경기도 수원시 영통구 웰빙타운로36번길 46-252, 2층 (이의동) ", 031-212-8989 ,2018-06-08,2020-06-08,한식, 불고기 ,2021-03-29
 보리피리 , 경기도 수원시 영통구 청명로 88 (영통동) , 031-273-2688 ,2015-06-30,2020-06-08,한식, 곤드레밥 ,2021-03-29
 보림돼지갈비 ," 경기도 수원시 영통구 센트럴타운로 15, 1층 106,107,108호 (이의동, 아이플렉스) ", 031-211-0637 ,2015-06-30,2020-06-08,한식, 돼지갈비 ,2021-03-29
 복받는 싱글벙글 ," 경기도 수원시 영통구 매탄로108번길 10 (매탄동, 1262-1 모닝프라자201호) ", 031-216-5007 ,2004-10-19,2020-06-08,복어취급, 복어 ,2021-03-29
 비금도 , 경기도 수원시 영통구 청명로21번길 20 (영통동) , 031-206-3733 ,2020-06-08,,일식, 회 ,2021-03-29
 삼국지제철수산 ," 경기도 수원시 영통구 영통로 136 (망포동,211호,212호) ", 031-205-7351 ,2015-06-30,2020-06-08,한식, 활어회 ,2021-03-29
 삼대째 , 경기도 수원시 영통구 매영로 235 (원천동) , 031-213-3485 ,2019-05-28,2020-06-08,한식, 두부요리+갈비 ,2021-03-29
 삼학도광교점 ," 경기도 수원시 영통구 중부대로447번길 9, 201호,202호 (원천동) ", 031-215-4224 ,2015-06-30,2020-06-08,한식, 남도정식 ,2021-03-29
 샤브향 ," 경기도 수원시 영통구 청명남로 39 (영통동,럭셔리프라자 (206호, 207호)) ", 031-204-2223 ,2015-06-30,2020-06-08,한식, 소고기샤브샤브 ,2021-03-29
 서린낙지 ," 경기도 수원시 영통구 동수원로 515 (매탄동,외4필지 2층) ", 031-215-5725 ,2014-06-30,2020-06-08,한식, 낙지전골 ,2021-03-29
 서울24시감자탕해장국 ," 경기도 수원시 영통구 덕영대로 1485 (망포동, 28-9,2~3층) ", 031-206-2324 ,2014-06-30,2020-06-08,탕류(보신용), 감자탕 ,2021-03-29
 선가 ," 경기도 수원시 영통구 산남로 8, 2층 (매탄동) ", 031-213-0202 ,2000-08-08,2020-06-08,한식, 보쌈 ,2021-03-29
 소고기무한리필왔쏘 영통점 ," 경기도 수원시 영통구 반달로 21 (영통동,매직프라자 206호) ", 031-202-9295 ,2018-06-08,2020-06-08,식육(숯불구이), 소고기 ,2021-03-29
 스퀘어루트 광교 ," 경기도 수원시 영통구 센트럴파크로 6, 201호 (하동, 힐스테이트 광교) ",,2020-06-08,,한식, 커피+베이커리 ,2021-03-29
 신라갈비 ," 경기도 수원시 영통구 동수원로 538 (원천동, 89-7) ", 031-212-2354 ,2009-06-30,2020-06-08,한식, 갈비+갈비탕 ,2021-03-29
 아웃백스테이크하우스 광교점 ," 경기도 수원시 영통구 광교중앙로 140, 수원컨벤션센터 1층 (하동) ", 031-267-0911 ,2020-06-08,,경양식, 스테이크 ,2021-03-29
 엄지민물매운탕 ," 경기도 수원시 영통구 영통로217번길 11 (영통동, 978-5 1층) ", 031-203-2581 ,2006-06-20,2020-06-08,한식, 매운탕 ,2021-03-29
 연평도원조꽃게 ," 경기도 수원시 영통구 권선로 923 (신동, 503-7) ", 031-205-1233 ,2003-09-20,2020-06-08,한식, 꽃게탕 ,2021-03-29
 영통복요리 ," 경기도 수원시 영통구 청명로59번길 45-23 (영통동, 1027-17) ", 031-204-0003 ,2006-12-28,2020-06-08,복어취급, 복어요리 ,2021-03-29
 우판등심수원점 ," 경기도 수원시 영통구 권선로908번길 10 (신동, 우판등심수원점) ", 031-204-0086 ,2015-06-30,2020-06-08,한식, 소고기 ,2021-03-29
 육대장영통점 ," 경기도 수원시 영통구 청명남로 8 (영통동, 1층일부) ", 031-205-0666 ,2015-06-30,2020-06-08,한식, 육개장 ,2021-03-29
 장수촌 ," 경기도 수원시 영통구 영통로214번길 41 (영통동, 974-1 토아프라자 205호) ", 031-202-9959 ,2000-08-08,2020-06-08,한식, 누룽지삼계탕 ,2021-03-29
 제주할망돈가 ," 경기도 수원시 영통구 동탄지성로 454-11, 1층 (망포동) ", 031-252-5292 ,2018-06-08,2020-06-08,식육(숯불구이), 삼겹살 ,2021-03-29
 지호한방삼계탕 ," 경기도 수원시 영통구 청명남로28번길 2 (영통동, 1009-1 아이텐텐빌딩 203호) ", 031-203-8533 ,2008-06-26,2020-06-08,한식, 삼계탕 ,2021-03-29
 착한고기 광교점 ," 경기도 수원시 영통구 대학로 14, 2층 (이의동) ", 031-217-9234 ,2019-05-28,2020-06-08,식육(숯불구이), 한우한돈 ,2021-03-29
 천지연 신영통점 ," 경기도 수원시 영통구 봉영로 1377, 1,2층 (망포동, 주건축물제2동 ) ", 031-202-5502 ,2018-06-08,2020-06-08,식육(숯불구이), 갈비 ,2021-03-29
 청하생고기 ," 경기도 수원시 영통구 효원로 393, 2층 (매탄동, 밀래니엄프라자) ", 031-215-6116 ,2007-08-16,2020-06-08,한식, 삼겹살+찌개류 ,2021-03-29
 초가지붕남원추어탕 ," 경기도 수원시 영통구 매영로 235 (원천동, 417-2) ", 031-211-5300 ,2010-06-30,2020-06-08,한식, 소갈비 ,2021-03-29
 추오정남원추어탕 광교점 ," 경기도 수원시 영통구 월드컵로150번길 34, 1층 (원천동) ", 031-213-1777 ,2015-06-30,2020-06-08,한식, 추어탕 ,2021-03-29
 키친샤보르 ," 경기도 수원시 영통구 봉영로 1612, 2층 (영통동, 보보스프라자) ", 031-206-9501 ,2017-06-29,2020-06-08,기타, 소고기샤브샤브 ,2021-03-29
 티철판요리 ," 경기도 수원시 영통구 월드컵로150번길 26, 링크프라자 2층 201호 (원천동) ", 031-233-5428 ,2019-05-28,2020-06-08,한식, 바닷가재+한우안심스테이크 ,2021-03-29
 판문점부대찌개 ," 경기도 수원시 영통구 덕영대로 1549 (영통동, 976-16) ", 031-205-5959 ,2005-12-19,2020-06-08,한식, 부대찌게 ,2021-03-29
 하나참치 ," 경기도 수원시 영통구 청명남로34번길 21, 204,205호 (영통동, 테라스가든) ", 031-231-1137 ,2016-06-22,2020-06-08,일식, 참치회 ,2021-03-29
 하누담 ," 경기도 수원시 영통구 청명남로34번길 21, 영통 테라스가든 주차빌딩 2층 211,212호 (영통동) ", 031-205-9998 ,2020-06-08,,식육(숯불구이), 회 ,2021-03-29
 하전 동치미 막국수 ," 경기도 수원시 영통구 동수원로 503 (매탄동,2층, 3층) ", 031-215-3330 ,2015-06-30,2020-06-08,한식, 대구뽈찜 ,2021-03-29
 홍익돈까스(영통망포점) , 경기도 수원시 영통구 태장로54번길 102 (망포동) , 031-206-3811 ,2014-06-30,2020-06-08,경양식, 돈까스 ,2021-03-29
 홍천화로구이 ," 경기도 수원시 영통구 영통로501번길 48-4 (영통동, 951-1) ", 031-205-5461 ,2009-09-30,2020-06-08,한식, 고추장삼겹살 ,2021-03-29
 화돈골 ," 경기도 수원시 영통구 영통로214번길 31 (영통동, 975-8) ", 031-205-3009 ,2009-06-30,2020-06-08,한식, 생갈비+생등심 ,2021-03-29
 화포식당 ," 경기도 수원시 영통구 청명남로 54, 1-2층 (영통동) ", 031-202-6925 ,2019-05-28,2020-06-08,식육(숯불구이), 소고기+돼지고기구이 ,2021-03-29
 회랑소랑 ," 경기도 수원시 영통구 매영로247번길 1, 1층 (원천동) ", 031-215-7576 ,2018-06-08,2020-06-08,한식, 소고기 ,2021-03-29
