일련번호,노선명,기점,종점,도로연계성,자전거도로종류,연장(km),도로부지,하천부지,전용도로,전용차로,우선도로,분리형겸용도로,비분리형겸용도로,보행량(점)
248,한류월드로R,한류월드IC 회전로터리,장항동672-6,Y,겸용도로,0.94,도로측,,,,,1.5,,3
249,도촌천자전거길1,차량등록사업소삼거리,백석동1132-20,Y,전용도로,4.43,도로측,,3.5,,,1.5,,3
250,도촌천자전거길2,백석동1132-20,신평동3-261,Y,우선차로,1.4,도로측,,,,3.5,,,3
251,신평길1,신평동3-261,신평동26-10,Y,겸용도로,0.68,도로측,,,,,,2.5,3
252,신평길2,신평동26-10,신평동26-50,Y,우선차로,0.57,도로측,,,,3.5,,,3
253,공릉천자전거길5,신원동102-1,선유동520-10,Y,겸용도로,0.7,,하천,,,,,3,3
254,공릉천자전거길6,선유동520-10,오금동544,Y,우선도로,0.6,,하천,,,4.3,,,3
255,공릉천자전거길7,오금동544,선유동468-1,Y,전용도로,0.32,,하천,3.5,,,,,3
256,삼송로L,지축차량기지앞교차로,성석삼거리,Y,겸용도로,1.8,도로측,,,,,1.5,,3
257,삼송로R,지축차량기지앞교차로,성석삼거리,Y,겸용도로,1.8,도로측,,,,,1.5,,3
258,고봉로L,봉일천교,고봉산삼거리,Y,겸용도로,4,도로측,,,,,,3,3
259,고봉로R,봉일천교,고봉산삼거리,Y,겸용도로,4,도로측,,,,,,3,3
260,평화누리자전거길9,법곳동1724-1,구산지하차도삼거리,Y,우선도로,4.6,도로측,,,,4.3,,,3
261,평화누리자전거길10,구산지하차도삼거리,구산동672-8,Y,겸용도로,1.3,도로측,,,,,,3,3
262,평화누리자전거길11,행주내동490-1,행주내동733-9,Y,우선도로,0.152,도로측,,,,5,,,3
263,향동로,중앙로삼거리,향동동371-4,Y,겸용도로,2.05,도로측,,,,,3,,3
264,평화누리자전거길12,행주외동4-4,천년초 체험농장 마을길(행주외동500-7번지 일원),Y,우선도로,0.99,도로측,,,,4,,,3
265,평화누리자전거길13,대화동 1396-209,법곳동 213-8,Y,전용도로,0.45,도로측,,3,,,,,3
266,탄현역공원길,탄현동1647,일산지하차도(탄현동1571-1),Y,겸용도로,0.92,,공원,,,,1.5,,3
267,일현로L,탄현8단지삼거리,탄현마을입구사거리,Y,겸용도로,0.79,도로측,,,,,,4,3
268,일현로R,탄현8단지삼거리,탄현마을입구사거리,Y,겸용도로,0.79,도로측,,,,,,4,3
269,마상로L,주교동526,주교동277-4,Y,겸용도로,0.53,도로측,,,,,1.5,,3
270,마상로R,주교동526,주교동277-4,Y,겸용도로,0.53,도로측,,,,,1.5,,3
