시설유형,쉼터명,소재지도로명주소,소재지지번주소,설치일자,지정 공간,시설면적,수용규모,운영시간(평일),운영시간(주말),운영시간(공휴일),공기청정 설비,환기시설 설비,위도,경도,관리부서,전화번호,데이터기준일자
동행정복지센터,수진2동 행정복지센터,경기도 성남시 수정구 성남대로 1204,경기도 성남시 수정구 수진동 3988,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,190,30,09:00~18:00,미운영,미운영,Y(공기청정기 4대),Y(자연환기),37.437359,127.128563,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,태평1동 행정복지센터,경기도 성남시 수정구 모란로 88,경기도 성남시 수정구 태평1동 6932,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,142,15,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.440681,127.126178,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,복정동 행정복지센터,경기도 성남시 수정구 복정로 144,경기도 성남시 수정구 복정동 641-12,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,448,20,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.465754,127.127152,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,삼평동 행정복지센터,경기도 성남시 분당구 동판교로266번길 7,경기도 성남시 분당구 삼평동 712,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,300.7,16,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.406157,127.116394,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,태평3동 행정복지센터,경기도 성남시 수정구 남문로 54,경기도 성남시 수정구 태평3동 3752-1,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,100,10,09:00~18:00,미운영,미운영,Y(공기청정기 1대),Y(자연환기),37.445567,127.132918,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,서현1동 행정복지센터,경기도 성남시 분당구 중앙공원로39번길 35,경기도 성남시 분당구 서현동 89-1,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,198.3,40,09:00~18:00,미운영,미운영,Y(공기청정기 1대),Y(자연환기),37.382827,127.126088,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,정자1동 행정복지센터,경기도 성남시 분당구 성남대로407번길 12 2층,경기도 성남시 분당구 정자동 6-1,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,223.9,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.372693,127.106316,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,야탑3동행정복지센터,경기도 성남시 분당구 야탑로167번길 12,경기도 성남시 분당구 야탑3동 307,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,259.4,10,09:00~18:00,미운영,미운영,Y(공기청정기 4대),Y(자연환기),37.410811,127.137979,성남시 기후에너지과,031-729-3643,2021-04-30
관공서,성남시청 민원실,경기도 성남시 중원구 성남대로 997,경기도 성남시 중원구 여수동 200,2020-03-11,시설일부(1층) / 민원실,600,70,09:00~21:00,미운영,미운영,Y(공기청정기 6대),Y(공조기),37.420013,127.126642,성남시 기후에너지과,031-729-3643,2021-04-30
관공서,중원구청 민원실,경기도 성남시 중원구 제일로 36,경기도 성남시 중원구 성남동 3129,2020-03-11,시설일부(1층) / 민원실,550.5,50,09:00~21:00,미운영,미운영,Y(공기청정기 5대),Y(공조기),37.43053,127.137283,성남시 기후에너지과,031-729-3643,2021-04-30
관공서,수정구청 민원실,경기도 성남시 수정구 수정로 283,경기도 성남시 수정구 신흥동 30,2020-03-11,시설일부(1층) / 민원실,500,50,09:00~2100,미운영,미운영,Y(공기청정기 5대),Y(공조기),37.450269,127.145574,성남시 기후에너지과,031-729-3643,2021-04-30
도서관,분당도서관,경기도 성남시 분당구 불정로 110,경기도 성남시 분당구 정자동208번지,2020-03-11,시설일부 / 열람실,8525.2,15,07:00~23:00,07:00~23:00,07:00~23:00,Y(공조기),Y(공조기),37.358099,127.116573,성남시 기후에너지과,031-729-3643,2021-04-30
도서관,구미도서관,경기도 성남시 분당구 미금일로 105,경기도 성남시 분당구 구미동 16,2020-03-11,시설일부 / 열람실,6824.4,1421,07:00~22:00,07:00~18:00,07:00~18:00,Y(공기청정기 1대),Y(공조기),37.345482,127.107679,성남시 기후에너지과,031-729-3643,2021-04-30
도서관,중앙도서관,경기도 성남시 분당구 판교로 546,경기도 성남시 분당구 야탑동 610,2020-03-11, 시설일부(2층) / 2층 휴게실,36,20,09:00~22:00,09:00~22:00,09:00~22:00,Y(공조기),Y(공조기),37.404052,127.134809,성남시 기후에너지과,031-729-3643,2021-04-30
