시설번호,시설유형,실내/실외,구,동,시설명,소재지주소,면적(㎡),설치일자,민간/공공구분,놀이기구종류,안전검사일(최종),안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,관리자 연락처,데이터기준일자
16248,주택단지,실외,분당구,야탑동,장미마을 현대아파트 (810동 앞),"경기도 성남시 분당구 장미로 101 (야탑동, 장미마을)", 680 ,1993-04-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-11-06,Y,Y,N,031-293-8401,2021-06-30
16249,주택단지,실외,분당구,야탑동,장미마을 현대아파트 (827동 뒤),"경기도 성남시 분당구 장미로 101 (야탑동, 장미마을)", 569 ,1993-04-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-11-06,Y,Y,N,031-293-8401,2021-06-30
16250,주택단지,실외,분당구,야탑동,장미마을 현대아파트 (823동 824동 사이),"경기도 성남시 분당구 장미로 101 (야탑동, 장미마을)", 301 ,1993-04-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-11-06,Y,Y,N,031-293-8401,2021-06-30
16251,주택단지,실외,분당구,야탑동,장미마을 현대아파트 (833동 뒤),"경기도 성남시 분당구 장미로 101 (야탑동, 장미마을)", 296 ,1993-04-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-11-06,Y,Y,N,031-293-8401,2021-06-30
16252,주택단지,실외,분당구,야탑동,장미마을 현대아파트 (836동 837동 사이),"경기도 성남시 분당구 장미로 101 (야탑동, 장미마을)", 262 ,1993-04-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-11-06,Y,Y,N,031-293-8401,2021-06-30
16253,주택단지,실외,분당구,구미동,무지개마을건영3차 놀이터,"경기도 성남시 분당구 구미로 115 (구미동, 무지개마을건영아파트)", 484 ,1995-03-31,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-11-07,Y,Y,N,031-717-4847,2021-06-30
16254,주택단지,실외,분당구,금곡동,청솔마을 대원 (803동 뒤),"경기도 성남시 분당구 미금로 215 (금곡동, 청솔마을대원아파트)", 400 ,2006-12-11,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-10-27,Y,Y,N,031-713-1379,2021-06-30
16255,주택단지,실외,분당구,금곡동,청솔마을 대원 (808동 옆),"경기도 성남시 분당구 미금로 215 (금곡동, 청솔마을대원아파트)", 521 ,2006-12-11,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-10-27,Y,Y,N,031-713-1379,2021-06-30
16256,주택단지,실외,분당구,금곡동,청솔마을 대원 (814동 뒤),"경기도 성남시 분당구 미금로 215 (금곡동, 청솔마을대원아파트)", 396 ,2006-12-11,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-10-27,Y,Y,N,031-713-1379,2021-06-30
16257,주택단지,실외,분당구,구미동,무지개마을 동아아파트 903동 옆 놀이터,"경기도 성남시 분당구 구미로144번길 8 (구미동, 무지개마을동아아파트)", 380 ,1995-06-26,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-08-31,Y,Y,N,031-715-1939,2021-06-30
16258,주택단지,실외,분당구,판교동,판교원마을 5단지 (504동 앞),"경기도 성남시 분당구 판교원로 207 (판교동, 판교원마을5단지아파트)", 460 ,2009-09-01,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(2)+기타(3),2019-10-01,Y,Y,N,02-864-8475,2021-06-30
16259,주택단지,실외,분당구,판교동,판교원마을 5단지 (505동 앞),"경기도 성남시 분당구 판교원로 207 (판교동, 판교원마을5단지아파트)", 607 ,2009-09-01,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-10-01,Y,Y,N,02-864-8475,2021-06-30
16260,주택단지,실외,분당구,판교동,판교원마을 5단지 (502동 앞),"경기도 성남시 분당구 판교원로 207 (판교동, 판교원마을5단지아파트)", 184 ,2009-09-01,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2019-10-01,Y,Y,N,02-864-8475,2021-06-30
16261,주택단지,실외,분당구,서현동,시범단지 현대아파트 (407동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 226 ,2003-02-01,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1),2020-07-21,Y,Y,N,031-709-8061,2021-06-30
16262,주택단지,실외,분당구,서현동,시범단지 현대아파트 (409동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 177 ,2005-04-28,민간,그네(1)+정글짐(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1),2020-07-21,Y,Y,N,031-709-8061,2021-06-30
16263,주택단지,실외,분당구,서현동,시범단지 현대아파트 (414동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 209 ,2005-04-28,민간,그네(1)+회전놀이기구(1)+흔들놀이기구(5)+건너는기구(1)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-07-21,Y,Y,N,031-709-8061,2021-06-30
16264,주택단지,실외,분당구,서현동,시범단지 현대아파트 (411동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 254 ,2004-01-01,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-07-21,Y,Y,N,031-709-8061,2021-06-30
16265,주택단지,실외,분당구,서현동,시범단지 현대아파트 (418동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 254 ,2005-04-28,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1),2020-07-21,Y,Y,N,031-709-8061,2021-06-30
16266,주택단지,실외,분당구,서현동,시범단지 현대아파트 (422동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 161 ,1992-09-30,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2018-07-20,Y,Y,N,031-709-8061,2021-06-30
16268,주택단지,실외,분당구,서현동,시범단지 현대아파트 (426동),"경기도 성남시 분당구 중앙공원로 20 (서현동, 시범단지현대아파트)", 379 ,1992-09-30,민간,그네(1)+정글짐(1)+회전놀이기구(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2021-06-14,Y,Y,N,031-709-8061,2021-06-30
16269,주택단지,실외,분당구,구미동,무지개마을 대림아파트 (103동),"경기도 성남시 분당구 미금로 23 (구미동, 무지개마을대림아파트)", 300 ,1995-07-07,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-10-08,Y,Y,N,,2021-06-30
16270,주택단지,실외,분당구,구미동,무지개마을 대림아파트 (104동),"경기도 성남시 분당구 미금로 23 (구미동, 무지개마을대림아파트)", 322 ,1995-07-07,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-10-08,Y,Y,N,,2021-06-30
16271,주택단지,실외,분당구,구미동,무지개마을 대림아파트 (110동),"경기도 성남시 분당구 미금로 23 (구미동, 무지개마을대림아파트)", 380 ,1995-07-07,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-10-08,Y,Y,N,,2021-06-30
16272,주택단지,실외,분당구,분당동,장안타운건영2차아파트103동,"경기도 성남시 분당구 장안로25번길 28 (분당동, 건영아파트)",,1994-05-27,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-09-04,Y,Y,N,031-702-4017,2021-06-30
16273,주택단지,실외,분당구,야탑동,매화마을 건영빌라 어린이놀이터1 (919동),"경기도 성남시 분당구 벌말로30번길 32 (야탑동, 매화마을건영빌라)", 318 ,1995-01-27,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(1),2019-09-23,Y,Y,N,031-706-9723,2021-06-30
16274,주택단지,실외,분당구,야탑동,매화마을 건영빌라 어린이놀이터2 (922동),"경기도 성남시 분당구 벌말로30번길 32 (야탑동, 매화마을건영빌라)", 237 ,1995-01-27,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2019-09-23,Y,Y,N,031-706-9723,2021-06-30
16275,주택단지,실외,분당구,금곡동,청솔마을 서광영남아파트 (101동),"경기도 성남시 분당구 성남대로171번길 8 (금곡동, 청솔마을서광영남아파트)", 320 ,2012-01-01,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-09-15,Y,Y,N,031-718-2555,2021-06-30
16276,주택단지,실외,분당구,금곡동,청솔마을 서광영남아파트 (104동),"경기도 성남시 분당구 성남대로171번길 8 (금곡동, 청솔마을서광영남아파트)", 360 ,2012-01-01,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-09-15,Y,Y,N,031-718-2555,2021-06-30
16281,주택단지,실외,분당구,이매동,이매촌포스파크연립,"경기도 성남시 분당구 이매로123번길 12 (이매동, 이매포스파크)", 374 ,2003-07-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-16,Y,Y,N,031-781-2894,2021-06-30
16282,주택단지,실외,분당구,이매동,이매촌 성지아파트 701동,"경기도 성남시 분당구 이매로 54 (이매동, 이매촌성지아파트)",,1992-09-28,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-08-22,Y,Y,N,031-703-1397,2021-06-30
16283,주택단지,실외,분당구,야탑동,목련마을 한신아파트,"경기도 성남시 분당구 판교로 627 (야탑동, 목련마을한신아파트)", 464 ,2005-10-01,민간,그네(1)+정글짐(1)+흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(1),2019-10-14,Y,Y,N,031-703-4883,2021-06-30
16291,주택단지,실외,분당구,분당동,샛별마을 우방아파트 305동 옆 놀이터,"경기도 성남시 분당구 수내로 181 (분당동, 샛별마을우방아파트)", 274 ,1994-03-21,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-12-04,Y,Y,N,031-702-6976,2021-06-30
16292,주택단지,실외,분당구,분당동,샛별마을 우방아파트 관리동 옆 놀이터,"경기도 성남시 분당구 수내로 181 (분당동, 샛별마을우방아파트)", 305 ,1994-03-21,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-12-04,Y,Y,N,031-702-6976,2021-06-30
16293,주택단지,실외,분당구,분당동,샛별마을 우방아파트 310동 뒤 놀이터,"경기도 성남시 분당구 수내로 181 (분당동, 샛별마을우방아파트)", 441 ,1994-03-21,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-12-04,Y,Y,N,031-702-6976,2021-06-30
16294,주택단지,실외,분당구,구미동,무지개마을 제일아파트,"경기도 성남시 분당구 구미로144번길 7 (구미동, 무지개마을제일아파트)", 410 ,1995-07-27,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-11-08,Y,Y,N,02-415-3538,2021-06-30
16295,주택단지,실외,분당구,야탑동,탑마을선경아파트 놀이터(2),"경기도 성남시 분당구 야탑로 20 (야탑동, 탑마을선경아파트)", 660 ,2013-08-01,민간,그네(1)+흔들놀이기구(1)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-08-13,Y,Y,N,031-703-0548,2021-06-30
16296,주택단지,실외,분당구,야탑동,탑마을선경아파트 놀이터(1),"경기도 성남시 분당구 야탑로 20 (야탑동, 탑마을선경아파트)", 660 ,2013-08-01,민간,그네(1)+흔들놀이기구(1)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-08-13,Y,Y,N,031-703-0548,2021-06-30
16297,주택단지,실외,분당구,야탑동,탑마을 경남아너스빌 (703 옆),"경기도 성남시 분당구 판교로 519 (야탑동, 탑마을경남아너스빌)", 672 ,2005-10-07,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-11-09,Y,Y,N,031-706-2108,2021-06-30
16298,주택단지,실외,분당구,야탑동,탑마을 경남아너스빌 (716 옆),"경기도 성남시 분당구 판교로 519 (야탑동, 탑마을경남아너스빌)", 342 ,2005-10-07,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2020-11-09,Y,Y,N,031-706-2108,2021-06-30
16299,주택단지,실외,분당구,야탑동,매화마을 현대벽산빌라,"경기도 성남시 분당구 벌말로50번길 27 (야탑동, 매화마을현대연립)", 462 ,1994-11-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-09-16,Y,Y,N,031-702-1480,2021-06-30
16300,주택단지,실외,분당구,수내동,양지마을 청구아파트 제1놀이터 (201동 앞),"경기도 성남시 분당구 내정로 185 (수내동, 양지마을청구아파트)", 713 ,2007-11-29,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-11-17,Y,Y,N,031-711-3378,2021-06-30
16301,주택단지,실외,분당구,수내동,양지마을 청구아파트 제2놀이터 (207동 앞),"경기도 성남시 분당구 내정로 185 (수내동, 양지마을청구아파트)", 425 ,2007-11-29,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2018-11-28,Y,Y,N,031-711-3378,2021-06-30
16302,주택단지,실외,분당구,수내동,양지마을 청구아파트 제3놀이터 (601동),"경기도 성남시 분당구 내정로 185 (수내동, 양지마을청구아파트)", 361 ,2007-11-29,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(1),2020-11-17,Y,Y,N,031-711-3378,2021-06-30
16303,주택단지,실외,분당구,야탑동,탑마을 벽산아파트 (어린이놀이터 1),"경기도 성남시 분당구 야탑로 124 (야탑동, 탑마을벽산아파트)", 398 ,1994-02-24,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-08-09,Y,Y,N,031-705-3561,2021-06-30
16304,주택단지,실외,분당구,야탑동,탑마을 벽산아파트 (어린이놀이터 2),"경기도 성남시 분당구 야탑로 124 (야탑동, 탑마을벽산아파트)", 398 ,1994-02-24,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2019-08-09,Y,Y,N,031-705-3561,2021-06-30
16305,주택단지,실외,분당구,서현동,시범단지 삼성한신아파트 102동,"경기도 성남시 분당구 중앙공원로 53 (서현동, 시범단지삼성.한신아파트)",,1991-09-30,민간,그네(1)+흔들놀이기구(3)+건너는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-06-17,Y,Y,N,031-701-8295,2021-06-30
16306,주택단지,실외,분당구,야탑동,매화마을 공무원 아파트 101동옆,"경기도 성남시 분당구 매화로 92 (야탑동, 매화마을주공1단지아파트)", 400 ,1995-12-25,민간,흔들놀이기구(2)+충격흡수용표면재(1)+철봉(1),2020-11-09,Y,Y,N,031-707-6647,2021-06-30
16307,주택단지,실외,분당구,야탑동,매화마을 공무원 아파트 104동옆,"경기도 성남시 분당구 매화로 92 (야탑동, 매화마을주공1단지아파트)", 370 ,1995-12-25,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(1),2020-11-09,Y,Y,N,031-707-6647,2021-06-30
16308,주택단지,실외,분당구,분당동,샛별마을 동성아파트 (202동),"경기도 성남시 분당구 분당로 212 (분당동, 샛별마을동성아파트)", 402 ,2006-11-23,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2021-05-07,Y,Y,N,031-701-6001,2021-06-30
16309,주택단지,실외,분당구,분당동,샛별마을 동성아파트 (206동),"경기도 성남시 분당구 분당로 212 (분당동, 샛별마을동성아파트)", 337 ,2006-11-23,민간,흔들놀이기구(1)+충격흡수용표면재(1),2021-05-07,Y,Y,N,031-701-6004,2021-06-30
16310,주택단지,실외,분당구,분당동,샛별마을 동성아파트 (208동),"경기도 성남시 분당구 분당로 212 (분당동, 샛별마을동성아파트)", 334 ,2006-11-23,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-05-07,Y,Y,N,031-701-6004,2021-06-30
16311,주택단지,실외,분당구,야탑동,분당 동원로얄듀크아파트,"경기도 성남시 분당구 돌마로 908 (야탑동, 분당동원로얄듀크)", 369 ,2003-09-05,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-10-17,Y,Y,N,031-781-9831,2021-06-30
16312,주택단지,실외,분당구,이매동,이매 9단지 동신아파트 (903동),"경기도 성남시 분당구 양현로166번길 20 (이매동, 이매촌동신9단지아파트)", 316 ,1990-12-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-15,Y,Y,N,02-864-8475,2021-06-30
16313,주택단지,실외,분당구,이매동,이매 9단지 동신아파트 (909동),"경기도 성남시 분당구 양현로166번길 20 (이매동, 이매촌동신9단지아파트)", 502 ,1990-12-01,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-15,Y,Y,N,02-864-8475,2021-06-30
16314,주택단지,실외,분당구,구미동,무지개마을 청구아파트 놀이터 (510동),"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을청구아파트)", 517 ,1995-06-01,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-11-08,Y,Y,N,031-718-0735,2021-06-30
16315,주택단지,실외,분당구,구미동,무지개마을 청구아파트 놀이터 (513동),"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을청구아파트)", 310 ,1995-06-01,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2019-11-08,Y,Y,N,031-718-0735,2021-06-30
16316,주택단지,실외,분당구,구미동,무지개마을 청구아파트 놀이터 (503동),"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을청구아파트)", 340 ,1995-06-01,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-11-08,Y,Y,N,031-718-0735,2021-06-30
16317,주택단지,실외,분당구,정자동,정든마을신화아파트 507동 놀이터,"경기도 성남시 분당구 정자로 112 (정자동, 정든마을신화5단지아파트)", 400 ,2004-06-15,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-09-03,Y,Y,N,,2021-06-30
16318,주택단지,실외,분당구,정자동,정든마을신화아파트 503동 놀이터,"경기도 성남시 분당구 정자로 112 (정자동, 정든마을신화5단지아파트)", 431 ,2004-06-15,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-09-03,Y,Y,N,,2021-06-30
16319,주택단지,실외,분당구,구미동,까치마을 롯데 선경아파트 (401동 옆),"경기도 성남시 분당구 미금일로 58 (구미동, 까치마을롯데.선경아파트)", 399 ,1995-07-01,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-11-26,Y,Y,N,031-715-6697,2021-06-30
16320,주택단지,실외,분당구,구미동,까치마을 롯데 선경아파트 (408동 옆),"경기도 성남시 분당구 미금일로 58 (구미동, 까치마을롯데.선경아파트)", 546 ,1995-07-01,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-11-26,Y,Y,N,031-715-6697,2021-06-30
16321,주택단지,실외,분당구,구미동,까치마을 롯데 선경아파트 (411동 옆),"경기도 성남시 분당구 미금일로 58 (구미동, 까치마을롯데.선경아파트)", 189 ,1995-07-01,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(1),2020-11-26,Y,Y,N,031-715-6697,2021-06-30
16322,주택단지,실외,분당구,구미동,까치마을 롯데 선경아파트 (416동 옆),"경기도 성남시 분당구 미금일로 58 (구미동, 까치마을롯데.선경아파트)", 578 ,2014-11-28,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-11-26,Y,Y,N,031-715-6697,2021-06-30
16323,주택단지,실외,분당구,정자동,정든마을 한진7차아파트 705동,"경기도 성남시 분당구 내정로 10 (정자동, 정든마을한진7단지아파트)", 328 ,2007-11-19,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(1),2019-10-16,Y,Y,N,031-715-8901,2021-06-30
16325,주택단지,실외,분당구,구미동,무지개마을 삼성건영 아파트,"경기도 성남시 분당구 구미로 100 (구미동, 무지개마을삼성아파트)", 788 ,1996-02-26,민간,그네(1)+회전놀이기구(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-10-12,Y,Y,N,031-717-5244,2021-06-30
16326,주택단지,실외,분당구,야탑동,매화마을 청구연립 놀이터,"경기도 성남시 분당구 벌말로50번길 9 (야탑동, 매화마을청구빌라)", 321 ,1995-06-02,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-09-23,Y,Y,N,031-708-0771,2021-06-30
16327,주택단지,실외,분당구,구미동,무지개마을 LG아파트 (204동 옆),"경기도 성남시 분당구 구미로 50 (구미동, 무지개마을LG아파트)", 696 ,1995-08-17,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1)+기타(1),2020-09-22,Y,Y,N,02-586-5430,2021-06-30
16328,주택단지,실외,분당구,구미동,무지개마을 LG아파트 (210동 옆),"경기도 성남시 분당구 구미로 50 (구미동, 무지개마을LG아파트)", 405 ,1995-08-17,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1)+기타(1),2020-09-22,Y,Y,N,02-586-5430,2021-06-30
16330,주택단지,실외,분당구,야탑동,분당 대진빌라 805동옆 놀이터,"경기도 성남시 분당구 판교로 654 (야탑동, 목련마을대진빌라)", 80 ,2005-05-01,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-11-26,Y,Y,N,031-701-6189,2021-06-30
16332,주택단지,실외,수정구,단대동,단대 진로아파트 (101동 옆),"경기도 성남시 수정구 단대로23번길 32 (단대동, 진로아파트)", 596 ,1998-12-16,민간,그네(2)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-04,Y,Y,N,031-732-0208,2021-06-30
16333,주택단지,실외,수정구,단대동,단대 진로아파트 (103동 앞),"경기도 성남시 수정구 단대로23번길 32 (단대동, 진로아파트)", 256 ,1998-12-16,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-04,Y,Y,N,031-732-0208,2021-06-30
16334,주택단지,실외,수정구,신흥동,성남 한신아파트 (1동),"경기도 성남시 수정구 산성대로 341 (신흥동, 한신아파트)", 446 ,2006-12-01,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-09-11,Y,Y,N,031-731-6628,2021-06-30
16335,주택단지,실외,수정구,신흥동,성남 한신아파트 (5동),"경기도 성남시 수정구 산성대로 341 (신흥동, 한신아파트)", 371 ,2006-12-01,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-09-11,Y,Y,N,031-731-6628,2021-06-30
16339,주택단지,실외,수정구,수진동,삼정그린뷰아파트,"경기도 성남시 수정구 수정로 2 (수진동, 삼정그린뷰)", 502 ,2003-12-20,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-21,Y,Y,N,031-751-2985,2021-06-30
16340,주택단지,실외,수정구,태평동,신동아파밀리에아파트 놀이터,"경기도 성남시 수정구 시민로 209 (태평동, 신동아 파밀리에)", 378 ,2005-07-29,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2020-09-08,Y,Y,N,031-752-7730,2021-06-30
16342,주택단지,실외,수정구,태평동,쌍용스윗닷홈아파트,"경기도 성남시 수정구 태평로 9 (태평동, 경원대역쌍용스윗닷홈)", 350 ,2005-12-07,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-06-14,Y,Y,N,031-753-2456,2021-06-30
16343,주택단지,실외,수정구,수진동,수진산호아파트,"경기도 성남시 수정구 모란로 69 (수진동, 산호아파트)", 113 ,2008-11-03,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-10-21,Y,Y,N,031-753-0813,2021-06-30
16345,주택단지,실외,중원구,금광동,래미안금광아파트 103동,"경기도 성남시 중원구 황송로 77 (금광동, 래미안금광아파트)"," 1,536 ",2006-11-13,민간,미끄럼틀(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(2)+기타(1),2020-11-30,Y,Y,N,031-734-0972,2021-06-30
16346,주택단지,실외,중원구,하대원동,성원초원아파트,"경기도 성남시 중원구 원터로18번길 19 (하대원동, 성원초원아파트)", 530 ,2006-11-30,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-11-06,Y,Y,N,031-721-7684,2021-06-30
16347,주택단지,실외,중원구,하대원동,하대원현대아파트,"경기도 성남시 중원구 시민로28번길 6 (하대원동, 현대아파트)", 517 ,1995-03-17,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-08-06,Y,Y,N,02-2029-7790,2021-06-30
16348,주택단지,실외,중원구,성남동,성남동 금호어울림아파트 놀이터,"경기도 성남시 중원구 둔촌대로171번길 6 (성남동, 금호어울림아파트)", 738 ,2006-08-29,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(1),2019-06-24,Y,Y,N,031-758-8005,2021-06-30
16349,주택단지,실외,중원구,하대원동,하대원 아튼빌 1005동뒤 놀이터,"경기도 성남시 중원구 둔촌대로 300 (하대원동, 아튼빌아파트)"," 1,943 ",2003-03-10,민간,그네(2)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-08-16,Y,Y,N,031-603-3707,2021-06-30
16351,주택단지,실외,중원구,도촌동,도촌휴먼시아 섬마을 3단지경비실옆놀이터,"경기도 성남시 중원구 도촌남로 67 (도촌동, 휴먼시아섬마을3단지아파트)", 647 ,2007-12-10,민간,조합놀이대(1)+충격흡수용표면재(1),2020-05-12,Y,Y,N,031-232-8471,2021-06-30
16357,주택단지,실외,중원구,금광동,황송마을 아파트 103동 놀이터,"경기도 성남시 중원구 황송로 6 (금광동, 황송마을아파트)", 570 ,2006-12-01,민간,그네(1)+정글짐(1)+회전놀이기구(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-10-19,Y,Y,N,031-715-5901,2021-06-30
16358,주택단지,실외,중원구,금광동,황송마을 아파트 107동 놀이터,"경기도 성남시 중원구 황송로 6 (금광동, 황송마을아파트)", 275 ,2006-12-01,민간,그네(1)+정글짐(1)+회전놀이기구(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-10-19,Y,Y,N,031-715-5901,2021-06-30
16359,주택단지,실외,중원구,금광동,황송마을 아파트 109동,"경기도 성남시 중원구 황송로 6 (금광동, 황송마을아파트)", 293 ,2006-12-01,민간,그네(1)+정글짐(1)+회전놀이기구(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-10-19,Y,Y,N,031-715-5901,2021-06-30
