,name,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세,장애인 시설정보,장애인 활동 보조 필요성,부대시설,숙박 업종,대표 메뉴 상세,금연여부,등급,룸개수,셔틀버스 운행 여부,애완동물동반허용여부,조식제공 여부,예약 가능 여부,노키즈존,대표 메뉴,방 보유,유아 서비스,유아 서비스 상세,부대시설 기타,Late체크인여부,공항교통편,장애인전용객실여부,유아 서비스 기타,취급품목,취급품목 기타,택배배송여부
151,월정리 카약체험장,바닷속을 직접 배안에서 볼 수 있는 카약체험,09:00~일몰 30분전까지 / 체험시간 = 30분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,위미리 동백나무군락,"현맹춘(1858-1993) 할머니가 모진바람을 막기 위하여 한라산의 동백을 따다 심어 자라 군락지를 이룬곳, 제주도 기념물 제 39 호",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,제주공룡랜드,모든 이들이 재미있게 즐길 수 있는 제주 최대 종합체험 테마파크,"9:30~18:30(동절기와 성수기 시간 다름, 홈페이지 참조)","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 할인 입장료 : 6.000원",실내+실외,공연/전시,,1~2시간,중,"공용주차장,현금결제,카드결제,화장실,편의점,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
154,종달리수국길,멋진 해안도로 옆 가득한 수국의 향연.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,지니어스 로사이,지금 나홀로 있는 이 시간은 내마음에 밑줄을 긋는 시간,17시 30분까지 매표,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
156,테디베어뮤지엄제주,"다양한 테마와 재미있는 볼거리가 가득한 국내 유일의 테디베어 박물관, 중문관광단지 중심에 있음","평상시 09:00~19:00 (입장마감 18:00), 성수기 09:00~22:00 (입장마감 21:00) / 연중무휴","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 할인 입장료 8.000원",실내,"포토스팟,공연/전시",,1~2시간,,"공용주차장,현금결제,카드결제,화장실,엘리베이터",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
157,붉은오름 자연휴양림,계절마다 각기 다른 아름다움을 뽐내는 붉은 오름 자연휴양림,"연중무휴, 동절기에는 오후 4시 30분에 닫음","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,일반 입장료 : 1.000원 / 장애인할인입장료 : 무료",실외,등산,"등산로, 산책로",1~2시간,상,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
158,제주현대미술관,저지문화에술이마을에 자리한 현대미술관,매주 월요일 1/1 설날 추석 휴관,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 무료",실내,공연/전시,,1시간 미만,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
159,형제섬,바다 한가운데 바위처럼 보이는 크고 작은 섬 2개가 사람의 형과 아우처럼 마주보고 있다 하여 붙여진 형제섬,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
160,관음사,"휴식, 명상을 통해 자기자신을 들여다보는 시간",연중무휴,,,,,,,,"공용주차장,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
161,동굴의 다원 다희연[리모델링중],거문오름 용암동굴계 품안에 아름답게 자리잡고있는 녹차 테마파크 다희연 - 현재 리모델링 중으로 방문 및 이용하실 수 없습니다.,"연중무휴 (관람시간 : 개장시간 09:00시, 마감시간 11월~1월 17:30, 2월~4월 18:00, 5월 18:30, 6월~10월 19:00)",,,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
162,범섬,면면이 기괴한 자태의 신비함을 간직한 섬,,,,,,,,,,UNESCO 생물권보전지역,,,,,,,,,,,,,,,,,,,,,,,,,
163,산방굴사,불상이 있어 사찰로 불리는 아름다운 풍광을 가진 산방굴사,연중무휴,"평일 : 08:30 ~ 18:00 , 주말 : 08:30 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설",UNESCO 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,
164,퍼시픽 리솜 마린스테이지,"원숭이, 바다사자, 돌고래 3가지 공연을 동시에 관람할 수 있는 공연장",공연시간 11:00 / 14:00 / 16:00,"평일 : 11:00 ~ 17:00 , 주말 : 11:00 ~ 17:00",유료,실내,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
165,성산항,섬 속의 섬을 향한 시작. 푸른 바다의 아름다운 뱃길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,제주올레 8코스,주상절리를 보고 해안을 따라 걷는 바당올레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,제주해양동물박물관,성산에 위치한 제주해양동물박물관,이용시간 : 오전9시 ~ 오후 6시(하절기 : 오후 7시),"평일 : 9:00 ~ 18:00 , 주말 : 9:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",,,,,,,,,,,,,,,,,,,,,,,,,,
168,혼인지,"제주특별자치도 기념물 제 17호, 탐라의 시조인 삼신인(三神人)이 혼례를 올렸다는 장소 · 서귀포시 성산읍 온평리 · 제주특별자치도 기념물 제17호 · 올레2코스",연중무휴,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","무료,연중 24시. 무료",실외,"체험,포토스팟",,1시간 미만,상,"화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
169,귤밭76번지,감귤 체험도하고 감성 사진도 찍을 수 있는 귤밭76번지,연중무휴,"평일 : 10:00 ~ 15:00 , 주말 : 10:00 ~ 15:00",,,,,,,"공용주차장,현금결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
170,"당산봉(당오름,차귀오름)",한경의 푸른 바다와 고즈넉한 풍경이 있는 산책길  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,삼성혈,"제주도에서 가장 유명한 신화 중 하나가 삼신인(三神人) 신화이다. 신화에 따르면 탐라(제주도의 옛 지명)에 아직 사람이 살고 있지 않던 시기, 신성한 한라산의 기운이 내린 곳에 삼신인이 땅에서 솟아났다고 한다. 전설적인 신화의 흔적이 삼성혈(三姓穴)에 남아 있다.","연중무휴 09:00~18:00(매표마감 17:30) 단 1월1일, 설날, 추석 10:00 개장","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,어른 2.500원 / 청소년 1.700원 /어린이 경로 장애인 1.000원",실외,공연/전시,,1시간 미만,하,"현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
172,1100고지(휴게소),겨울이면 더욱 아름다운 한라산 대표적인 뷰포인트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1100고지습지,쉽게 만나볼 수 없는 야생동물을 만나볼 수 있는 곳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,레이저서바이벌M,현실에서 즐기는 실내형 서든어택!,연중무휴 13시 ~ 22시,"평일 : 13:00 ~ 22:00 , 주말 : 11:00 ~ 22:00","유료,1경기 6,500원 / 2경기 11,000원 / 3경기 15000원",실내,,,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
175,물영아리오름,영아리는 신령스런 산이란 뜻이다. 앞에 ‘물’이란 접두어가 붙은 것은 분화구에 물이 고인 습지를 품고 있기 때문이다. 물영아리오름은 수망리 중잣성 생태 탐방로와 연계되어 있다. 잣성은 제주도의 전통적인 목축 문화 유물로 목초지에 쌓아 올린 경계용 돌담을 뜻한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,민속자연사박물관,제주민속자연사박물관은 제주 사람들이 오랜 세월 지켜온 전통문화와 자연 환경을 깊이 들여다보고 이해하는 공간이다. 볼거리가 많고 내용이 알차서 관람 시간을 넉넉히 잡는 것이 좋다. 제주 신화의 발상지인 삼성혈과 이웃해 함께 둘러보면 편하다.,"매표마감 17:30 / 휴관일 : 매주 월요일, 1월1일, 설날 및 설날 다음날, 추석 및 추석 다음날, 훈증 소독기간(별도공지)","평일 : 08:30 ~ 18:00 , 주말 : 08:30 ~ 18:00",유료,실내,공연/전시,,1~2시간,중,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",,,,,,,,,,,,,,,,,,,,,,,,,,
177,법환포구,최영 장군이 막사를 쳤던 포구,,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
178,사계해안도로,산방산과 형제섬을 즐길 수 있는 해안도로,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
179,서귀포항,문섬과 새끼섬을 바라보며 새연교를 따라 걷는 아름다운 산책,,,,,,,,,"공용주차장,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
180,소천지,백두산 천지를 축소시켜 놓은 곳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,수월봉,차귀도로 떨어지는 낙조와 지질학의 교과서를 만나보자 · 천연기념물 제513호 · 올레12코스,,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00",무료,실외,"등산,기타",올레코스 . 해설 : 평일 09:00~16:30,1시간 미만,상,"공용주차장,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
182,알작지해변,사르륵 사르륵 자갈이 부서지는 소리. 파도가 부서지는 풍경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,정물오름,넓고 푸른 정물오름에서 맑고 깨끗한 생명수를 마셔보자,,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주베니스랜드,제주에서 만나는 아름다운 수상도시 베니스 여행~,,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 입장료 : 12.000원",실내+실외,"체험,공연/전시,포토스팟",,1시간 미만,상,"공용주차장,현금결제,카드결제,화장실,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
185,제주커피박물관 바움 Baum,"나무, 숲과 함께 다채로운 커피의 향을 즐길 수 있는 커피박물관",동절기: 09:00 ~ 18:00 하절기: 09:00 ~ 19:00,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",유료,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
186,종달리해안도로,"파란 하늘과 고즈넉한 해변 길, 그리고 파스텔 빛 수국이 가득한 곳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,터진목 & 성산면 4·3희생자 위령비,"4.3사건 당시 성산, 구좌면 관내 주민들이 총살됐던 학살터.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,표선세화해안도로,동쪽 끝의 해안을 따라 형성된 해안도로로 최근 떠오르는 아름다운 해안길,,,,,,,,,"공용주차장,화장실,편의점",,,,,,,,,,,,,,,,,,,,,,,,,,
189,넥슨컴퓨터박물관,"세상을 바꾸는 아이디어, 넥슨컴퓨터박물관","운영시간 오전 10시 - 오후 6시 (매표마감 오후 5시30분) 매주 월요일과 설, 추석 당일은 휴관입니다.","평일 : 10:00 ~ 18:00 , 주말 : 10:00 ~ 18:00","유료,장애인 할인 입장료 : 4.000원",실내,"공연/전시,체험",,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
190,더마파크,세계최초의 말전문테마공원,연중 무휴,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 할입 입장료 : 18.000원",실외,"체험,공연/전시",,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,경보 및 피난시설,엘리베이터",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
191,돈내코,한라산에서 내려오는 차고 맑은 물을 맞으며 물놀이하기에 좋은 곳,연중무휴,"평일 : 08:00 ~ 19:00 , 주말 : 08:00 ~ 19:00",,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
192,서귀포자연휴양림,다양한 생태계를 보여주고 뚜렷한 계절적 감각을 느낄 수 있는 제주권 최고의 휴양림,"입장 시간 : 17:00까지 / 기상악화, 천재지변 등 안전한 이용을 위해 입장이 제한될 수 있음","평일 : 09:00 ~ 17:30 , 주말 : 09:00 ~ 17:30","유료,일반입장료 : 1.000원 / 장애인입장료 : 무료 (1-3급 동반 1인까지)",실외,"등산,체험",,1~2시간,중,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,흡연구역",,,,,,,,,,,,,,,,,,,,,,,,,,
193,서귀포칠십리시공원,외돌개와 해안올레길을 연결하는 공원,,,,,,,,,"공용주차장,화장실,편의점,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
194,점보빌리지,제주속 작은 동남아 점보빌리지 코끼리테마쇼,"연중 무휴 / 공연시간 13:30, 15:00, 16:30","평일 : 09:30 ~ 17:30 , 주말 : 09:30 ~ 17:30","무료,주차요금 별도",실내+실외,"공연/전시,기타",,1시간 미만,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
195,제주곶자왈도립공원,"곶자왈의 생태와 휴양, 체험, 학습을 제공하는 생태관광지","동절기(11월~3월) 입장시간 09:00 ~ 15:00, 탐방시간 09:00 ~ 17:00 / 하절기(4월~10월) 입장시간 09:00 ~ 16:00, 탐방시간 09:00 ~ 18:00","평일 : 07:00 ~ 16:00 , 주말 : 07:00 ~ 16:00","유료,장애인 무료",실외,기타,산책로,1시간 미만,하,"공용주차장,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
196,제주목관아,조선시대 제주도 관청,연중무휴 09:00~18:00(17:30에 매표마감),"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,Adults 1.500 won / Youth 800 won / Children 400 won / Free admission for the handicapped",실외,공연/전시,,1시간 미만,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",,,,,,,,,,,,,,,,,,,,,,,,,,
197,추자도,"한반도 남서부와 제주특별자치도의 중간 지점에 위치하며, 상추자도·하추자도를 묶어 추자도라고 함",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,한림해안도로,귀덕궤물동산에서 비양도를 지나 옹포사거리까지 여유를 느끼며 달릴 수 있는 해안도로,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,교래자연휴양림,교래자연휴양림은 곶자왈 생태 체험이 가능한 최초의 휴양림이다. 휴양림 안에 생태관찰로(2.5km)와 오름산책로(7km) 두 가지 탐방코스가 있다. 탐방길을 걷다 보면 함몰지와 돌출지가 불규칙하게 이어지는데 이 때문에 곶자왈은 열대 북방한계식물과 한대 남방한계식물이 공존하는 독특한 식생을 갖게 되었다.,연중무휴,"평일 : 07:00 ~ 17:00 , 주말 : 07:00 ~ 17:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,엘리베이터",,,,,,,,,,,,,,,,,,,,,,,,,,
200,금악오름(왕매),금악오름에서 패러글라이딩 풍경 감상하기,연중무휴,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
201,논짓물,해수와 담수가 만나는 곳에 있는 천연 해수욕장,그늘캐 대여료 : 2만원 (사용시간 : 오전 8시 ~ 오후 7시),,,,,,,,"공용주차장,화장실,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
202,북촌돌하르방미술관,"숲, 만남, 그리고 평화. 제주의 자연과 문화 그리고 예술이 함께 어우러진 감성공간.","09:00-18:00 (하절기, 입장시간 30분전 마감) / 09:00-17:00 (동절기, 입장시간 30분전 마감) / 설날 및 추석등 변동휴무","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
203,사계해변,산방산과 용머리의 장관이 한눈에,연중무휴,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
204,서귀포해안,서귀포시 호근동 일대에 펼쳐진 해안경승지,연중무휴,,,,,,,,"공용주차장,화장실,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
205,연화못,제주 서부의 숨은 비경 연화못,,,,,,,,,"공용주차장,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
206,우도잠수함(제주씨월드),제주도만의 자연적인 바닷속을 직접보고 느끼고 몸으로 체험을 할 수 있는 곳,"연중무휴 / 45분 간격 / 계절별 일출, 일몰, 기상상태에 따라 운항 및 시간 조정","평일 : 08:20 ~ 18:00 , 주말 : 08:20 ~ 18:00",,,,,,,"현금결제,카드결제,화장실",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
207,제주올레 10코스,바다와 한라산의 그림같은 비경을 동시에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,제주올레 18코스,"제주시 도심 속에서 조천 만세동산까지, 제주의 뼈아픈 역사를 만나다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,제주유리박물관,유리 예술의 진수를 만날 수 있는 곳,09:00 ~ 21:00 (연중무휴),"평일 : 10:00 ~ 21:00 , 주말 : 10:00 ~ 21:00","유료,장애인, 도민 7.000~5.000원 (나이에 따라)",실내,"공연/전시,포토스팟",,1~2시간,중,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
210,판포포구,서귀포 끝자락에 있는 깨끗한 물색을 자랑하는 작은 포구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,구엄리돌염전,300여 년의 세월이 담긴 구엄리 소금밭,연중무휴,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
212,노루생태관찰원,제주의 야생 노루를 언제든지 가까이서 만날 수 있는 곳,11월~2월 17시까지,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 무료",실내+실외,공연/전시,,2~3시간,중,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
213,마라도성당,"드라마, 영화촬영지로 인기가 많은 명소",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,물찻오름,샤려니숲길의 끝에서 만날 수 있는 우리나라 명품 숲길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,상효원,제주의 자생식물을 볼 수 있는 수목원,"연중무휴 / 춘추계09:00~19:00, 하계09:00~19:00, 동계별09:00~18:00 / 마감 1시간전 매표마감","평일 : 09:00 ~ 19:00 , 주말 : 09:00 ~ 19:00","유료,장애인 할인 입장료 7.000원",실외,"포토스팟,공연/전시",,2~3시간,중,"공용주차장,현금결제,카드결제,화장실,유도 및 안내시설,경보 및 피난시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
216,새섬,섬 속의 섬. 바다를 향한 산책,연중무휴,"평일 : 06:00 ~ 22:00 , 주말 : 06:00 ~ 22:00",,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
217,섶섬(서귀포해양도립공원),"용이 되려는 꿈을 이루지 못하고 죽은 구렁이에 대한 전설이 전해지는 숲섬, '섶섬' · 서귀포시 보목동",,,,,,,,,유도 및 안내시설,UNESCO 생물권보전지역,,,,,,,,,,,,,,,,,,,,,,,,,
218,제주올레 15-A코스,숲의 경쾌함과 바다의 청량함을 모두 느낄 수 있는 길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,제주올레 6코스,"자연에서 마음의 여유를 느끼고, 서귀포의 문화를 경험하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,최남단 체험 감귤농장(가뫼물 농촌생태공원),살아있는 제주농촌을 체험할 수 있는 농장,연중무휴,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,.",,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
221,한라생태숲,난대성 식물에서부터 한라산 고산식물까지 한 장소에서 볼 수 있는 생태숲,"하절기 09:00∼18:00, 동절기 09:00∼17:00","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",무료,실외,기타,"산책로, 휴양림",1~2시간,중,"공용주차장,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
222,건강과성박물관,"건강과 성 박물관은 서귀포시 안덕면 감산리에서 세계최대, 최초의 제1종 성 박물관으로 운영되고 있다.","연중무휴 / 여름 성수기 야간개장(7, 8월) 09:00~22:00","평일 : 09:00 ~ 20:00 , 주말 : 09:00 ~ 20:00","유료,일반 입장료 : 12.000원 / 장애인 할인입장료 10,000원",실내,공연/전시,,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
223,공천포,위미항 근처 조용한 마을에 있는 공천포,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,돈내코유원지,시원한 폭포와 상록수림으로 둘러 싸인 매력적인 곳,,,,,,,,,화장실,,,,,,,,,,,,,,,,,,,,,,,,,,
225,렛츠런파크,렛츠런파크 제주는 천연기념물 제347호인 ‘제주마’의 보호 및 육성을 위해 1990년 개장된 테마공원이다.,동절기(12월~3월) 평일은 휴장,"평일 : 09:30 ~ 18:30 , 주말 : 09:30 ~ 18:30","유료,금,토,일 : 일반 및 장애인 2.000원 / 수,목 : 무료",실외,"체험,기타,공연/전시",,1시간 미만,하,"공용주차장,현금결제,카드결제,화장실,흡연구역,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
226,문섬(서귀포해양도립공원),섬에 아무것도 자라지 않는 민둥섬이라서 붙여진 이름의 섬,,,,,,,,,,UNESCO 생물권보전지역,,,,,,,,,,,,,,,,,,,,,,,,,
227,산방산탄산온천,"제주 유일, 국내 최고의 탄산온천, 제주 산방산탄산온천","실내온천 06:00~24:00, 노천탕 및 수영장 11:00~11:00, 찜질방 24시간 운영",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,세화해안도로,아기자기함과 아름다움에 탄성이 나오는 해안도로,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
229,소정방폭포,국내 유일의 해안 폭포,,,,,,,,,"공용주차장,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
230,신비의도로,세워둔 차가 언덕 위로 올라가는 신비한 도깨비 도로,,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00",무료,실외,기타,도로,1시간 미만,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
231,위미항,제주의 벚꽃이 가장 먼저 피는 따뜻한 곳,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,제주별빛누리공원[제한적운영중],천체탐구와 천문학습의 장으로 청소년들에게 무한한 꿈과 희망을 심어줄 과학문화 공간,"3월~10월(오후 3시 ~ 오후 11시), 11월 ~ 2월(오후 2시 ~ 오후 10시) / 매주 월요일 휴관(단 공휴일인 경우 익일)","평일 : 15:00 ~ 22:00 , 주말 : 15:00 ~ 22:00","유료,일반 5.000원 / 장애인 무료",실내,공연/전시,,1~2시간,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터",,,,,,,,,,,,,,,,,,,,,,,,,,
233,제주센트럴파크,오감만족 체험과 세계여행을 한 번에 하는 복합테마파크,8시 30분~18시(계절마다 다름),"평일 : 08:30 ~ 18:30 , 주말 : 08:30 ~ 18:30","유료,장애인 할인 입장료 : 5.000원",실외,공연/전시,,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,편의점,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
234,제주올레 14코스,"올레 탐사팀이 만들어낸 비경, 숲길과 해변이 연이은 곳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,제주올레 5코스,남원포구에서부터 쇠소깍 다리까지 끊이지 않는 이야기길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,조천함덕해안도로,조천과 함덕을 연결해 주는 이국적인 해안도로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,큰노꼬메오름,멋지고 시원한 전망과 바람에 일렁이는 억새를 만날 수 있는 곳,연중무휴,,,,,,,,"공용주차장,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
238,금능석물원,똑같이 생긴 하르방만 본 여행객들에게 제주 석물의 진수를 감상할 수 있게 하는 곳,,"평일 : 08:00 ~ 18:00 , 주말 : 08:00 ~ 18:00",,,,,,,"공용주차장,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
239,낙천리아홉굿의자마을,제주도에서는 보기 드문 9개의(아홉) 샘이(굿)있는 곳!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,도두항,제주공항과 가까운 낚시하기 좋은 포구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,신창풍차해안도로,해상풍력단지가 조성되어 있어 해안도로를 따라 줄지어 서 있는 풍차를 만날 수 있는 신창풍차해안도로,,,무료,실외,포토스팟,,1시간 미만,하,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,오조포구,오조리 마을의 한적한 포구,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
